,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,1681290000.0,1334430000.0,523350000.0,409970000.0
Repurchase Of Capital Stock,-81080000.0,,,
Repayment Of Debt,-451080000.0,-1222190000.0,-571140000.0,-361850000.0
Issuance Of Debt,0.0,1503460000.0,1138000000.0,909770000.0
Issuance Of Capital Stock,0.0,5906910000.0,0.0,857640000.0
Capital Expenditure,-921740000.0,-725400000.0,-492810000.0,-320330000.0
End Cash Position,3320130000.0,3163160000.0,491490000.0,695900000.0
Other Cash Adjustment Outside Changein Cash,9460000.0,10000.0,,
Beginning Cash Position,3163160000.0,491490000.0,695900000.0,206080000.0
Effect Of Exchange Rate Changes,109250000.0,21310000.0,-3030000.0,
Changes In Cash,38260000.0,2650350000.0,-201380000.0,489820000.0
Financing Cash Flow,-590450000.0,6149720000.0,530860000.0,1396680000.0
Interest Paid Cff,-57080000.0,-32150000.0,-22500000.0,-8880000.0
Net Common Stock Issuance,-81080000.0,5906910000.0,0.0,857640000.0
Common Stock Payments,-81080000.0,,,
Common Stock Issuance,0.0,5906910000.0,0.0,857640000.0
Net Issuance Payments Of Debt,-451080000.0,281270000.0,566860000.0,547920000.0
Net Long Term Debt Issuance,-451080000.0,281270000.0,566860000.0,547920000.0
Long Term Debt Payments,-451080000.0,-1222190000.0,-571140000.0,-361850000.0
Long Term Debt Issuance,0.0,1503460000.0,1138000000.0,909770000.0
Investing Cash Flow,-1974320000.0,-5559200000.0,-1748400000.0,-1637160000.0
Net Other Investing Changes,22970000.0,-10000.0,,
Interest Received Cfi,179360000.0,162440000.0,26460000.0,30820000.0
Net Investment Purchase And Sale,-253920000.0,-2216020000.0,-4420000.0,-469980000.0
Sale Of Investment,2424800000.0,7850850000.0,1841320000.0,98830000.0
Purchase Of Investment,-2678720000.0,-10066870000.0,-1845740000.0,-568810000.0
Net Business Purchase And Sale,-1000990000.0,-2934290000.0,-1123550000.0,-877710000.0
Purchase Of Business,-1000990000.0,-2934290000.0,-1123550000.0,-877710000.0
Net PPE Purchase And Sale,-921740000.0,-725400000.0,-492810000.0,-320290000.0
Sale Of PPE,,0.0,0.0,40000.0
Purchase Of PPE,-921740000.0,-725400000.0,-492810000.0,-320330000.0
Capital Expenditure Reported,,,,-310590000.0
Operating Cash Flow,2603030000.0,2059830000.0,1016160000.0,730300000.0
Taxes Refund Paid,-402560000.0,-278010000.0,-117240000.0,-109650000.0
Change In Working Capital,-472240000.0,-99020000.0,-174340000.0,-135400000.0
Change In Other Current Liabilities,27300000.0,194020000.0,26540000.0,29550000.0
Change In Other Current Assets,-47510000.0,-160440000.0,25600000.0,-48540000.0
Change In Payable,-3140000.0,1369680000.0,404340000.0,238420000.0
Change In Receivables,-421490000.0,-1524800000.0,-637650000.0,-356910000.0
Other Non Cash Items,-211430000.0,-141240000.0,1140000.0,-34740000.0
Stock Based Compensation,67520000.0,33070000.0,,0.0
Provisionand Write Offof Assets,33250000.0,26650000.0,17250000.0,21520000.0
Depreciation And Amortization,494180000.0,324400000.0,196350000.0,133310000.0
Amortization Cash Flow,465110000.0,305040000.0,,
Depreciation,494180000.0,19360000.0,196350000.0,133310000.0
Gain Loss On Investment Securities,-32430000.0,-350800000.0,-339800000.0,
Net Foreign Currency Exchange Gain Loss,296590000.0,92940000.0,-48460000.0,60580000.0
Gain Loss On Sale Of PPE,70000.0,20000.0,0.0,110000.0
Net Income From Continuing Operations,2815510000.0,2447960000.0,1479210000.0,792250000.0
