,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,143784657.0,143784657.0,143784657.0,139125159.0
Share Issued,143784657.0,143784657.0,143784657.0,139125159.0
Net Debt,22768900000.0,20527000000.0,24341000000.0,3629000000.0
Total Debt,43323600000.0,40681000000.0,41597000000.0,56207000000.0
Tangible Book Value,51054300000.0,45921000000.0,41414000000.0,29382000000.0
Invested Capital,89074500000.0,82590000000.0,74618000000.0,40827000000.0
Working Capital,10123500000.0,17383000000.0,16035000000.0,3096000000.0
Net Tangible Assets,51054300000.0,45921000000.0,41414000000.0,29382000000.0
Capital Lease Obligations,16220500000.0,14324000000.0,13004000000.0,20251000000.0
Common Stock Equity,61971400000.0,56233000000.0,46025000000.0,33391000000.0
Total Capitalization,81347300000.0,80505000000.0,70760000000.0,33391000000.0
Total Equity Gross Minority Interest,65312800000.0,58777000000.0,48024000000.0,34698000000.0
Minority Interest,3341400000.0,2544000000.0,1999000000.0,1307000000.0
Stockholders Equity,61971400000.0,56233000000.0,46025000000.0,33391000000.0
Other Equity Interest,61252500000.0,89000000.0,62000000.0,32695000000.0
Fixed Assets Revaluation Reserve,78000000.0,78000000.0,78000000.0,
Retained Earnings,21283000000.0,16699000000.0,5930000000.0,
Additional Paid In Capital,29222000000.0,28697000000.0,29197000000.0,
Capital Stock,718900000.0,719000000.0,719000000.0,696000000.0
Common Stock,718900000.0,719000000.0,719000000.0,696000000.0
Total Liabilities Net Minority Interest,78964500000.0,73147000000.0,66143000000.0,78686000000.0
Total Non Current Liabilities Net Minority Interest,45716500000.0,49314000000.0,45765000000.0,55313000000.0
Other Non Current Liabilities,197000000.0,191000000.0,1000000.0,1000000.0
Derivative Product Liabilities,5994000000.0,5876000000.0,5761000000.0,4955000000.0
Non Current Accrued Expenses,0.0,,,
Tradeand Other Payables Non Current,,,,47000000.0
Non Current Deferred Revenue,0.0,,,
Non Current Deferred Taxes Liabilities,4424400000.0,5298000000.0,2605000000.0,2942000000.0
Long Term Debt And Capital Lease Obligation,34358900000.0,37605000000.0,37035000000.0,47196000000.0
Long Term Capital Lease Obligation,14983000000.0,13333000000.0,12300000000.0,18676000000.0
Long Term Debt,19375900000.0,24272000000.0,24735000000.0,28520000000.0
Long Term Provisions,574100000.0,233000000.0,223000000.0,101000000.0
Current Liabilities,33248000000.0,23833000000.0,20378000000.0,23373000000.0
Other Current Liabilities,2376500000.0,359000000.0,495000000.0,1886000000.0
Current Deferred Taxes Liabilities,28000000.0,30000000.0,5000000.0,
Current Debt And Capital Lease Obligation,8964700000.0,3076000000.0,4562000000.0,9011000000.0
Current Capital Lease Obligation,1237500000.0,991000000.0,704000000.0,1575000000.0
Current Debt,7727200000.0,2085000000.0,3858000000.0,7436000000.0
Current Provisions,1126500000.0,1189000000.0,1093000000.0,1230000000.0
Payables,19184500000.0,18101000000.0,13450000000.0,11244000000.0
Other Payable,1443000000.0,1752000000.0,1817000000.0,2116000000.0
Dividends Payable,153000000.0,31000000.0,33000000.0,38000000.0
Total Tax Payable,28000000.0,30200000.0,5000000.0,2000000.0
Accounts Payable,19156500000.0,16318000000.0,11600000000.0,9088000000.0
Total Assets,144277300000.0,131924000000.0,114167000000.0,113384000000.0
Total Non Current Assets,100905800000.0,90708000000.0,77754000000.0,86916000000.0
Other Non Current Assets,1528600000.0,68000000.0,12000000.0,772000000.0
Non Current Prepaid Assets,4379000000.0,2394000000.0,2031000000.0,
Non Current Deferred Taxes Assets,120600000.0,83000000.0,251000000.0,496000000.0
Investmentin Financial Assets,3925200000.0,789000000.0,367000000.0,2687000000.0
Held To Maturity Securities,,80000000.0,80000000.0,
Available For Sale Securities,3925200000.0,2000000.0,2000000.0,2687000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,972000000.0,707000000.0,285000000.0,
Long Term Equity Investment,1857600000.0,1994000000.0,3082000000.0,3242000000.0
Investment Properties,40600000.0,47000000.0,53000000.0,59000000.0
Goodwill And Other Intangible Assets,10917100000.0,10312000000.0,4611000000.0,4009000000.0
Other Intangible Assets,1059400000.0,1077000000.0,858000000.0,547000000.0
Goodwill,9857700000.0,9235000000.0,3753000000.0,3462000000.0
Net PPE,80337300000.0,72792000000.0,65458000000.0,72609000000.0
Accumulated Depreciation,-37413000000.0,-32508000000.0,-27080000000.0,
Gross PPE,80337300000.0,105300000000.0,92538000000.0,72609000000.0
Construction In Progress,6016600000.0,440000000.0,2116000000.0,2091000000.0
Other Properties,74320700000.0,29571000000.0,24751000000.0,70518000000.0
Machinery Furniture Equipment,18221000000.0,16822000000.0,14743000000.0,
Buildings And Improvements,50925000000.0,47673000000.0,43518000000.0,
Land And Improvements,11006000000.0,10794000000.0,7410000000.0,
Properties,0.0,0.0,0.0,
Current Assets,43371500000.0,41216000000.0,36413000000.0,26469000000.0
Other Current Assets,3451800000.0,1000000.0,1717900000.0,1651000000.0
Restricted Cash,3424000000.0,4529000000.0,2991000000.0,
Prepaid Assets,3592000000.0,2074000000.0,1987000000.0,
