,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,2485300000.0,9708000000.0,9779000000.0,7798000000.0
Repayment Of Debt,-5161200000.0,-7372000000.0,-13753000000.0,-8089000000.0
Issuance Of Debt,5849100000.0,4257000000.0,4768000000.0,7518000000.0
Issuance Of Capital Stock,45400000.0,0.0,11520000000.0,
Capital Expenditure,-11285200000.0,-6572000000.0,-2955000000.0,-5130000000.0
End Cash Position,4334200000.0,5830000000.0,4252000000.0,3807000000.0
Other Cash Adjustment Outside Changein Cash,137600000.0,1006000000.0,-165000000.0,
Beginning Cash Position,5465500000.0,4252000000.0,3807000000.0,2862000000.0
Changes In Cash,-1268900000.0,572000000.0,610000000.0,945000000.0
Financing Cash Flow,-6333300000.0,-7926000000.0,-3401000000.0,-9095000000.0
Net Other Financing Charges,,-10000000.0,-4000000.0,-39000000.0
Interest Paid Cff,-2514400000.0,-3764000000.0,-4676000000.0,-5645000000.0
Cash Dividends Paid,-2552200000.0,-433000000.0,-383000000.0,-1551000000.0
Common Stock Dividend Paid,-2552000000.0,,-382600000.0,-1551000000.0
Net Common Stock Issuance,45400000.0,0.0,11520000000.0,
Common Stock Issuance,45400000.0,0.0,11520000000.0,
Net Issuance Payments Of Debt,687900000.0,-3115000000.0,-8985000000.0,-571000000.0
Net Long Term Debt Issuance,687900000.0,-3115000000.0,-8985000000.0,-571000000.0
Long Term Debt Payments,-5161200000.0,-7372000000.0,-13753000000.0,-8089000000.0
Long Term Debt Issuance,5849100000.0,4257000000.0,4768000000.0,7518000000.0
Investing Cash Flow,-8706100000.0,-7782000000.0,-8723000000.0,-2888000000.0
Net Other Investing Changes,,,3217400000.0,940000.0
Interest Received Cfi,442200000.0,359000000.0,218000000.0,154000000.0
Dividends Received Cfi,50400000.0,0.0,0.0,60000.0
Net Investment Purchase And Sale,2563700000.0,-733000000.0,-11445000000.0,-783000000.0
Sale Of Investment,12483100000.0,13994000000.0,4746000000.0,669000000.0
Purchase Of Investment,-9919400000.0,-14727000000.0,-16191000000.0,-1452000000.0
Net Business Purchase And Sale,-499100000.0,-1000000000.0,5238000000.0,2826000000.0
Sale Of Business,,0.0,5278000000.0,2826000000.0
Purchase Of Business,-499100000.0,-1000000000.0,-40000000.0,0.0
Net PPE Purchase And Sale,-11244500000.0,-6518000000.0,-2804000000.0,-5106000000.0
Sale Of PPE,40700000.0,54000000.0,151000000.0,24000000.0
Purchase Of PPE,-11285200000.0,-6572000000.0,-2955000000.0,-5130000000.0
Operating Cash Flow,13770500000.0,16280000000.0,12734000000.0,12928000000.0
Taxes Refund Paid,-3819900000.0,-2043000000.0,353000000.0,-3061000000.0
Change In Working Capital,-4499500000.0,-4381000000.0,-721000000.0,-704000000.0
Change In Other Current Liabilities,324200000.0,-393000000.0,644000000.0,0.0
Change In Other Current Assets,-2879300000.0,-1219000000.0,1884000000.0,-545000000.0
Change In Payable,2808800000.0,2530000000.0,2534000000.0,1905000000.0
Change In Inventory,419300000.0,-1758000000.0,-946000000.0,-1531000000.0
Change In Receivables,-5363800000.0,-3419000000.0,-5303000000.0,-773000000.0
Other Non Cash Items,3363600000.0,494000000.0,5334000000.0,5907000000.0
Stock Based Compensation,760200000.0,26000000.0,32000000.0,3000000.0
Provisionand Write Offof Assets,512400000.0,18000000.0,116000000.0,-51000000.0
Deferred Tax,2562000000.0,4770000000.0,847000000.0,2252000000.0
Depreciation And Amortization,6152400000.0,6007000000.0,5731000000.0,6197000000.0
Amortization Cash Flow,404000000.0,408000000.0,,
Depreciation,6152400000.0,5599000000.0,5731000000.0,6197000000.0
Gain Loss On Investment Securities,-285400000.0,-435000000.0,-41000000.0,-2020000000.0
Net Foreign Currency Exchange Gain Loss,-2900000.0,-6000000.0,41000000.0,51000000.0
Gain Loss On Sale Of PPE,150400000.0,40000000.0,29000000.0,37000000.0
Gain Loss On Sale Of Business,,0.0,-354000000.0,
Net Income From Continuing Operations,8445700000.0,11084000000.0,1368000000.0,4317000000.0
