,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Treasury Shares Number,357659.0,223240.0,,
Ordinary Shares Number,958840131.0,958974550.0,959197790.0,959197790.0
Share Issued,958840131.0,959197790.0,959197790.0,959197790.0
Net Debt,4491100000.0,1539000000.0,21500000.0,
Total Debt,19326200000.0,15868400000.0,10930800000.0,11182400000.0
Tangible Book Value,155763400000.0,133827100000.0,122696700000.0,95427000000.0
Invested Capital,169644400000.0,145871800000.0,131548300000.0,104845900000.0
Working Capital,86392300000.0,75813400000.0,61007400000.0,31997300000.0
Net Tangible Assets,155763400000.0,133827100000.0,122696700000.0,95427000000.0
Capital Lease Obligations,9604100000.0,8112200000.0,7445400000.0,7638100000.0
Common Stock Equity,159922300000.0,138115600000.0,128062900000.0,101301600000.0
Total Capitalization,160683800000.0,138561000000.0,128207800000.0,101486600000.0
Total Equity Gross Minority Interest,164458900000.0,141990900000.0,132291500000.0,105336900000.0
Minority Interest,4536600000.0,3875300000.0,4228600000.0,4035300000.0
Stockholders Equity,159922300000.0,138115600000.0,128062900000.0,101301600000.0
Other Equity Interest,158963100000.0,134000000.0,,
Treasury Stock,1108900000.0,750000000.0,,
Retained Earnings,113668400000.0,91859500000.0,78740200000.0,52046400000.0
Additional Paid In Capital,53700000.0,53700000.0,53700000.0,53700000.0
Capital Stock,959200000.0,959200000.0,959200000.0,959200000.0
Common Stock,959200000.0,959200000.0,959200000.0,959200000.0
Total Liabilities Net Minority Interest,93521100000.0,87853600000.0,71404700000.0,56210800000.0
Total Non Current Liabilities Net Minority Interest,14561800000.0,12143700000.0,12146100000.0,12407000000.0
Other Non Current Liabilities,391700000.0,21100000.0,7100000.0,
Derivative Product Liabilities,61200000.0,0.0,,
Non Current Pension And Other Postretirement Benefit Plans,2293100000.0,,2152100000.0,1807500000.0
Tradeand Other Payables Non Current,179200000.0,12900000.0,26200000.0,16100000.0
Non Current Deferred Revenue,400500000.0,30000000.0,46300000.0,61000000.0
Non Current Deferred Taxes Liabilities,3348400000.0,3488500000.0,4155900000.0,4438000000.0
Long Term Debt And Capital Lease Obligation,8050900000.0,6429100000.0,5758500000.0,6084400000.0
Long Term Capital Lease Obligation,7289400000.0,5983700000.0,5613600000.0,5899400000.0
Long Term Debt,761500000.0,445400000.0,144900000.0,185000000.0
Long Term Provisions,2307000000.0,2183200000.0,2152100000.0,
Current Liabilities,78959300000.0,75709900000.0,59258600000.0,43803800000.0
Other Current Liabilities,4590400000.0,28700000.0,5800000.0,1300000.0
Current Deferred Taxes Liabilities,1636900000.0,1301200000.0,1212300000.0,1800500000.0
Current Debt And Capital Lease Obligation,11275300000.0,9439300000.0,5172300000.0,5098000000.0
Current Capital Lease Obligation,2314700000.0,2128500000.0,1831800000.0,1738700000.0
Current Debt,8960600000.0,7310800000.0,3340500000.0,3359300000.0
Pensionand Other Post Retirement Benefit Plans Current,729800000.0,,,
Current Provisions,742100000.0,697000000.0,844300000.0,624600000.0
Payables,37991300000.0,63453900000.0,51594200000.0,35784300000.0
Other Payable,26653600000.0,21339900000.0,17349100000.0,13829500000.0
Dividends Payable,239900000.0,246600000.0,266700000.0,224700000.0
Total Tax Payable,1636900000.0,1301200000.0,1212300000.0,
Accounts Payable,36354400000.0,41867400000.0,33978400000.0,21730100000.0
Total Assets,257980000000.0,229844500000.0,203696200000.0,161547700000.0
Total Non Current Assets,92628400000.0,78321200000.0,83430200000.0,85746600000.0
Other Non Current Assets,3345400000.0,1328700000.0,683800000.0,
Non Current Prepaid Assets,5731500000.0,3656700000.0,2817200000.0,3862300000.0
Non Current Deferred Taxes Assets,186700000.0,260200000.0,142800000.0,168000000.0
Financial Assets,0.0,0.0,,
Investmentin Financial Assets,11461600000.0,5513600000.0,9857800000.0,10497400000.0
Held To Maturity Securities,8300000.0,6700000.0,8300000.0,11500000.0
Available For Sale Securities,11461600000.0,5496200000.0,6597700000.0,6279300000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,19200000.0,10700000.0,3251800000.0,4206600000.0
Long Term Equity Investment,7817300000.0,5154700000.0,4839000000.0,4566300000.0
Investmentsin Associatesat Cost,7817300000.0,5154700000.0,4839000000.0,4566300000.0
Goodwill And Other Intangible Assets,4158900000.0,4288500000.0,5366200000.0,5874600000.0
Other Intangible Assets,1874100000.0,1859900000.0,2339900000.0,2674700000.0
Goodwill,2284800000.0,2428600000.0,3026300000.0,3199900000.0
Net PPE,63741600000.0,55166400000.0,55048800000.0,58250900000.0
Accumulated Depreciation,-33361300000.0,-28124000000.0,-22960000000.0,-18029300000.0
Gross PPE,63741600000.0,83290400000.0,78008800000.0,76280200000.0
Construction In Progress,10195900000.0,4264300000.0,1829800000.0,1402400000.0
