,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,-76683300000.0,-360588858000.0,375190088000.0,-57889574000.0
Issuance Of Capital Stock,5586500000.0,25500127000.0,0.0,46167645000.0
Capital Expenditure,-6232900000.0,-5719770000.0,-3489950000.0,-9618793000.0
End Cash Position,846832800000.0,917088901000.0,1266936250000.0,866090593000.0
Other Cash Adjustment Outside Changein Cash,-100000.0,,-4000.0,
Beginning Cash Position,917088900000.0,1266936250000.0,866090593000.0,948599950000.0
Changes In Cash,-70256000000.0,-349847349000.0,400845661000.0,-82509357000.0
Financing Cash Flow,5407700000.0,11461259000.0,23981607000.0,-31920550000.0
Net Other Financing Charges,,,30000001000.0,-46380000000.0
Interest Paid Cff,-6971700000.0,-7038868000.0,-6538394000.0,-8458195000.0
Cash Dividends Paid,-8207100000.0,,,
Common Stock Dividend Paid,-8207100000.0,,,
Net Common Stock Issuance,5586500000.0,25500127000.0,0.0,46167645000.0
Common Stock Issuance,5586500000.0,25500127000.0,0.0,46167645000.0
Net Issuance Payments Of Debt,15000000000.0,-7000000000.0,520000000.0,-23250000000.0
Net Long Term Debt Issuance,15000000000.0,-7000000000.0,520000000.0,-23250000000.0
Investing Cash Flow,-5213300000.0,-6439520000.0,-1815984000.0,-2318026000.0
Net Other Investing Changes,-189100000.0,-1110624000.0,1261192000.0,1110950000.0
Dividends Received Cfi,212500000.0,155962000.0,222042000.0,143038000.0
Net Business Purchase And Sale,-8627665000.0,,,1218330000.0
Net PPE Purchase And Sale,-5236700000.0,-5484858000.0,-3299218000.0,-3572014000.0
Sale Of PPE,996200000.0,234912000.0,190732000.0,6046779000.0
Purchase Of PPE,-6232900000.0,-5719770000.0,-3489950000.0,-9618793000.0
Operating Cash Flow,-70450400000.0,-354869088000.0,378680038000.0,-48270781000.0
Taxes Refund Paid,3560400000.0,-5558522000.0,7562696000.0,-8628265000.0
Change In Working Capital,-202284800000.0,-466861192000.0,250595464000.0,-169133441000.0
Change In Other Current Liabilities,-35287200000.0,68515095000.0,1932176000.0,34282567000.0
Change In Other Current Assets,46210800000.0,-16819052000.0,-51830483000.0,13184895000.0
Other Non Cash Items,6971700000.0,7038868000.0,6538394000.0,8458195000.0
Provisionand Write Offof Assets,60222200000.0,40669176000.0,67762333000.0,158237105000.0
Depreciation And Amortization,4265100000.0,3716786000.0,3800935000.0,3919554000.0
Depreciation,4265100000.0,3716786000.0,3800935000.0,3919554000.0
Gain Loss On Investment Securities,-15957600000.0,3366613000.0,-222042000.0,-143038000.0
Gain Loss On Sale Of PPE,-1340500000.0,-7938000.0,-602064000.0,-467462000.0
Gain Loss On Sale Of Business,,,0.0,
Net Income From Continuing Operations,60545800000.0,56600977000.0,31617782000.0,-46914589000.0
