,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,807150593.0,806814036.0,806463279.0,806235329.0
Share Issued,807150593.0,806814036.0,806463279.0,806235329.0
Net Debt,,1464000000.0,9622700000.0,20740500000.0
Total Debt,8031200000.0,10557800000.0,20144100000.0,30892000000.0
Tangible Book Value,188937800000.0,160009000000.0,134909800000.0,109289300000.0
Invested Capital,239281400000.0,216658300000.0,200820900000.0,185794300000.0
Working Capital,121652800000.0,98143300000.0,86179600000.0,73130400000.0
Net Tangible Assets,188937800000.0,160009000000.0,134909800000.0,109289300000.0
Capital Lease Obligations,2827600000.0,2316400000.0,2588500000.0,2727700000.0
Common Stock Equity,234077800000.0,208416900000.0,183265300000.0,157630000000.0
Total Capitalization,234077800000.0,212579300000.0,195292800000.0,181322800000.0
Total Equity Gross Minority Interest,237135400000.0,211173800000.0,185855900000.0,160572800000.0
Minority Interest,3057600000.0,2756900000.0,2590600000.0,2942800000.0
Stockholders Equity,234077800000.0,208416900000.0,183265300000.0,157630000000.0
Other Equity Interest,232463500000.0,439800000.0,420900000.0,530500000.0
Retained Earnings,180570300000.0,156690700000.0,135369800000.0,111178800000.0
Additional Paid In Capital,16527700000.0,16316900000.0,16133100000.0,16020300000.0
Capital Stock,1614300000.0,1613600000.0,1612900000.0,1612500000.0
Common Stock,1614300000.0,1613600000.0,1612900000.0,1612500000.0
Total Liabilities Net Minority Interest,57497400000.0,59837400000.0,65663000000.0,76052800000.0
Total Non Current Liabilities Net Minority Interest,6400700000.0,10705300000.0,19747500000.0,32121400000.0
Other Non Current Liabilities,521100000.0,125000000.0,134500000.0,150000000.0
Derivative Product Liabilities,392400000.0,347500000.0,282600000.0,235900000.0
Non Current Pension And Other Postretirement Benefit Plans,1021600000.0,1002200000.0,,1332700000.0
Non Current Deferred Revenue,521100000.0,514600000.0,636100000.0,674800000.0
Non Current Deferred Taxes Liabilities,1632800000.0,2439600000.0,2966100000.0,3652100000.0
Long Term Debt And Capital Lease Obligation,2088200000.0,5745200000.0,14006400000.0,25523600000.0
Long Term Capital Lease Obligation,2088200000.0,1582800000.0,1978900000.0,1830800000.0
Long Term Debt,0.0,4162400000.0,12027500000.0,23692800000.0
Long Term Provisions,1021600000.0,1002200000.0,1161700000.0,
Current Liabilities,51096700000.0,49132100000.0,45915500000.0,43931400000.0
Other Current Liabilities,2841300000.0,461500000.0,619000000.0,646200000.0
Current Debt And Capital Lease Obligation,5943000000.0,4812600000.0,6137700000.0,5368400000.0
Current Capital Lease Obligation,739400000.0,733600000.0,609600000.0,896900000.0
Current Debt,5203600000.0,4079000000.0,5528100000.0,4471500000.0
Current Provisions,12866700000.0,12210000000.0,10783200000.0,9481900000.0
Payables,24736300000.0,29713000000.0,25064500000.0,26003100000.0
Other Payable,4530500000.0,4181900000.0,3898100000.0,2868500000.0
Dividends Payable,111400000.0,119100000.0,111200000.0,114500000.0
Total Tax Payable,165800000.0,206200000.0,180600000.0,93400000.0
Accounts Payable,24570500000.0,25205800000.0,20874600000.0,22926700000.0
Total Assets,294632800000.0,271011200000.0,251518900000.0,236625600000.0
Total Non Current Assets,121883300000.0,123735800000.0,119423800000.0,119563800000.0
Other Non Current Assets,2581700000.0,2189100000.0,1555700000.0,
Non Current Prepaid Assets,2834600000.0,2286300000.0,1308400000.0,1624900000.0
Non Current Deferred Assets,,,,0.0
Non Current Deferred Taxes Assets,4565400000.0,4488300000.0,3146900000.0,2397700000.0
Financial Assets,,,,0.0
Investmentin Financial Assets,5809400000.0,6329700000.0,1953000000.0,2195300000.0
Available For Sale Securities,5809400000.0,6329700000.0,1953000000.0,2195300000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,0.0,0.0,0.0,0.0
Long Term Equity Investment,909000000.0,458100000.0,2283800000.0,2349700000.0
Investmentsin Associatesat Cost,909000000.0,458100000.0,2283800000.0,2349700000.0
Investment Properties,598300000.0,614200000.0,1217500000.0,1243000000.0
Goodwill And Other Intangible Assets,45140000000.0,48407900000.0,48355500000.0,48340700000.0
Other Intangible Assets,15301400000.0,17028600000.0,18282600000.0,19000700000.0
Goodwill,29838600000.0,31379300000.0,30072900000.0,29340000000.0
Net PPE,56799500000.0,55473000000.0,55271100000.0,55490500000.0
Accumulated Depreciation,-45847000000.0,-41870700000.0,-35939400000.0,-30238900000.0
Gross PPE,56799500000.0,97343700000.0,91210500000.0,85729400000.0
Construction In Progress,6891700000.0,3829000000.0,5708400000.0,4210000000.0
Other Properties,49907800000.0,51644000000.0,49562700000.0,
Machinery Furniture Equipment,62087400000.0,60812800000.0,55510100000.0,52061000000.0
Buildings And Improvements,31161700000.0,30511300000.0,28256300000.0,27866500000.0
Land And Improvements,2505700000.0,2190600000.0,1735700000.0,1591900000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,172749500000.0,147275400000.0,132095100000.0,117061800000.0
Other Current Assets,8489900000.0,88000000.0,93100000.0,66300000.0
Hedging Assets Current,92100000.0,184800000.0,616100000.0,143800000.0
