,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,6162728327.0,6162728327.0,6162728327.0,6162728327.0
Share Issued,6162728327.0,6162728327.0,6162728327.0,6162728327.0
Net Debt,,,6487400000.0,46569300000.0
Total Debt,43314200000.0,35136400000.0,58828900000.0,64337700000.0
Tangible Book Value,522974300000.0,429418100000.0,364177500000.0,320883700000.0
Invested Capital,613596200000.0,464528000000.0,424002500000.0,385906900000.0
Working Capital,393480600000.0,354402800000.0,330819900000.0,350485000000.0
Net Tangible Assets,522974300000.0,429418100000.0,364177500000.0,320883700000.0
Capital Lease Obligations,2166900000.0,2038800000.0,,
Common Stock Equity,572448900000.0,431430400000.0,365173600000.0,321569200000.0
Total Capitalization,613511400000.0,464448200000.0,392054600000.0,341503000000.0
Total Equity Gross Minority Interest,580155700000.0,438168300000.0,369584400000.0,325510000000.0
Minority Interest,7706800000.0,6737900000.0,4410800000.0,3940800000.0
Stockholders Equity,572448900000.0,431430400000.0,365173600000.0,321569200000.0
Other Equity Interest,510821600000.0,369803100000.0,303546300000.0,
Retained Earnings,,174518000000.0,117409600000.0,75479500000.0
Additional Paid In Capital,,12029600000.0,12029600000.0,12029600000.0
Capital Stock,61627300000.0,61627300000.0,61627300000.0,61627300000.0
Common Stock,61627300000.0,61627300000.0,61627300000.0,61627300000.0
Total Liabilities Net Minority Interest,1531910800000.0,1364265000000.0,1248212500000.0,1174705100000.0
Total Non Current Liabilities Net Minority Interest,844564400000.0,790238300000.0,731783800000.0,690068500000.0
Other Non Current Liabilities,68269900000.0,53292100000.0,49355700000.0,46150500000.0
Non Current Pension And Other Postretirement Benefit Plans,688279500000.0,659440000000.0,631786100000.0,602266000000.0
Non Current Deferred Revenue,,6539700000.0,7117300000.0,7816900000.0
Non Current Deferred Taxes Liabilities,13306800000.0,8110200000.0,7220700000.0,
Long Term Debt And Capital Lease Obligation,42632500000.0,34614400000.0,26881000000.0,19933800000.0
Long Term Capital Lease Obligation,1570000000.0,1596600000.0,,
Long Term Debt,41062500000.0,33017800000.0,26881000000.0,19933800000.0
Long Term Provisions,,659440000000.0,631786100000.0,602266000000.0
Current Liabilities,687346400000.0,574026700000.0,516428700000.0,484636600000.0
Other Current Liabilities,323139400000.0,5925800000.0,17042100000.0,17974600000.0
Current Debt And Capital Lease Obligation,681700000.0,522000000.0,31947900000.0,44403900000.0
Current Capital Lease Obligation,596900000.0,442200000.0,,
Current Debt,84800000.0,79800000.0,31947900000.0,44403900000.0
Pensionand Other Post Retirement Benefit Plans Current,149633800000.0,37866800000.0,,
Current Provisions,,60946800000.0,64659000000.0,67902700000.0
Payables,85739600000.0,228984400000.0,198507000000.0,206118000000.0
Other Payable,,116461000000.0,101261000000.0,81211700000.0
Dividends Payable,,151800000.0,137600000.0,166800000.0
Total Tax Payable,247800000.0,26453800000.0,20732100000.0,23664000000.0
Accounts Payable,85491800000.0,85917800000.0,76376300000.0,101075500000.0
Total Assets,2112066500000.0,1802433300000.0,1617796900000.0,1500215100000.0
Total Non Current Assets,1031239500000.0,874003800000.0,770548300000.0,665093500000.0
Other Non Current Assets,96061500000.0,29991400000.0,24653100000.0,17924000000.0
Non Current Prepaid Assets,,37818400000.0,24362100000.0,25592100000.0
Non Current Deferred Assets,,2577500000.0,,
Non Current Deferred Taxes Assets,41770000000.0,41380900000.0,40594300000.0,33109700000.0
Investmentin Financial Assets,193856900000.0,141269300000.0,133949500000.0,129797900000.0
Held To Maturity Securities,,0.0,6499500000.0,9587000000.0
Available For Sale Securities,193856900000.0,141269300000.0,127450000000.0,120210900000.0
Long Term Equity Investment,,24268900000.0,16676100000.0,9143900000.0
Investmentsin Joint Venturesat Cost,,24268900000.0,16676100000.0,9143900000.0
Goodwill And Other Intangible Assets,49474600000.0,2012300000.0,996100000.0,685500000.0
Other Intangible Assets,49474600000.0,2012300000.0,996100000.0,685500000.0
Net PPE,646354400000.0,593728700000.0,527954400000.0,450433100000.0
Accumulated Depreciation,,-215353600000.0,-177679500000.0,-146677300000.0
Gross PPE,597105900000.0,809082300000.0,705633900000.0,597110400000.0
Construction In Progress,152626200000.0,129246800000.0,105359400000.0,83891100000.0
Other Properties,444479700000.0,7647600000.0,5404400000.0,5071200000.0
Machinery Furniture Equipment,,329525100000.0,285176800000.0,225863300000.0
Buildings And Improvements,,51225200000.0,45088800000.0,40348700000.0
Land And Improvements,,214830000000.0,187708700000.0,159236000000.0
Properties,,76607600000.0,76895800000.0,82700100000.0
Current Assets,1080827000000.0,928429500000.0,847248600000.0,835121600000.0
Other Current Assets,314349300000.0,4946300000.0,5279100000.0,142486600000.0
Restricted Cash,,8663300000.0,6899900000.0,13603700000.0
Prepaid Assets,,167828900000.0,151026600000.0,81337800000.0
Inventory,81546800000.0,70756800000.0,89474700000.0,66189400000.0
Other Inventories,,90100000.0,86800000.0,69200000.0
Finished Goods,,54128800000.0,76160300000.0,51617000000.0
Work In Process,,921500000.0,1974900000.0,2665700000.0
Raw Materials,,15616400000.0,11252700000.0,11837500000.0
Other Receivables,207900000.0,26085000000.0,28388900000.0,39098800000.0
Taxes Receivable,87190000000.0,180488000000.0,167347600000.0,218948100000.0
Accounts Receivable,130604800000.0,113676800000.0,196231200000.0,144082200000.0
Allowance For Doubtful Accounts Receivable,,-24245300000.0,-25427300000.0,-18879000000.0
Gross Accounts Receivable,,137922100000.0,221658500000.0,162961200000.0
Cash Cash Equivalents And Short Term Investments,466928200000.0,355984400000.0,202600600000.0,271861600000.0
Other Short Term Investments,410274400000.0,293207400000.0,150259100000.0,254093200000.0
