,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,1812100000.0,-2494133000.0,-1170381000.0,5283204000.0
Capital Expenditure,-351900000.0,-161541000.0,-267860000.0,-256475000.0
End Cash Position,8466300000.0,7358407000.0,9849729000.0,11293446000.0
Beginning Cash Position,7358400000.0,9849729000.0,11293446000.0,6232795000.0
Changes In Cash,1107900000.0,-2491322000.0,-1443717000.0,5060651000.0
Financing Cash Flow,0.0,0.0,-275000000.0,-229000000.0
Net Issuance Payments Of Debt,,0.0,-275000000.0,-229000000.0
Net Long Term Debt Issuance,,0.0,-275000000.0,-229000000.0
Investing Cash Flow,-1056100000.0,-158730000.0,-266196000.0,-250028000.0
Net Investment Purchase And Sale,-712700000.0,,,
Net PPE Purchase And Sale,-343400000.0,-158730000.0,-266196000.0,-250028000.0
Sale Of PPE,8500000.0,2811000.0,1664000.0,6447000.0
Purchase Of PPE,-351900000.0,-161541000.0,-267860000.0,-256475000.0
Operating Cash Flow,2164000000.0,-2332592000.0,-902521000.0,5539679000.0
Taxes Refund Paid,1300000.0,-9883000.0,-5564000.0,-9137000.0
Change In Working Capital,101600000.0,-3664825000.0,-2278711000.0,3924270000.0
Change In Other Current Liabilities,-218800000.0,-138749000.0,-57666000.0,835545000.0
Change In Other Current Assets,-201300000.0,42960000.0,784247000.0,-753230000.0
Other Non Cash Items,203600000.0,184155000.0,149859000.0,121296000.0
Provisionand Write Offof Assets,908600000.0,1245845000.0,513531000.0,777845000.0
Deferred Tax,,,54400000.0,
Depreciation And Amortization,211100000.0,200171000.0,153330000.0,133158000.0
Depreciation,211100000.0,200171000.0,153330000.0,133158000.0
Pension And Employee Benefit Expense,28600000.0,28585000.0,,
Gain Loss On Sale Of PPE,-7700000.0,-2157000.0,579000.0,101000.0
Net Income From Continuing Operations,316100000.0,359041000.0,371881000.0,657785000.0
