,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,21649700000.0,8862100000.0,11587500000.0,11482300000.0
Repayment Of Debt,-195600000.0,-1366900000.0,-267800000.0,-2983200000.0
Issuance Of Debt,1950100000.0,321400000.0,397600000.0,2672200000.0
Issuance Of Capital Stock,112200000.0,64900000.0,383600000.0,289000000.0
Capital Expenditure,-6824900000.0,-6408300000.0,-5548200000.0,-5459000000.0
End Cash Position,529700000.0,445500000.0,941200000.0,432100000.0
Beginning Cash Position,445500000.0,941200000.0,432100000.0,7157500000.0
Changes In Cash,84200000.0,-495700000.0,509100000.0,-6725400000.0
Financing Cash Flow,-4174400000.0,-5933600000.0,-147600000.0,-8582600000.0
Net Other Financing Charges,,50600000.0,,-1263000000.0
Interest Paid Cff,-182200000.0,-187400000.0,-157800000.0,-75100000.0
Cash Dividends Paid,-5741900000.0,-4646700000.0,,-6824300000.0
Common Stock Dividend Paid,,,0.0,-6824300000.0
Net Common Stock Issuance,112200000.0,64900000.0,383600000.0,289000000.0
Common Stock Issuance,112200000.0,64900000.0,383600000.0,289000000.0
Net Issuance Payments Of Debt,1754500000.0,-1045500000.0,129800000.0,-311000000.0
Net Short Term Debt Issuance,440400000.0,-1045500000.0,129800000.0,-311000000.0
Short Term Debt Payments,-195600000.0,-1366900000.0,-267800000.0,-2983200000.0
Short Term Debt Issuance,636000000.0,321400000.0,397600000.0,2672200000.0
Net Long Term Debt Issuance,1314100000.0,,,
Long Term Debt Issuance,1314100000.0,,,
Investing Cash Flow,-24216000000.0,-9832500000.0,-16479000000.0,-15084100000.0
Net Other Investing Changes,878500000.0,-2176300000.0,,
Interest Received Cfi,2044900000.0,3984400000.0,-2668500000.0,2041400000.0
Dividends Received Cfi,408000000.0,272000000.0,0.0,680000000.0
Net Investment Purchase And Sale,-20810300000.0,-5525600000.0,-8435100000.0,-12350800000.0
Sale Of Investment,77805800000.0,101272600000.0,81164600000.0,121931700000.0
Purchase Of Investment,-98616100000.0,-106798200000.0,-89599700000.0,-134282500000.0
Net Business Purchase And Sale,,,0.0,-9900000.0
Purchase Of Business,,,0.0,-9900000.0
Net PPE Purchase And Sale,-6737100000.0,-6387000000.0,-5375400000.0,-5444800000.0
Sale Of PPE,87800000.0,21300000.0,172800000.0,14200000.0
Purchase Of PPE,-6824900000.0,-6408300000.0,-5548200000.0,-5459000000.0
Operating Cash Flow,28474600000.0,15270400000.0,17135700000.0,16941300000.0
Taxes Refund Paid,-7702700000.0,-5136100000.0,-4566000000.0,-6283100000.0
Change In Working Capital,656700000.0,-1502600000.0,2578200000.0,862000000.0
Change In Other Current Liabilities,2282500000.0,1282200000.0,2684800000.0,-839500000.0
Change In Other Current Assets,-352300000.0,-2289600000.0,-1811400000.0,3076400000.0
Change In Payable,221500000.0,2834100000.0,5273200000.0,-2148800000.0
Change In Inventory,-1460400000.0,-2578000000.0,-3022500000.0,610300000.0
Change In Receivables,-590400000.0,-1465700000.0,-724700000.0,7200000.0
Other Non Cash Items,-1897600000.0,-2076200000.0,-2950800000.0,-2017800000.0
Stock Based Compensation,227600000.0,-293400000.0,374800000.0,255200000.0
Provisionand Write Offof Assets,73800000.0,0.0,181200000.0,
Depreciation And Amortization,5262100000.0,4519300000.0,4507300000.0,3815400000.0
Amortization Cash Flow,,773000000.0,,
Depreciation,5262100000.0,3746300000.0,4507300000.0,3815400000.0
Pension And Employee Benefit Expense,,,,-2500000.0
Gain Loss On Investment Securities,-3011200000.0,-1552600000.0,-1066900000.0,-3029800000.0
Net Foreign Currency Exchange Gain Loss,18200000.0,-167900000.0,423000000.0,83200000.0
Gain Loss On Sale Of PPE,3100000.0,42300000.0,14800000.0,26900000.0
Gain Loss On Sale Of Business,,,,0.0
Net Income From Continuing Operations,37996300000.0,22025100000.0,17983900000.0,23548900000.0
