,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,0.0,-1911000.0,0.0
Tax Rate For Calcs,0.0,0.0,0.3,0.0
Total Unusual Items,0.0,-3304000.0,-6370000.0,2860000.0
Total Unusual Items Excluding Goodwill,0.0,-3304000.0,-6370000.0,2860000.0
Net Income From Continuing Operation Net Minority Interest,650800000.0,427408000.0,204740000.0,-320360000.0
Reconciled Depreciation,418600000.0,354504000.0,535830000.0,235660000.0
Net Interest Income,474900000.0,203218000.0,107130000.0,82620000.0
Interest Expense,473700000.0,153061000.0,95420000.0,98680000.0
Interest Income,948600000.0,356279000.0,202550000.0,181300000.0
Normalized Income,650800000.0,430712000.0,209199000.0,-323220000.0
Net Income From Continuing And Discontinued Operation,650800000.0,427408000.0,204740000.0,-320360000.0
Diluted Average Shares,83214302.0,80009250.0,78014996.0,78014996.0
Basic Average Shares,83214302.0,80009250.0,78014996.0,78014996.0
Diluted EPS,7.82,5.34,2.62,-4.11
Basic EPS,7.82,5.34,2.62,-4.11
Diluted NI Availto Com Stockholders,650800000.0,427408000.0,204740000.0,-320360000.0
Net Income Common Stockholders,650800000.0,427408000.0,204740000.0,-320360000.0
Net Income,650800000.0,427408000.0,204740000.0,-320360000.0
Net Income Including Noncontrolling Interests,650800000.0,427445000.0,204730000.0,-320360000.0
Net Income Extraordinary,0.0,0.0,,
Net Income Continuous Operations,650800000.0,427445000.0,204730000.0,-320360000.0
Tax Provision,0.0,0.0,,
Pretax Income,650800000.0,427445000.0,204730000.0,-320360000.0
Special Income Charges,0.0,-3304000.0,-6370000.0,2860000.0
Other Special Charges,170000.0,3304000.0,6370000.0,-2860000.0
Impairment Of Capital Assets,0.0,0.0,,
Gain On Sale Of Security,-3015000.0,1086000.0,,-90000.0
Operating Expense,11174600000.0,3351533000.0,2932020000.0,2744840000.0
Other Operating Expenses,9618500000.0,718938000.0,550300000.0,608890000.0
Depreciation And Amortization In Income Statement,418547000.0,354504000.0,535830000.0,235660000.0
Depreciation Income Statement,418547000.0,354504000.0,535830000.0,235660000.0
Selling General And Administration,497690000.0,550664000.0,383640000.0,310660000.0
Selling And Marketing Expense,116242000.0,161515000.0,86360000.0,70830000.0
General And Administrative Expense,381448000.0,389149000.0,297280000.0,239830000.0
Insurance And Claims,52281000.0,37759000.0,31110000.0,26430000.0
Rent And Landing Fees,262595000.0,245216000.0,201910000.0,232500000.0
Total Revenue,11825400000.0,3782282000.0,3183340000.0,2431950000.0
Operating Revenue,11825400000.0,3782282000.0,3183340000.0,2431950000.0
