,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,677600000.0,1639900000.0,1426800000.0,1110900000.0
Repayment Of Debt,-260900000.0,-205300000.0,-125600000.0,-75500000.0
Issuance Of Debt,2150000000.0,0.0,602500000.0,
Issuance Of Capital Stock,14700000.0,17100000.0,1061600000.0,44200000.0
Capital Expenditure,-1394100000.0,-41300000.0,-9700000.0,-11300000.0
End Cash Position,-12000000.0,672900000.0,858300000.0,435300000.0
Other Cash Adjustment Outside Changein Cash,600000.0,,129800000.0,
Beginning Cash Position,672900000.0,858300000.0,435300000.0,162700000.0
Effect Of Exchange Rate Changes,32300000.0,2000000.0,-600000.0,21200000.0
Changes In Cash,-717800000.0,-187400000.0,293800000.0,251400000.0
Financing Cash Flow,720700000.0,-907800000.0,1693600000.0,-133400000.0
Net Other Financing Charges,-203400000.0,-186100000.0,-30000000.0,
Interest Paid Cff,-207800000.0,-81500000.0,-70100000.0,-74100000.0
Cash Dividends Paid,-571500000.0,-683000000.0,,
Common Stock Dividend Paid,-571500000.0,-683000000.0,,
Net Common Stock Issuance,14700000.0,17100000.0,1061600000.0,44200000.0
Common Stock Issuance,14700000.0,17100000.0,1061600000.0,44200000.0
Net Issuance Payments Of Debt,1889100000.0,195900000.0,898200000.0,67500000.0
Net Short Term Debt Issuance,461700000.0,401200000.0,421300000.0,143000000.0
Short Term Debt Issuance,461700000.0,401200000.0,421300000.0,
Net Long Term Debt Issuance,1427400000.0,-205300000.0,476900000.0,-75500000.0
Long Term Debt Payments,-260900000.0,-205300000.0,-125600000.0,-75500000.0
Long Term Debt Issuance,1688300000.0,0.0,602500000.0,
Investing Cash Flow,-3510200000.0,-960800000.0,-2836300000.0,-737400000.0
Net Other Investing Changes,,,700000.0,7500000.0
Interest Received Cfi,44500000.0,8400000.0,77700000.0,37900000.0
Net Investment Purchase And Sale,-1061900000.0,-928900000.0,-2302500000.0,-771500000.0
Sale Of Investment,4720300000.0,3454200000.0,3931300000.0,205400000.0
Purchase Of Investment,-5782200000.0,-4383100000.0,-6233800000.0,-976900000.0
Net Business Purchase And Sale,-1098700000.0,0.0,-602500000.0,
Purchase Of Business,-1098700000.0,0.0,-602500000.0,
Net Intangibles Purchase And Sale,-83500000.0,-34600000.0,-1900000.0,-6700000.0
Purchase Of Intangibles,-83500000.0,-34600000.0,-1900000.0,-6700000.0
Net PPE Purchase And Sale,-1310600000.0,-5700000.0,-7800000.0,-4600000.0
Sale Of PPE,0.0,1000000.0,,
Purchase Of PPE,-1310600000.0,-6700000.0,-7800000.0,-4600000.0
Operating Cash Flow,2071700000.0,1681200000.0,1436500000.0,1122200000.0
Taxes Refund Paid,-888200000.0,-534700000.0,-360000000.0,-60500000.0
Change In Working Capital,-625300000.0,-549700000.0,-291500000.0,70200000.0
Change In Other Current Liabilities,-160700000.0,150000000.0,-57500000.0,176800000.0
Change In Other Current Assets,-337600000.0,-402800000.0,-176500000.0,-321400000.0
Change In Payable,75600000.0,148900000.0,-64400000.0,47700000.0
Change In Receivables,-250400000.0,-451600000.0,-44700000.0,124700000.0
Other Non Cash Items,-49500000.0,64500000.0,-44300000.0,33600000.0
Stock Based Compensation,12000000.0,30000000.0,29700000.0,26600000.0
Depreciation And Amortization,419100000.0,328800000.0,227400000.0,202300000.0
Amortization Cash Flow,141700000.0,,,
Depreciation,419100000.0,328800000.0,227400000.0,202300000.0
Gain Loss On Investment Securities,-16900000.0,-174500000.0,-85500000.0,-57600000.0
Net Foreign Currency Exchange Gain Loss,121900000.0,40400000.0,6600000.0,-17300000.0
Gain Loss On Sale Of PPE,0.0,-1000000.0,,
Gain Loss On Sale Of Business,,0.0,-8200000.0,
Net Income From Continuing Operations,3098600000.0,2458500000.0,1860200000.0,736100000.0
