,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Treasury Shares Number,6300153.0,6320000.0,,
Ordinary Shares Number,2713665096.0,2707345096.0,2713665096.0,2713665096.0
Share Issued,2713665096.0,2713665096.0,2713665096.0,2713665096.0
Net Debt,,,,33015115.354018
Total Debt,47860000000.0,836495081.651573,885142513.254672,1058870326.173429
Tangible Book Value,384940000000.0,4570061573.317614,4196291687.203353,2906258286.926545
Invested Capital,676560000000.0,8690554845.618324,8689400891.54179,7472686290.108724
Working Capital,321460000000.0,3859508916.85558,3494822032.029061,1947759215.062318
Net Tangible Assets,384940000000.0,4570061573.317614,4196291687.203353,2906258286.926545
Capital Lease Obligations,25350000000.0,310965694.865901,353185614.425876,383717846.725007
Common Stock Equity,654050000000.0,8165025458.832652,8157443992.712994,6797533810.660302
Total Capitalization,675160000000.0,8682378478.747381,8678644660.416252,7175152479.448422
Total Equity Gross Minority Interest,653980000000.0,8177158132.254053,8180454158.032182,6817952797.666401
Minority Interest,-70000000.0,12132673.421401,23010165.319188,20418987.006099
Stockholders Equity,654050000000.0,8165025458.832652,8157443992.712994,6797533810.660302
Other Equity Interest,648620000000.0,10813904.571248,,
Treasury Stock,,106029015.552241,,
Retained Earnings,,7330640407.341322,7448894286.67126,6334128878.281623
Additional Paid In Capital,,2769414.58532,2859251.311852,2784407.319014
Capital Stock,5430000000.0,71609148.563267,73932069.635023,71996817.820207
Common Stock,5430000000.0,71609148.563267,73932069.635023,71996817.820207
Total Liabilities Net Minority Interest,280130000000.0,3564236571.306491,3555274774.051069,4174622116.149562
Total Non Current Liabilities Net Minority Interest,65820000000.0,1088248055.145638,1188495461.959704,1028241845.66428
Other Non Current Liabilities,410000000.0,4351937.205502,3948489.906843,51843012.463538
Derivative Product Liabilities,,0.0,,28904799.787855
Non Current Pension And Other Postretirement Benefit Plans,13150000000.0,186605792.296544,181494380.890398,138955184.301246
Non Current Accrued Expenses,,6330090.480731,6399276.745573,16839034.738796
Tradeand Other Payables Non Current,,53278261.546151,64673541.577599,12463537.523203
Non Current Deferred Revenue,7840000000.0,86774990.340018,70255889.376928,49456377.618669
Non Current Deferred Taxes Liabilities,1610000000.0,14770211.121705,20014759.182962,11535401.750199
Long Term Debt And Capital Lease Obligation,37750000000.0,736136772.154987,780303298.486775,666534075.841952
Long Term Capital Lease Obligation,16640000000.0,218783752.240259,259102630.783517,288915407.053832
