,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.4,0.4,0.3,0.012541
Net Income From Continuing Operation Net Minority Interest,13682800000.0,13269331000.0,13608721000.0,12974447000.0
Reconciled Depreciation,759288000.0,562738000.0,508867000.0,467532000.0
EBIT,13954912000.0,13948502000.0,13997314000.0,13309836000.0
Net Interest Income,-1132816000.0,-920947000.0,-454541000.0,-170609000.0
Interest Expense,1132816000.0,920947000.0,454541000.0,170609000.0
Interest Income,135274671000.0,102645555000.0,83076759000.0,72139872000.0
Normalized Income,13682800000.0,13269331000.0,13608721000.0,12974447000.0
Net Income From Continuing And Discontinued Operation,13682800000.0,13269331000.0,13608721000.0,12974447000.0
Total Expenses,689205700000.0,661408632000.0,704298712000.0,273982871000.0
Rent Expense Supplemental,1560063000.0,1252057000.0,1042726000.0,779460000.0
Diluted Average Shares,2133908797.0,2046966598.0,2020322327.0,2020322327.0
Basic Average Shares,2133253038.0,2044716919.0,2017924622.0,2017924622.0
Diluted EPS,6.41,6.48,6.73,6.42
Basic EPS,6.41,6.49,6.74,6.43
Diluted NI Availto Com Stockholders,13682800000.0,13269331000.0,13608721000.0,12974447000.0
Net Income Common Stockholders,13682800000.0,13269331000.0,13608721000.0,12974447000.0
Otherunder Preferred Stock Dividend,,,,-2199737000.0
Net Income,13682800000.0,13269331000.0,13608721000.0,12974447000.0
Net Income Including Noncontrolling Interests,13682800000.0,13269331000.0,13608721000.0,12974447000.0
Net Income Continuous Operations,13682800000.0,13269331000.0,13608721000.0,12974447000.0
Tax Provision,-860700000.0,-241776000.0,-65948000.0,164780000.0
Pretax Income,12822100000.0,13027555000.0,13542773000.0,13139227000.0
Other Income Expense,0.0,278401000.0,282832000.0,381579000.0
Net Non Operating Interest Income Expense,-1132816000.0,-920947000.0,-454541000.0,-170609000.0
Interest Expense Non Operating,1132816000.0,920947000.0,454541000.0,170609000.0
Other Operating Expenses,776200000.0,3447423000.0,6114251000.0,1209002000.0
Depreciation And Amortization In Income Statement,759288000.0,562738000.0,508867000.0,467532000.0
Depreciation Income Statement,759288000.0,562738000.0,508867000.0,467532000.0
Selling General And Administration,46916508000.0,31888244000.0,24451454000.0,21135200000.0
Selling And Marketing Expense,40564451000.0,27459067000.0,20763637000.0,16818218000.0
General And Administrative Expense,6352057000.0,4429177000.0,3687817000.0,4316982000.0
Rent And Landing Fees,1560063000.0,1252057000.0,1042726000.0,779460000.0
Total Revenue,702027600000.0,674436186000.0,717841485000.0,287122097000.0
Operating Revenue,702027600000.0,674436186000.0,717841485000.0,287122097000.0
