,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,-28954000000.0,-41268688000.0,33847941000.0,-874913000.0
Repayment Of Debt,-26092000000.0,-31344000000.0,,
Issuance Of Debt,,0.0,,
Issuance Of Capital Stock,,0.0,14351922000.0,93000000000.0
Capital Expenditure,-2944500000.0,-1946546000.0,-586599000.0,-2959732000.0
End Cash Position,293519500000.0,268004723000.0,353081192000.0,304949650000.0
Other Cash Adjustment Outside Changein Cash,,-100000.0,,-1000.0
Beginning Cash Position,358004700000.0,353081192000.0,304949650000.0,213039224000.0
Effect Of Exchange Rate Changes,114000000.0,22816000.0,,
Changes In Cash,-64599200000.0,-85099285000.0,48131542000.0,91910427000.0
Financing Cash Flow,-35645200000.0,-43830597000.0,14283601000.0,92785340000.0
Interest Paid Cff,-9437400000.0,-12404612000.0,,
Cash Dividends Paid,-115800000.0,-81985000.0,-68321000.0,-214660000.0
Common Stock Dividend Paid,-115800000.0,-81985000.0,-68321000.0,-214660000.0
Net Common Stock Issuance,,0.0,14351922000.0,93000000000.0
Common Stock Issuance,,0.0,14351922000.0,93000000000.0
Net Issuance Payments Of Debt,-26092000000.0,-31344000000.0,,
Net Long Term Debt Issuance,-26092000000.0,-31344000000.0,,
Long Term Debt Payments,-26092000000.0,-31344000000.0,,
Long Term Debt Issuance,,0.0,,
Investing Cash Flow,-2944500000.0,-1946546000.0,-586599000.0,-2959732000.0
Net PPE Purchase And Sale,-2944500000.0,-1946546000.0,-586599000.0,-2959732000.0
Operating Cash Flow,-26009500000.0,-39322142000.0,34434540000.0,2084819000.0
Taxes Refund Paid,11030200000.0,29100407000.0,-2658537000.0,-9438866000.0
Change In Working Capital,-138381700000.0,-163195895000.0,-38836370000.0,-40460001000.0
Change In Other Current Liabilities,26219200000.0,-18765177000.0,56611775000.0,-26521811000.0
Change In Other Current Assets,26979100000.0,50566085000.0,30840979000.0,-28709455000.0
Change In Receivables,11030153000.0,,,
Other Non Cash Items,10708000000.0,13483791000.0,,
Provisionand Write Offof Assets,35063800000.0,39490850000.0,47123124000.0,136986526000.0
Depreciation And Amortization,4992100000.0,4903194000.0,3968473000.0,3943792000.0
Depreciation,4992100000.0,4903194000.0,3968473000.0,3943792000.0
Gain Loss On Investment Securities,-2493400000.0,-303099000.0,-13724000.0,-29084000.0
Gain Loss On Sale Of PPE,18600000.0,-6079000.0,4202000.0,47425000.0
Net Income From Continuing Operations,53053000000.0,37204689000.0,24847372000.0,-88964973000.0
