,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,6618121816.0,6217708310.0,5675849855.0,4809903016.0
Share Issued,6618121816.0,6217708310.0,5675849855.0,4809903016.0
Net Debt,434334100000.0,367525670000.0,384130259000.0,501656492000.0
Total Debt,572120900000.0,540720097000.0,467016804000.0,577803431000.0
Tangible Book Value,257078900000.0,210821196000.0,178997149000.0,152638530000.0
Invested Capital,830596400000.0,751541293000.0,646013953000.0,731838661000.0
Net Tangible Assets,257078900000.0,210821196000.0,178997149000.0,152638530000.0
Common Stock Equity,258475500000.0,210821196000.0,178997149000.0,154035230000.0
Total Capitalization,830596400000.0,751541293000.0,646013953000.0,731838661000.0
Total Equity Gross Minority Interest,258475500000.0,210821196000.0,178997149000.0,154035230000.0
Minority Interest,0.0,0.0,,
Stockholders Equity,258475500000.0,210821196000.0,178997149000.0,154035230000.0
Other Equity Interest,371200000.0,161202000.0,974000.0,
Retained Earnings,-24294196000.0,-37918490000.0,-36371560000.0,-34993352000.0
Additional Paid In Capital,173125074000.0,154534140000.0,129611975000.0,118142291000.0
Capital Stock,66181200000.0,62177083000.0,56758499000.0,48099030000.0
Common Stock,66181200000.0,62177083000.0,56758499000.0,48099030000.0
Total Liabilities Net Minority Interest,2140345000000.0,1690636133000.0,1451718094000.0,1337550288000.0
Long Term Debt And Capital Lease Obligation,572120900000.0,540720097000.0,467016804000.0,577803431000.0
Payables,26974047000.0,15797666000.0,25267114000.0,34886084000.0
Other Payable,11944379000.0,11094104000.0,9155950000.0,3831576000.0
Dividends Payable,,,,0.0
Accounts Payable,15029668000.0,15797666000.0,25267114000.0,34886084000.0
Total Assets,2398820500000.0,1901457329000.0,1630715243000.0,1491585518000.0
Investments And Advances,609132800000.0,459345583000.0,451815865000.0,451744235000.0
Investmentin Financial Assets,609132800000.0,459345583000.0,451815865000.0,449480335000.0
Available For Sale Securities,18949436000.0,34231733000.0,51794517000.0,66958378000.0
Long Term Equity Investment,0.0,0.0,0.0,2263900000.0
Investmentsin Associatesat Cost,,,,2263900000.0
Investmentsin Subsidiariesat Cost,,,,0.0
Goodwill And Other Intangible Assets,1396600000.0,1396600000.0,,1396700000.0
Goodwill,1396600000.0,1396600000.0,,1396700000.0
Net PPE,21330600000.0,13873441000.0,12959304000.0,10732314000.0
Accumulated Depreciation,-20444202000.0,-42523339000.0,-39247952000.0,-36140477000.0
Gross PPE,41774821000.0,56396780000.0,52207256000.0,46872791000.0
Construction In Progress,2185750000.0,794109000.0,652707000.0,744600000.0
Other Properties,36715910000.0,52729510000.0,48681388000.0,43127015000.0
Properties,2873161000.0,2873161000.0,2873161000.0,3001176000.0
Prepaid Assets,4404802000.0,4319483000.0,5330643000.0,10643405000.0
Receivables,45359609000.0,34767279000.0,34097913000.0,32244059000.0
Cash And Cash Equivalents,137786800000.0,173194427000.0,82886545000.0,76146939000.0
Cash Equivalents,10700925000.0,42013482000.0,3319607000.0,863875000.0
Cash Financial,105622800000.0,6092577000.0,5012304000.0,4718977000.0
