,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,1245441139.0,1245441139.0,1129366570.0,608800580.0
Share Issued,1245441139.0,1245441139.0,1129366570.0,608800580.0
Total Debt,220924100000.0,187380200000.0,239939100000.0,97944100000.0
Tangible Book Value,495068200000.0,449519300000.0,394580700000.0,227675800000.0
Invested Capital,715992300000.0,636899500000.0,634519800000.0,325619900000.0
Net Tangible Assets,495068200000.0,449519300000.0,394580700000.0,227675800000.0
Common Stock Equity,495068200000.0,449519300000.0,394580700000.0,227675800000.0
Total Capitalization,715992300000.0,636899500000.0,634519800000.0,325619900000.0
Total Equity Gross Minority Interest,495330100000.0,449769100000.0,394806700000.0,227887500000.0
Minority Interest,261900000.0,249800000.0,226000000.0,211700000.0
Stockholders Equity,495068200000.0,449519300000.0,394580700000.0,227675800000.0
Retained Earnings,13658400000.0,10717700000.0,8451500000.0,5567100000.0
Additional Paid In Capital,23915500000.0,23915500000.0,8576200000.0,40266500000.0
Capital Stock,12454400000.0,12454400000.0,11293700000.0,6088000000.0
Common Stock,12454400000.0,12454400000.0,11293700000.0,6088000000.0
Total Liabilities Net Minority Interest,6638009900000.0,6291195200000.0,5886328600000.0,2873522300000.0
Long Term Debt And Capital Lease Obligation,220924100000.0,187380200000.0,239939100000.0,97944100000.0
Payables,14797100000.0,9942200000.0,10419300000.0,8453300000.0
Accounts Payable,14797100000.0,9942200000.0,10419300000.0,8453300000.0
Total Assets,7133340000000.0,6740964300000.0,6281135300000.0,3101409800000.0
Investments And Advances,1883662800000.0,1765016100000.0,1782924400000.0,818711600000.0
Investmentin Financial Assets,1883662800000.0,1754897600000.0,1774308900000.0,811407300000.0
Available For Sale Securities,25103700000.0,9710700000.0,24926200000.0,43612500000.0
Long Term Equity Investment,12597300000.0,10118500000.0,8615500000.0,7304300000.0
Investmentsin Associatesat Cost,12597300000.0,10118500000.0,8615500000.0,7304300000.0
Net PPE,74806700000.0,76989100000.0,73925600000.0,38990800000.0
Accumulated Depreciation,-56701800000.0,-52144900000.0,-46945700000.0,-23998400000.0
Gross PPE,131508500000.0,129134000000.0,120871300000.0,64024700000.0
Construction In Progress,102800000.0,33700000.0,15000000.0,7800000.0
Other Properties,56698800000.0,54468900000.0,52190600000.0,26302700000.0
Properties,74706900000.0,74631400000.0,68665700000.0,37714200000.0
Prepaid Assets,52806600000.0,64408100000.0,66551700000.0,43743400000.0
Receivables,58786500000.0,64297500000.0,49333300000.0,27384200000.0
Cash And Cash Equivalents,502168300000.0,799682200000.0,540995600000.0,139364800000.0
Cash Equivalents,27400000.0,120400000.0,293700000.0,86500000.0
Cash Financial,326927300000.0,19624500000.0,16583800000.0,10060900000.0
