,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,29017400000.0,-102622000000.0,-454500000.0,-4476000000.0
Repayment Of Debt,-192658100000.0,-2699200000.0,-17601500000.0,-32554900000.0
Issuance Of Debt,303385400000.0,128675200000.0,75200600000.0,32740800000.0
Issuance Of Capital Stock,77000000000.0,,,
Capital Expenditure,-147247200000.0,-116474800000.0,-41389800000.0,-29011600000.0
End Cash Position,18823300000.0,9122300000.0,6661500000.0,21246900000.0
Beginning Cash Position,9122300000.0,6661500000.0,21246900000.0,9738800000.0
Effect Of Exchange Rate Changes,14012500000.0,4467600000.0,-7082700000.0,12411200000.0
Changes In Cash,-4311500000.0,-2006800000.0,-7502700000.0,-903100000.0
Other Cash Adjustment Inside Changein Cash,,,,0.0
Financing Cash Flow,-11975200000.0,159014200000.0,30585900000.0,-2209000000.0
Net Other Financing Charges,-6307300000.0,6259300000.0,-1349500000.0,3573700000.0
Interest Paid Cff,-33424500000.0,-26008700000.0,-12117000000.0,-15321600000.0
Cash Dividends Paid,-1140000000.0,-1099800000.0,,-1856300000.0
Common Stock Dividend Paid,,,,-1856300000.0
Net Common Stock Issuance,77000000000.0,,,
Common Stock Issuance,77000000000.0,,,
Net Issuance Payments Of Debt,-40641100000.0,180936900000.0,44227600000.0,11799300000.0
Net Short Term Debt Issuance,-151368400000.0,54960900000.0,-13371500000.0,11613400000.0
Net Long Term Debt Issuance,110727300000.0,125976000000.0,57599100000.0,185900000.0
Long Term Debt Payments,-192658100000.0,-2699200000.0,-17601500000.0,-32554900000.0
Long Term Debt Issuance,303385400000.0,128675200000.0,75200600000.0,32740800000.0
Investing Cash Flow,-168600900000.0,-174873800000.0,-79023900000.0,-23229700000.0
Net Other Investing Changes,-1500000.0,1700000.0,1074900000.0,
Interest Received Cfi,6083400000.0,8209700000.0,3219900000.0,4590600000.0
Dividends Received Cfi,700000.0,600000.0,-100000.0,200000.0
Net Investment Purchase And Sale,-1536200000.0,-17382000000.0,2222800000.0,-5204300000.0
Sale Of Investment,1063500000.0,888200000.0,2222800000.0,0.0
Purchase Of Investment,-2599700000.0,-18270200000.0,,-5204300000.0
Net Business Purchase And Sale,-22574900000.0,-18475100000.0,-34881300000.0,-2531500000.0
Sale Of Business,277200000.0,,,0.0
Purchase Of Business,-22852100000.0,-18475100000.0,-34881300000.0,-2531500000.0
Net PPE Purchase And Sale,699200000.0,18700000.0,7799900000.0,1796600000.0
Sale Of PPE,699200000.0,18700000.0,7799900000.0,1796600000.0
Capital Expenditure Reported,-147247200000.0,-116474800000.0,-41389800000.0,-29011600000.0
Operating Cash Flow,176264600000.0,13852800000.0,40935300000.0,24535600000.0
Taxes Refund Paid,-9099700000.0,-2046700000.0,-1121800000.0,-2671300000.0
Change In Working Capital,93453900000.0,-25321700000.0,18503800000.0,-4611200000.0
Change In Other Current Liabilities,19897400000.0,8080500000.0,-2669300000.0,2538500000.0
Change In Other Current Assets,-32565400000.0,-25653900000.0,-127600000.0,-4726900000.0
Change In Payable,128064400000.0,71876400000.0,20348800000.0,-8700300000.0
Change In Inventory,-1297700000.0,-50237900000.0,3434200000.0,1725900000.0
Change In Receivables,-20644800000.0,-29386800000.0,-2482300000.0,4551600000.0
Other Non Cash Items,33834300000.0,16030700000.0,8905400000.0,9708900000.0
Depreciation And Amortization,24361400000.0,12477800000.0,6165800000.0,6017900000.0
Depreciation,24361400000.0,12477800000.0,6165800000.0,6017900000.0
Gain Loss On Investment Securities,-106600000.0,-19700000.0,-18700000.0,-543200000.0
Net Foreign Currency Exchange Gain Loss,205300000.0,3035700000.0,-4615700000.0,4100400000.0
Gain Loss On Sale Of PPE,-19700000.0,-11700000.0,-27300000.0,
Gain Loss On Sale Of Business,-43500000.0,,,0.0
Net Income From Continuing Operations,32499000000.0,9520500000.0,10859700000.0,11223300000.0
