,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-1419536.216431,-2791200.0,-2908570.967789
Tax Rate For Calcs,0.234207,0.222987,0.3,0.261703
Total Unusual Items,0.0,-6366000.0,-9304000.0,-11114000.0
Total Unusual Items Excluding Goodwill,0.0,-6366000.0,-9304000.0,-11114000.0
Net Income From Continuing Operation Net Minority Interest,14279253000.0,11298342000.0,11706846000.0,6747845000.0
Reconciled Depreciation,1854177000.0,1401666000.0,1043685000.0,886177000.0
Net Interest Income,44252819000.0,32341249000.0,23654418000.0,19089403000.0
Interest Expense,37801264000.0,26876058000.0,25846097000.0,23769440000.0
Interest Income,82054083000.0,59217307000.0,49500515000.0,42858843000.0
Normalized Income,14279253000.0,11303288463.78357,11713358800.0,6756050429.032211
Net Income From Continuing And Discontinued Operation,14279253000.0,11298342000.0,11706846000.0,6747845000.0
Diluted Average Shares,656909011.0,633122608.0,618381000.0,604675010.0
Basic Average Shares,653175247.0,626572999.0,613006954.0,592323798.0
Diluted EPS,21.74,17.85,18.93,11.16
Basic EPS,21.86,18.03,19.095,11.39
Diluted NI Availto Com Stockholders,14279253000.0,11298342000.0,11706846000.0,6747845000.0
Net Income Common Stockholders,14279253000.0,11298342000.0,11706846000.0,6747845000.0
Net Income,14279253000.0,11298342000.0,11706846000.0,6747845000.0
Net Income Including Noncontrolling Interests,14279253000.0,11298342000.0,11706846000.0,6747838000.0
Net Income Extraordinary,,,0.0,
Net Income Continuous Operations,14279253000.0,11298348000.0,11706846000.0,6747838000.0
Tax Provision,4367115000.0,3242400000.0,2878236000.0,2391900000.0
Pretax Income,18646368000.0,14540748000.0,11706846000.0,9139738000.0
Special Income Charges,0.0,-6366000.0,-9304000.0,-11114000.0
Other Special Charges,6631000.0,6366000.0,9304000.0,11114000.0
Gain On Sale Of Security,-442789000.0,1429695000.0,8848149000.0,1725732000.0
Operating Expense,34402699000.0,25670343000.0,16584252000.0,15566785000.0
Other Operating Expenses,16472416000.0,6173162000.0,3007665000.0,4383522000.0
Depreciation And Amortization In Income Statement,1854177000.0,1401666000.0,1043685000.0,886177000.0
Depreciation Income Statement,1854177000.0,1401666000.0,1043685000.0,886177000.0
Selling General And Administration,5318374000.0,2451651000.0,1401999000.0,1499605000.0
Selling And Marketing Expense,4610017000.0,2097671000.0,1161713000.0,1261158000.0
General And Administrative Expense,708357000.0,353980000.0,240286000.0,238447000.0
Insurance And Claims,669103000.0,451783000.0,321718000.0,199549000.0
Rent And Landing Fees,1873180000.0,1376167000.0,989303000.0,988022000.0
Total Revenue,54597461000.0,42284557000.0,38179188000.0,26161437000.0
Operating Revenue,54597461000.0,42284557000.0,38179188000.0,26161437000.0
