,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,2169252744.0,2169252744.0,2169252744.0,2169252744.0
Share Issued,2169252744.0,2169252744.0,2169252744.0,2169252744.0
Net Debt,581418900000.0,537736400000.0,391086400000.0,587116100000.0
Total Debt,693760300000.0,645342000000.0,545318600000.0,654755400000.0
Tangible Book Value,407081700000.0,391478400000.0,436497800000.0,284462700000.0
Invested Capital,1139769700000.0,1078383000000.0,1002312800000.0,960435700000.0
Working Capital,-188287800000.0,-210691100000.0,-49478900000.0,-169697600000.0
Net Tangible Assets,407081700000.0,391478400000.0,436497800000.0,284462700000.0
Capital Lease Obligations,89214200000.0,86015200000.0,78556500000.0,59643000000.0
Common Stock Equity,535223600000.0,519056200000.0,535550700000.0,365323300000.0
Total Capitalization,948917200000.0,882645500000.0,892952900000.0,745762200000.0
Total Equity Gross Minority Interest,535223600000.0,519056200000.0,535550700000.0,385886600000.0
Minority Interest,0.0,0.0,0.0,20563300000.0
Stockholders Equity,535223600000.0,519056200000.0,535550700000.0,365323300000.0
Other Equity Interest,513929100000.0,-898200000.0,6842000000.0,-4567400000.0
Retained Earnings,93742900000.0,88469900000.0,144662100000.0,-3528400000.0
Additional Paid In Capital,66062200000.0,76913100000.0,66161500000.0,13449100000.0
Capital Stock,21294500000.0,21294500000.0,20929100000.0,19668800000.0
Common Stock,21294500000.0,21294500000.0,20929100000.0,19668800000.0
Total Liabilities Net Minority Interest,1345864100000.0,1356230100000.0,1074369600000.0,1122749000000.0
Total Non Current Liabilities Net Minority Interest,597447000000.0,525545400000.0,505065800000.0,520533900000.0
Other Non Current Liabilities,19125100000.0,14882400000.0,100000.0,
Non Current Pension And Other Postretirement Benefit Plans,585200000.0,453400000.0,509000000.0,492800000.0
Non Current Deferred Revenue,19125100000.0,14882400000.0,5499500000.0,3817200000.0
Non Current Deferred Taxes Liabilities,79205500000.0,63757200000.0,49344800000.0,61639200000.0
Long Term Debt And Capital Lease Obligation,496345300000.0,443996600000.0,433552500000.0,438530700000.0
