,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,154400078.0,153152747.0,148000000.0,148000000.0
Share Issued,154400078.0,153152747.0,148000000.0,148000000.0
Total Debt,2033360000.0,1928280000.0,1266350000.0,865160000.0
Tangible Book Value,13454390000.0,10326420000.0,7616930000.0,6276450000.0
Invested Capital,15624550000.0,12561300000.0,9844760000.0,8503910000.0
Working Capital,7139780000.0,5227440000.0,4666300000.0,4197720000.0
Net Tangible Assets,13454390000.0,10326420000.0,7616930000.0,6276450000.0
Capital Lease Obligations,2033360000.0,1928280000.0,1266350000.0,865160000.0
Common Stock Equity,15624550000.0,12561300000.0,9844760000.0,8503910000.0
Total Capitalization,15624550000.0,12561300000.0,9844760000.0,8503910000.0
Total Equity Gross Minority Interest,15624550000.0,12561300000.0,9844760000.0,8503910000.0
Stockholders Equity,15624550000.0,12561300000.0,9844760000.0,8503910000.0
Other Equity Interest,14080550000.0,510000.0,,
Retained Earnings,12595660000.0,9782670000.0,7764960000.0,6443720000.0
Additional Paid In Capital,1096490000.0,915280000.0,193370000.0,193370000.0
Capital Stock,1544000000.0,1531530000.0,1480000000.0,1480000000.0
Common Stock,1544000000.0,1531530000.0,1480000000.0,1480000000.0
Total Liabilities Net Minority Interest,5387810000.0,5995660000.0,6273340000.0,4823470000.0
Total Non Current Liabilities Net Minority Interest,1745390000.0,1677900000.0,1136390000.0,824620000.0
Other Non Current Liabilities,6240000.0,9250000.0,,
Non Current Pension And Other Postretirement Benefit Plans,211120000.0,,,
Long Term Debt And Capital Lease Obligation,1528030000.0,1467610000.0,945380000.0,633660000.0
Long Term Capital Lease Obligation,1528030000.0,1467610000.0,945380000.0,633660000.0
Long Term Provisions,211120000.0,201040000.0,191010000.0,190960000.0
Current Liabilities,3642420000.0,4317760000.0,5136950000.0,3998850000.0
Other Current Liabilities,255500000.0,249570000.0,168620000.0,248530000.0
Current Debt And Capital Lease Obligation,505330000.0,460670000.0,320970000.0,231500000.0
Current Capital Lease Obligation,505330000.0,460670000.0,320970000.0,231500000.0
Pensionand Other Post Retirement Benefit Plans Current,32100000.0,,,
Current Provisions,32100000.0,35750000.0,29220000.0,26720000.0
Payables,2252140000.0,3247670000.0,4439610000.0,3282890000.0
Other Payable,570640000.0,788870000.0,1378060000.0,613380000.0
Total Tax Payable,,,0.0,0.0
Accounts Payable,2252140000.0,2458800000.0,3061550000.0,2669510000.0
Total Assets,21012360000.0,18556960000.0,16118100000.0,13327380000.0
Total Non Current Assets,10230060000.0,9011760000.0,6314850000.0,5130810000.0
Other Non Current Assets,111950000.0,210030000.0,10000.0,-10000.0
Non Current Prepaid Assets,190250000.0,295870000.0,184720000.0,162950000.0
Non Current Deferred Taxes Assets,368800000.0,304400000.0,247830000.0,272960000.0
Investmentin Financial Assets,656350000.0,-80930000.0,-97550000.0,-93250000.0
Available For Sale Securities,656350000.0,-80930000.0,-97550000.0,-93250000.0
Goodwill And Other Intangible Assets,2170160000.0,2234880000.0,2227830000.0,2227460000.0
Other Intangible Assets,109390000.0,174110000.0,194200000.0,193830000.0
Goodwill,2060770000.0,2060770000.0,2033630000.0,2033630000.0
Net PPE,6726520000.0,5705530000.0,3334590000.0,2073580000.0
Accumulated Depreciation,-4392940000.0,-3516890000.0,-2949820000.0,-2611700000.0
Gross PPE,6726520000.0,9222420000.0,6284410000.0,4685280000.0
Construction In Progress,203130000.0,435830000.0,226810000.0,28860000.0
Other Properties,6523390000.0,2397620000.0,1634430000.0,1101170000.0
Machinery Furniture Equipment,7926160000.0,6228790000.0,4270560000.0,3421590000.0
Buildings And Improvements,199730000.0,160180000.0,152610000.0,133660000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,10782200000.0,9545200000.0,9803250000.0,8196570000.0
Other Current Assets,733440000.0,987890000.0,-10000.0,-10000.0
Restricted Cash,145960000.0,51930000.0,89790000.0,76530000.0
Prepaid Assets,154540000.0,229920000.0,188540000.0,235010000.0
Inventory,741700000.0,634820000.0,894730000.0,430440000.0
Finished Goods,249710000.0,284930000.0,456480000.0,183420000.0
Raw Materials,491990000.0,349890000.0,438250000.0,247020000.0
Other Receivables,608530000.0,787950000.0,644770000.0,573260000.0
Accounts Receivable,5260030000.0,4993210000.0,5007190000.0,4486150000.0
Allowance For Doubtful Accounts Receivable,-1328330000.0,-934620000.0,-586360000.0,-480240000.0
Gross Accounts Receivable,6588360000.0,5927830000.0,5593550000.0,4966390000.0
Cash Cash Equivalents And Short Term Investments,4047030000.0,2847370000.0,2978240000.0,2395190000.0
Other Short Term Investments,3083890000.0,2203900000.0,1643100000.0,803890000.0
Cash And Cash Equivalents,963140000.0,643470000.0,1335140000.0,1591300000.0
Cash Equivalents,,0.0,400220000.0,871160000.0
Cash Financial,963140000.0,643470000.0,934920000.0,720140000.0
