,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,740416385.0,739584913.0,738822111.0,737319221.0
Share Issued,740416385.0,739584913.0,738822111.0,737319221.0
Total Debt,46880949000.0,57868020000.0,15304092000.0,18210210000.0
Tangible Book Value,74572102000.0,65857054000.0,58424762000.0,52960673000.0
Invested Capital,121453051000.0,123725074000.0,73728854000.0,71170883000.0
Net Tangible Assets,74572102000.0,65857054000.0,58424762000.0,52960673000.0
Common Stock Equity,74572102000.0,65857054000.0,58424762000.0,52960673000.0
Total Capitalization,121453051000.0,123725074000.0,73728854000.0,71170883000.0
Total Equity Gross Minority Interest,74572102000.0,65857054000.0,58424762000.0,52960673000.0
Stockholders Equity,74572102000.0,65857054000.0,58424762000.0,52960673000.0
Retained Earnings,1090781000.0,994212000.0,614545000.0,579359000.0
Additional Paid In Capital,9017856000.0,8938849000.0,8871760000.0,8760763000.0
Capital Stock,740416000.0,739585000.0,738822000.0,737319000.0
Common Stock,740416000.0,739585000.0,738822000.0,737319000.0
Total Liabilities Net Minority Interest,591373518000.0,549452093000.0,474692069000.0,444374658000.0
Long Term Debt And Capital Lease Obligation,46880949000.0,57868020000.0,15304092000.0,18210210000.0
Payables,2830130000.0,2184457000.0,2309556000.0,2673607000.0
Accounts Payable,2830130000.0,2184457000.0,2309556000.0,2673607000.0
Total Assets,665945620000.0,615309147000.0,533116831000.0,497335331000.0
Investments And Advances,143326282000.0,122212247000.0,94359442000.0,91167861000.0
Investmentin Financial Assets,143326282000.0,122212247000.0,94359442000.0,91167861000.0
Available For Sale Securities,5115000.0,280196000.0,596285000.0,1284468000.0
Long Term Equity Investment,0.0,0.0,,
Net PPE,2393252000.0,2146546000.0,2326901000.0,2451620000.0
Accumulated Depreciation,-6995766000.0,-6457791000.0,-5647619000.0,-5140852000.0
Gross PPE,9389018000.0,8604337000.0,7974520000.0,7592472000.0
Other Properties,8722846000.0,7938165000.0,7290484000.0,6910324000.0
Properties,666172000.0,666172000.0,684036000.0,682148000.0
Prepaid Assets,11093490000.0,10450146000.0,9856286000.0,8516207000.0
Receivables,3416786000.0,3595863000.0,3206432000.0,3276409000.0
Cash And Cash Equivalents,66492749000.0,66869299000.0,56150604000.0,47216477000.0
Cash Equivalents,0.0,0.0,,
Cash Financial,33023596000.0,8229814000.0,7954432000.0,5275150000.0
