,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,19867100000.0,11986000000.0,10367400000.0,327300000.0
Repayment Of Debt,,,-332800000.0,
Capital Expenditure,-4730200000.0,-7132000000.0,-9101900000.0,-11832100000.0
End Cash Position,1697000000.0,12147600000.0,20303200000.0,431500000.0
Beginning Cash Position,12147600000.0,20303200000.0,431500000.0,21000000.0
Changes In Cash,-10450600000.0,-8155600000.0,19871700000.0,410500000.0
Financing Cash Flow,-7971700000.0,-5324400000.0,-348900000.0,-10914200000.0
Interest Paid Cff,-3300000.0,-3600000.0,-8700000.0,-61000000.0
Cash Dividends Paid,-7964100000.0,-5309400000.0,,-10241200000.0
Common Stock Dividend Paid,,,,-10241200000.0
Net Issuance Payments Of Debt,0.0,-3500000.0,-332800000.0,-610700000.0
Net Short Term Debt Issuance,0.0,-3500000.0,-332800000.0,-610700000.0
Short Term Debt Payments,,,-332800000.0,
Investing Cash Flow,-27076200000.0,-21949200000.0,751300000.0,-834700000.0
Interest Received Cfi,2045900000.0,668100000.0,570100000.0,57200000.0
Dividends Received Cfi,,,0.0,373700000.0
Net Investment Purchase And Sale,-24392000000.0,-15485300000.0,9281600000.0,10562900000.0
Sale Of Investment,16011800000.0,505000000.0,11421000000.0,15895700000.0
Purchase Of Investment,-40403800000.0,-15990300000.0,-2139400000.0,-5332800000.0
Net PPE Purchase And Sale,-4730100000.0,-7132000000.0,-9100400000.0,-11828500000.0
Sale Of PPE,100000.0,0.0,1500000.0,3600000.0
Purchase Of PPE,-4730200000.0,-7132000000.0,-9101900000.0,-11832100000.0
Operating Cash Flow,24597300000.0,19118000000.0,19469300000.0,12159400000.0
Taxes Refund Paid,-4726500000.0,-6409800000.0,-6443200000.0,-4452300000.0
Change In Working Capital,4188100000.0,-13704500000.0,-2640800000.0,-2183000000.0
Change In Other Current Liabilities,-597800000.0,732500000.0,597100000.0,134400000.0
Change In Other Current Assets,257600000.0,-594100000.0,630700000.0,-254700000.0
Change In Payable,-340600000.0,342700000.0,1748000000.0,938500000.0
Change In Inventory,-1717900000.0,-6833900000.0,-2813700000.0,-915200000.0
Change In Receivables,6504100000.0,-7416200000.0,-2853200000.0,-2105000000.0
Other Non Cash Items,-2043600000.0,-686900000.0,-564400000.0,-6100000.0
Provisionand Write Offof Assets,3300000.0,-20300000.0,-1100000.0,93900000.0
Depreciation And Amortization,3431800000.0,3115100000.0,2555900000.0,1862400000.0
Amortization Cash Flow,39200000.0,31800000.0,,
Depreciation,3431800000.0,3083300000.0,2555900000.0,1862400000.0
Gain Loss On Investment Securities,-39100000.0,20500000.0,33100000.0,-935100000.0
Net Foreign Currency Exchange Gain Loss,97000000.0,-31100000.0,-130600000.0,-420700000.0
Net Income From Continuing Operations,23686300000.0,36835000000.0,26660400000.0,18194600000.0
