,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,40009000000.0,9059000000.0,23142000000.0,23726000000.0
Repurchase Of Capital Stock,,0.0,-1193000000.0,-474000000.0
Repayment Of Debt,-1015000000.0,-785000000.0,-4497000000.0,-23400000000.0
Issuance Of Debt,0.0,3520000000.0,10591000000.0,
Issuance Of Capital Stock,368000000.0,334000000.0,269000000.0,4000000.0
Capital Expenditure,-18864000000.0,-19049000000.0,-12561000000.0,-6115000000.0
End Cash Position,5779000000.0,14852000000.0,14820000000.0,1962000000.0
Beginning Cash Position,14852000000.0,14820000000.0,1962000000.0,2228000000.0
Effect Of Exchange Rate Changes,286000000.0,733000000.0,113000000.0,-25000000.0
Changes In Cash,-9359000000.0,-701000000.0,12745000000.0,-241000000.0
Financing Cash Flow,-26861000000.0,-2422000000.0,-298000000.0,-25159000000.0
Cash Flow From Continuing Financing Activities,-26861000000.0,-2422000000.0,-298000000.0,-25159000000.0
Interest Paid Cff,-1853000000.0,-1345000000.0,-1321000000.0,-1608000000.0
Cash Dividends Paid,-4979000000.0,-4146000000.0,-4147000000.0,-3916000000.0
Common Stock Dividend Paid,,,,-3916000000.0
Net Common Stock Issuance,368000000.0,334000000.0,-924000000.0,-470000000.0
Common Stock Payments,,0.0,-1193000000.0,-474000000.0
Common Stock Issuance,368000000.0,334000000.0,269000000.0,4000000.0
Net Issuance Payments Of Debt,-20397000000.0,2735000000.0,6094000000.0,-19165000000.0
Net Short Term Debt Issuance,-19382000000.0,3520000000.0,,4235000000.0
Short Term Debt Payments,-19382000000.0,,,
Short Term Debt Issuance,,3520000000.0,,
Net Long Term Debt Issuance,-1015000000.0,-785000000.0,6094000000.0,-23400000000.0
Long Term Debt Payments,-1015000000.0,-785000000.0,-4497000000.0,-23400000000.0
Long Term Debt Issuance,0.0,0.0,10591000000.0,
Investing Cash Flow,-41371000000.0,-26387000000.0,-22660000000.0,-4923000000.0
Cash Flow From Continuing Investing Activities,-41371000000.0,-26387000000.0,-22660000000.0,-4923000000.0
Interest Received Cfi,777000000.0,873000000.0,1220000000.0,624000000.0
Dividends Received Cfi,,0.0,0.0,392000000.0
Net Investment Purchase And Sale,-23366000000.0,-11201000000.0,4110000000.0,-214000000.0
Sale Of Investment,112805000000.0,77771000000.0,79528000000.0,111704000000.0
Purchase Of Investment,-136171000000.0,-88972000000.0,-75418000000.0,-111918000000.0
Net Business Purchase And Sale,0.0,-326000000.0,-15514000000.0,
Purchase Of Business,0.0,-326000000.0,-15514000000.0,
Net Intangibles Purchase And Sale,0.0,2946000000.0,0.0,259000000.0
Sale Of Intangibles,0.0,2946000000.0,0.0,259000000.0
Purchase Of Intangibles,,,-2820000000.0,-1269000000.0
Net PPE Purchase And Sale,82000000.0,370000000.0,85000000.0,131000000.0
Sale Of PPE,82000000.0,370000000.0,85000000.0,131000000.0
Purchase Of PPE,,,-9741000000.0,-4846000000.0
Capital Expenditure Reported,-18864000000.0,-19049000000.0,-12561000000.0,-6115000000.0
Operating Cash Flow,58873000000.0,28108000000.0,35703000000.0,29841000000.0
Cash Flow From Continuing Operating Activities,58873000000.0,28108000000.0,35703000000.0,29841000000.0
Taxes Refund Paid,-10714000000.0,-7437000000.0,-5716000000.0,-7105000000.0
Change In Working Capital,-7855000000.0,-13914000000.0,-8288000000.0,-7536000000.0
Change In Other Working Capital,528000000.0,4014000000.0,-3349000000.0,4821000000.0
Change In Payables And Accrued Expense,23000000.0,4412000000.0,2861000000.0,1576000000.0
Change In Payable,23000000.0,4412000000.0,2861000000.0,1576000000.0
Change In Inventory,-2654000000.0,-5328000000.0,-9881000000.0,-1487000000.0
Change In Receivables,-5752000000.0,-17012000000.0,2081000000.0,-12446000000.0
Other Non Cash Items,248000000.0,-7000000.0,144000000.0,95000000.0
Stock Based Compensation,397000000.0,592000000.0,584000000.0,521000000.0
Unrealized Gain Loss On Investment Securities,-876000000.0,-277000000.0,-557000000.0,-929000000.0
Provisionand Write Offof Assets,205000000.0,55000000.0,230000000.0,190000000.0
Asset Impairment Charge,5568000000.0,7562000000.0,6768000000.0,16767000000.0
Deferred Tax,15300000000.0,8730000000.0,9175000000.0,-1466000000.0
Deferred Income Tax,15300000000.0,8730000000.0,9175000000.0,-1466000000.0
Depreciation Amortization Depletion,12502000000.0,11824000000.0,12796000000.0,12472000000.0
Depreciation And Amortization,12502000000.0,11824000000.0,12796000000.0,12472000000.0
Operating Gains Losses,-1087000000.0,-2588000000.0,1418000000.0,-2666000000.0
Earnings Losses From Equity Investments,-370000000.0,-703000000.0,-480000000.0,-561000000.0
Gain Loss On Investment Securities,,,,-5000000.0
Net Foreign Currency Exchange Gain Loss,-925000000.0,-766000000.0,1856000000.0,-2168000000.0
Gain Loss On Sale Of PPE,,,,68000000.0
Net Income From Continuing Operations,60485000000.0,23568000000.0,19149000000.0,19498000000.0
