,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,1111172056.0,1252027655.0,1139278250.0,1138250086.0
Share Issued,1111172056.0,1252027655.0,1139278250.0,1138250086.0
Net Debt,17295023000.0,6515040000.0,36916853000.0,44983310000.0
Total Debt,29737600000.0,27840186000.0,42853977000.0,49533460000.0
Tangible Book Value,51579477000.0,42461686000.0,33963411000.0,27441490000.0
Invested Capital,81317077000.0,70301872000.0,76817388000.0,76974950000.0
Net Tangible Assets,51579477000.0,42461686000.0,33963411000.0,27441490000.0
Common Stock Equity,51579477000.0,42461686000.0,33963411000.0,27441490000.0
Total Capitalization,81317077000.0,70301872000.0,76817388000.0,76974950000.0
Total Equity Gross Minority Interest,51579477000.0,42461686000.0,33963411000.0,27441490000.0
Stockholders Equity,51579477000.0,42461686000.0,33963411000.0,27441490000.0
Other Equity Interest,56895000.0,12679000.0,,
Retained Earnings,5986387000.0,10967997000.0,8982386000.0,6431380000.0
Additional Paid In Capital,26888907000.0,13841691000.0,9290907000.0,7469980000.0
Capital Stock,11105582000.0,12520277000.0,11392783000.0,10534020000.0
Common Stock,11105582000.0,12520277000.0,11392783000.0,10534020000.0
Total Liabilities Net Minority Interest,298001809000.0,227057308000.0,213188835000.0,165703980000.0
Long Term Debt And Capital Lease Obligation,29737600000.0,27840186000.0,42853977000.0,49533460000.0
Payables,3752444000.0,974697000.0,1446984000.0,1286980000.0
Total Tax Payable,0.0,59226000.0,63492000.0,0.0
Accounts Payable,3752444000.0,915471000.0,1383492000.0,1286980000.0
Total Assets,349581286000.0,269518994000.0,247152246000.0,193145470000.0
Investments And Advances,66645624000.0,44498496000.0,37051661000.0,23425060000.0
Investmentin Financial Assets,66645624000.0,44498496000.0,37051661000.0,23425060000.0
Available For Sale Securities,999950000.0,,,
Long Term Equity Investment,0.0,0.0,0.0,0.0
Net PPE,3791304000.0,2004445000.0,1850500000.0,2127690000.0
Accumulated Depreciation,-5490921000.0,-4767127000.0,-4080140000.0,-3398610000.0
Gross PPE,9282225000.0,6771572000.0,5930640000.0,5526300000.0
Construction In Progress,414311000.0,111772000.0,8829000.0,22730000.0
Other Properties,7463921000.0,5372770000.0,4666171000.0,4304520000.0
Properties,1403993000.0,1287030000.0,1255640000.0,1199050000.0
Receivables,5055596000.0,4490289000.0,3361128000.0,2306380000.0
Taxes Receivable,184157000.0,0.0,0.0,66790000.0
Cash And Cash Equivalents,12442577000.0,21325146000.0,5937124000.0,4550150000.0
Cash Equivalents,402225000.0,0.0,0.0,0.0
Cash Financial,11739122000.0,1611070000.0,974205000.0,1384900000.0
