,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,199841654.0,199811941.0,199780217.0,199739368.0
Share Issued,199841654.0,199811941.0,199780217.0,199739368.0
Net Debt,869400000.0,1724600000.0,557200000.0,
Total Debt,5675400000.0,6051700000.0,5840200000.0,4532500000.0
Tangible Book Value,158054500000.0,148897900000.0,145685700000.0,137778800000.0
Invested Capital,169688100000.0,162001300000.0,157584500000.0,146184500000.0
Working Capital,34227100000.0,50545900000.0,48659500000.0,43701300000.0
Net Tangible Assets,158054500000.0,148897900000.0,145685700000.0,137778800000.0
Capital Lease Obligations,2543000000.0,2516900000.0,2419900000.0,2410800000.0
Common Stock Equity,166555700000.0,158466500000.0,154164200000.0,144062800000.0
Total Capitalization,166756600000.0,158828200000.0,154616000000.0,144503000000.0
Total Equity Gross Minority Interest,167806300000.0,159947000000.0,155596100000.0,145468800000.0
Minority Interest,1250600000.0,1480500000.0,1431900000.0,1406000000.0
Stockholders Equity,166555700000.0,158466500000.0,154164200000.0,144062800000.0
Other Equity Interest,166156000000.0,244500000.0,190400000.0,154400000.0
Retained Earnings,138627900000.0,130600500000.0,126487000000.0,116520600000.0
Additional Paid In Capital,492200000.0,411200000.0,314900000.0,184000000.0
Capital Stock,399700000.0,399600000.0,399600000.0,399500000.0
Common Stock,399700000.0,399600000.0,399600000.0,399500000.0
Total Liabilities Net Minority Interest,71364000000.0,64836900000.0,75364800000.0,51271900000.0
Total Non Current Liabilities Net Minority Interest,11237800000.0,9660600000.0,10319500000.0,8481200000.0
Non Current Deferred Taxes Liabilities,4857900000.0,3782100000.0,4527400000.0,4725800000.0
Long Term Debt And Capital Lease Obligation,2397600000.0,2516800000.0,2576000000.0,2516400000.0
Long Term Capital Lease Obligation,2196700000.0,2155100000.0,2124200000.0,2076200000.0
Long Term Debt,200900000.0,361700000.0,451800000.0,440200000.0
Long Term Provisions,2019400000.0,1811300000.0,1755700000.0,1239000000.0
Current Liabilities,60126200000.0,55176300000.0,65045300000.0,42790700000.0
Other Current Liabilities,5620900000.0,1749300000.0,2380500000.0,1667600000.0
Current Debt And Capital Lease Obligation,3277800000.0,3534900000.0,3264200000.0,2016100000.0
Current Capital Lease Obligation,346300000.0,361800000.0,295700000.0,334600000.0
Current Debt,2931500000.0,3173100000.0,2968500000.0,1681500000.0
Current Provisions,1926800000.0,1791500000.0,1758200000.0,1596900000.0
Payables,47601400000.0,44205700000.0,53677700000.0,33212600000.0
Other Payable,633400000.0,410900000.0,544900000.0,1367500000.0
Dividends Payable,342500000.0,363900000.0,491000000.0,568900000.0
Accounts Payable,47601400000.0,43430900000.0,52641800000.0,31276200000.0
Total Assets,239170300000.0,224783900000.0,230960900000.0,196740700000.0
Total Non Current Assets,144817000000.0,119061700000.0,117256100000.0,110248700000.0
Other Non Current Assets,1530600000.0,1203400000.0,626800000.0,
Non Current Prepaid Assets,1715600000.0,4980000000.0,693900000.0,1404200000.0
Investmentin Financial Assets,48064700000.0,24550500000.0,19485900000.0,15511800000.0
