,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Treasury Shares Number,,16316130.0,16316130.0,16316130.0
Ordinary Shares Number,2230878455.0,2230856594.0,2230368117.0,2230460203.0
Share Issued,2230878455.0,2247172724.0,2246684247.0,2246776333.0
Net Debt,454950000000.0,515990000000.0,576420000000.0,459570000000.0
Total Debt,602910000000.0,644890000000.0,672090000000.0,684020000000.0
Tangible Book Value,623700000000.0,475900000000.0,369450000000.0,351000000000.0
Invested Capital,1531410000000.0,1414290000000.0,1325140000000.0,1255770000000.0
Working Capital,288540000000.0,212700000000.0,191350000000.0,290650000000.0
Net Tangible Assets,623700000000.0,475900000000.0,369450000000.0,351000000000.0
Capital Lease Obligations,19560000000.0,12510000000.0,12280000000.0,11420000000.0
Common Stock Equity,948060000000.0,781910000000.0,665330000000.0,583170000000.0
Total Capitalization,1462400000000.0,1298260000000.0,1255180000000.0,1166960000000.0
Total Equity Gross Minority Interest,948170000000.0,782020000000.0,665430000000.0,583270000000.0
Minority Interest,110000000.0,110000000.0,100000000.0,100000000.0
Stockholders Equity,948060000000.0,781910000000.0,665330000000.0,583170000000.0
Other Equity Interest,945840000000.0,790000000.0,580000000.0,480000000.0
Treasury Stock,,1990000000.0,1290000000.0,1300000000.0
Retained Earnings,,368100000000.0,227770000000.0,188060000000.0
Additional Paid In Capital,,83380000000.0,83290000000.0,83220000000.0
Capital Stock,2220000000.0,2220000000.0,2220000000.0,2220000000.0
Common Stock,2220000000.0,2220000000.0,2220000000.0,2220000000.0
Total Liabilities Net Minority Interest,1300000000000.0,1448600000000.0,1231560000000.0,1112010000000.0
Total Non Current Liabilities Net Minority Interest,695430000000.0,675870000000.0,746630000000.0,739840000000.0
Other Non Current Liabilities,18140000000.0,18880000000.0,15390000000.0,280000000.0
Derivative Product Liabilities,560000000.0,4640000000.0,4270000000.0,2550000000.0
Non Current Pension And Other Postretirement Benefit Plans,,1270000000.0,1200000000.0,680000000.0
Tradeand Other Payables Non Current,,1190000000.0,1900000000.0,2040000000.0
Non Current Deferred Revenue,0.0,17790000000.0,13610000000.0,11870000000.0
Non Current Deferred Taxes Liabilities,86500000000.0,56310000000.0,44930000000.0,46710000000.0
Long Term Debt And Capital Lease Obligation,529250000000.0,526070000000.0,599130000000.0,592510000000.0
Long Term Capital Lease Obligation,14910000000.0,9720000000.0,9280000000.0,8720000000.0
Long Term Debt,514340000000.0,516350000000.0,589850000000.0,583790000000.0
Long Term Provisions,58910000000.0,68480000000.0,81460000000.0,83370000000.0
Current Liabilities,604570000000.0,772730000000.0,484930000000.0,372170000000.0
Other Current Liabilities,16930000000.0,18730000000.0,13410000000.0,
Current Debt And Capital Lease Obligation,73660000000.0,118820000000.0,72960000000.0,91510000000.0
Current Capital Lease Obligation,4650000000.0,2790000000.0,3000000000.0,2700000000.0
Current Debt,69010000000.0,116030000000.0,69960000000.0,88810000000.0
Current Provisions,32060000000.0,28410000000.0,26100000000.0,22110000000.0
Payables,436820000000.0,482800000000.0,327250000000.0,215740000000.0
Other Payable,,23170000000.0,20690000000.0,16930000000.0
Dividends Payable,,50000000.0,50000000.0,50000000.0
