,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,87990000000.0,78200000000.0,50000000000.0,67610000000.0
Repayment Of Debt,-70000000.0,,-1880000000.0,
Issuance Of Debt,2860000000.0,,1880000000.0,
Issuance Of Capital Stock,-20000000.0,0.0,0.0,0.0
Capital Expenditure,-11920000000.0,-12280000000.0,-41630000000.0,-8620000000.0
End Cash Position,7010000000.0,11470000000.0,18420000000.0,32160000000.0
Other Cash Adjustment Outside Changein Cash,100000000.0,,3000000000.0,
Beginning Cash Position,11470000000.0,18420000000.0,32160000000.0,6210000000.0
Changes In Cash,-4560000000.0,-6950000000.0,-16740000000.0,25950000000.0
Financing Cash Flow,-89530000000.0,-80150000000.0,-93090000000.0,-68190000000.0
Net Other Financing Charges,850000000.0,,,-10610000000.0
Interest Paid Cff,-880000000.0,-820000000.0,-920000000.0,-900000000.0
Cash Dividends Paid,-84740000000.0,-75260000000.0,-88110000000.0,-51960000000.0
Common Stock Dividend Paid,,,,-51960000000.0
Net Common Stock Issuance,-20000000.0,0.0,0.0,0.0
Common Stock Issuance,-20000000.0,0.0,0.0,0.0
Net Issuance Payments Of Debt,-70000000.0,,0.0,-990000000.0
Net Short Term Debt Issuance,850000000.0,,0.0,-990000000.0
Short Term Debt Payments,-2010000000.0,,-1880000000.0,
Short Term Debt Issuance,2860000000.0,,1880000000.0,
Net Long Term Debt Issuance,-70000000.0,,,
Long Term Debt Payments,-70000000.0,,,
Investing Cash Flow,-14940000000.0,-17280000000.0,-15280000000.0,17910000000.0
Net Other Investing Changes,-2660000000.0,,-440000000.0,
Interest Received Cfi,2590000000.0,1610000000.0,2770000000.0,3510000000.0
Dividends Received Cfi,20000000.0,10000000.0,10000000.0,10000000.0
Net Investment Purchase And Sale,-3670000000.0,-7920000000.0,23370000000.0,22790000000.0
Sale Of Investment,259500000000.0,514420000000.0,450870000000.0,433480000000.0
Purchase Of Investment,-263170000000.0,-522340000000.0,-427500000000.0,-410690000000.0
Net Business Purchase And Sale,-1100000000.0,-410000000.0,-330000000.0,-300000000.0
Purchase Of Business,-1100000000.0,-410000000.0,-330000000.0,-300000000.0
Net Intangibles Purchase And Sale,420000000.0,260000000.0,-34220000000.0,-120000000.0
Sale Of Intangibles,600000000.0,290000000.0,,
Purchase Of Intangibles,-180000000.0,-30000000.0,-34220000000.0,-120000000.0
Net PPE Purchase And Sale,-10530000000.0,-10790000000.0,-6440000000.0,-7980000000.0
Sale Of PPE,1210000000.0,1460000000.0,970000000.0,520000000.0
Purchase Of PPE,-11740000000.0,-12250000000.0,-7410000000.0,-8500000000.0
Operating Cash Flow,99910000000.0,90480000000.0,91630000000.0,76230000000.0
Taxes Refund Paid,-31380000000.0,-27840000000.0,-24070000000.0,-25050000000.0
Change In Working Capital,-9580000000.0,-10000000000.0,-1010000000.0,4110000000.0
Change In Other Current Liabilities,5060000000.0,2350000000.0,8580000000.0,2900000000.0
Change In Other Current Assets,-11250000000.0,-4770000000.0,-4160000000.0,4520000000.0
Change In Inventory,-3390000000.0,-7580000000.0,-5430000000.0,-3310000000.0
Other Non Cash Items,-2970000000.0,-1010000000.0,-2380000000.0,-5040000000.0
Stock Based Compensation,10000000.0,-10000000.0,-10000000.0,20000000.0
Depreciation And Amortization,11520000000.0,11060000000.0,11340000000.0,10020000000.0
Depreciation,11520000000.0,11060000000.0,11340000000.0,10020000000.0
Pension And Employee Benefit Expense,0.0,,,
Gain Loss On Investment Securities,-1090000000.0,-640000000.0,-500000000.0,-1520000000.0
Gain Loss On Sale Of PPE,-1600000000.0,-1260000000.0,-570000000.0,530000000.0
Net Income From Continuing Operations,133460000000.0,118740000000.0,106060000000.0,91730000000.0
