,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,-161659061000.0,54829209000.0,48841250000.0,-141515401000.0
Repayment Of Debt,0.0,,-19670000000.0,-6000000000.0
Issuance Of Debt,2000000000.0,6650000000.0,,
Issuance Of Capital Stock,0.0,,0.0,82170000000.0
Capital Expenditure,-5823640000.0,-562322000.0,-666565000.0,-1290292000.0
End Cash Position,208208306000.0,369512604000.0,307763370000.0,240606557000.0
Other Cash Adjustment Outside Changein Cash,-1000.0,-100000.0,,
Beginning Cash Position,369512604000.0,309824399000.0,240606557000.0,308914978000.0
Changes In Cash,-161304297000.0,59688205000.0,67156813000.0,-68308421000.0
Financing Cash Flow,127489000.0,4789615000.0,18128418000.0,72770825000.0
Net Other Financing Charges,,,41000000000.0,
Interest Paid Cff,-1872511000.0,-1860385000.0,-3201582000.0,-3399175000.0
Net Common Stock Issuance,0.0,,0.0,82170000000.0
Common Stock Issuance,0.0,,0.0,82170000000.0
Net Issuance Payments Of Debt,2000000000.0,6650000000.0,-19670000000.0,-6000000000.0
Net Long Term Debt Issuance,2000000000.0,6650000000.0,-19670000000.0,-6000000000.0
Long Term Debt Payments,0.0,,-19670000000.0,-6000000000.0
Long Term Debt Issuance,2000000000.0,6650000000.0,,
Investing Cash Flow,-5596365000.0,-492941000.0,-479420000.0,-854137000.0
Net Other Investing Changes,,1000.0,,
Net PPE Purchase And Sale,-5596365000.0,-492942000.0,-479420000.0,-854137000.0
Sale Of PPE,227275000.0,69380000.0,187145000.0,436155000.0
Purchase Of PPE,-5823640000.0,-562322000.0,-666565000.0,-1290292000.0
Operating Cash Flow,-155835421000.0,55391531000.0,49507815000.0,-140225109000.0
Taxes Refund Paid,-6414798000.0,-7480912000.0,-1369461000.0,-4950605000.0
Change In Working Capital,-217884103000.0,-1567174000.0,-12690430000.0,-178926524000.0
Change In Other Current Liabilities,-53758793000.0,15293015000.0,-83721218000.0,108065802000.0
Change In Other Current Assets,7491860000.0,9619579000.0,158026890000.0,-160577901000.0
Other Non Cash Items,2380757000.0,2536642000.0,2064938000.0,4157870000.0
Provisionand Write Offof Assets,33384661000.0,37947210000.0,51481129000.0,114869324000.0
Depreciation And Amortization,2604201000.0,1725589000.0,2579975000.0,3006083000.0
Depreciation,2604201000.0,1725589000.0,2579975000.0,3006083000.0
Gain Loss On Investment Securities,3140346000.0,1915227000.0,1390000.0,1207585000.0
Gain Loss On Sale Of PPE,-15838000.0,-12005000.0,-14924000.0,-56325000.0
Net Income From Continuing Operations,23534452000.0,17789625000.0,8547125000.0,-85138442000.0
