,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,12428017741.0,12323255931.0,12308844231.0,12292231241.0
Share Issued,12428017741.0,12323255931.0,12308844231.0,12292231241.0
Total Debt,3060400000.0,2497400000.0,2711300000.0,2777500000.0
Tangible Book Value,656296200000.0,596356500000.0,575497100000.0,645405100000.0
Invested Capital,691940700000.0,624614600000.0,603574500000.0,652831400000.0
Working Capital,259314800000.0,220687400000.0,243023100000.0,299455800000.0
Net Tangible Assets,656296200000.0,596356500000.0,575497100000.0,645405100000.0
Capital Lease Obligations,2672300000.0,2438500000.0,2610200000.0,2678700000.0
Common Stock Equity,691552600000.0,624555700000.0,603473400000.0,652732600000.0
Total Capitalization,691587500000.0,624604200000.0,603529200000.0,652791600000.0
Total Equity Gross Minority Interest,695387900000.0,628218700000.0,606941500000.0,656507300000.0
Minority Interest,3835300000.0,3663000000.0,3468100000.0,3774700000.0
Stockholders Equity,691552600000.0,624555700000.0,603473400000.0,652732600000.0
Other Equity Interest,679124600000.0,13163300000.0,17065200000.0,20221800000.0
Retained Earnings,353402300000.0,312920300000.0,292293100000.0,344809500000.0
Additional Paid In Capital,130506900000.0,99595300000.0,95830300000.0,91828800000.0
Capital Stock,12428000000.0,12323300000.0,12308800000.0,12292200000.0
Common Stock,12428000000.0,12323300000.0,12308800000.0,12292200000.0
Total Liabilities Net Minority Interest,163441900000.0,144376800000.0,131251500000.0,117163100000.0
Total Non Current Liabilities Net Minority Interest,26047800000.0,22739700000.0,24354700000.0,21565400000.0
Other Non Current Liabilities,828400000.0,364300000.0,155400000.0,
Non Current Pension And Other Postretirement Benefit Plans,2589200000.0,,,
Non Current Deferred Revenue,828400000.0,364300000.0,155400000.0,162000000.0
Non Current Deferred Taxes Liabilities,16290000000.0,16734700000.0,17363900000.0,16272000000.0
Long Term Debt And Capital Lease Obligation,2168600000.0,1985200000.0,2125400000.0,2099000000.0
Long Term Capital Lease Obligation,2133700000.0,1936700000.0,2069600000.0,2040000000.0
Long Term Debt,34900000.0,48500000.0,55800000.0,59000000.0
Long Term Provisions,2592100000.0,2210500000.0,1875000000.0,1753700000.0
Current Liabilities,137394100000.0,121637100000.0,106896800000.0,95597700000.0
Other Current Liabilities,55713500000.0,38378600000.0,34833700000.0,33601200000.0
Current Deferred Taxes Liabilities,,,3500000.0,22600000.0
Current Debt And Capital Lease Obligation,891800000.0,512200000.0,585900000.0,678500000.0
Current Capital Lease Obligation,538600000.0,501800000.0,540600000.0,638700000.0
Current Debt,353200000.0,10400000.0,45300000.0,39800000.0
Pensionand Other Post Retirement Benefit Plans Current,1005600000.0,,,
Current Provisions,1005600000.0,795600000.0,1940100000.0,1481800000.0
Payables,55706100000.0,53302100000.0,48624100000.0,40484500000.0
Other Payable,23900000.0,17300000.0,19300000.0,19200000.0
Dividends Payable,2390700000.0,2241300000.0,2090000000.0,1678300000.0
Total Tax Payable,9116200000.0,6870900000.0,3327500000.0,2488700000.0
Accounts Payable,46589900000.0,44172600000.0,43187300000.0,36298300000.0
Total Assets,858829800000.0,772595500000.0,738193000000.0,773670400000.0
Total Non Current Assets,462120900000.0,430271000000.0,388273100000.0,378616900000.0
Other Non Current Assets,13119500000.0,12912200000.0,12954800000.0,
Non Current Prepaid Assets,13841400000.0,13599500000.0,13641600000.0,20661300000.0
Non Current Deferred Taxes Assets,520200000.0,635300000.0,585400000.0,562900000.0
Investmentin Financial Assets,155843200000.0,138234400000.0,97904700000.0,104545600000.0
Held To Maturity Securities,,,,79431500000.0
Available For Sale Securities,155843200000.0,138234400000.0,97904700000.0,6433900000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,,,291900000.0
Trading Securities,,,,18388300000.0
Long Term Equity Investment,3375900000.0,2692400000.0,2625500000.0,2665600000.0
Investmentsin Joint Venturesat Cost,,,,1244600000.0
Investmentsin Associatesat Cost,,,,1421000000.0
Investment Properties,3522600000.0,3642000000.0,3765600000.0,3853600000.0
Goodwill And Other Intangible Assets,35256400000.0,28199200000.0,27976300000.0,7327500000.0
Other Intangible Assets,27459100000.0,20401900000.0,20179000000.0,5302200000.0
Goodwill,7797300000.0,7797300000.0,7797300000.0,2025300000.0
Net PPE,249766700000.0,242730100000.0,241355800000.0,238516900000.0
Accumulated Depreciation,-103411900000.0,-88981400000.0,-75073100000.0,-60176200000.0
Gross PPE,249766700000.0,331711500000.0,316428900000.0,298693100000.0
Construction In Progress,29847100000.0,31984500000.0,40044500000.0,32516100000.0
Other Properties,219919600000.0,210745600000.0,201311300000.0,
Machinery Furniture Equipment,197141900000.0,180438100000.0,163624900000.0,156602300000.0
Buildings And Improvements,97894500000.0,90997500000.0,83867000000.0,81609100000.0
Land And Improvements,28295100000.0,28291400000.0,28892500000.0,27965600000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,396708900000.0,342324500000.0,349919900000.0,395053500000.0
Other Current Assets,15617500000.0,13060800000.0,10952300000.0,
Restricted Cash,2394300000.0,2244900000.0,2092300000.0,1680700000.0
Prepaid Assets,13668200000.0,26634000000.0,15680600000.0,17753300000.0
Inventory,119141300000.0,109735900000.0,105072200000.0,89655300000.0
Other Inventories,2580600000.0,1893300000.0,1546600000.0,1419900000.0
Finished Goods,30290100000.0,29759700000.0,24489100000.0,19221800000.0
Work In Process,9610800000.0,7324100000.0,8089500000.0,7030700000.0
Raw Materials,76659800000.0,70758800000.0,70947000000.0,61982900000.0
Other Receivables,71200000.0,12148600000.0,9096600000.0,9763400000.0
Accounts Receivable,29561700000.0,24619000000.0,25017000000.0,25624800000.0
Allowance For Doubtful Accounts Receivable,-1975500000.0,-1968700000.0,-1947400000.0,-1748900000.0
Gross Accounts Receivable,31537200000.0,26587700000.0,26964400000.0,27373700000.0
Cash Cash Equivalents And Short Term Investments,232317200000.0,166942100000.0,192961200000.0,250576000000.0
Other Short Term Investments,227683700000.0,164228400000.0,190057000000.0,244072500000.0
Cash And Cash Equivalents,4633500000.0,2713700000.0,2904200000.0,6503500000.0
Cash Equivalents,50800000.0,31200000.0,274700000.0,107800000.0
Cash Financial,4582700000.0,2682500000.0,2629500000.0,6395700000.0
