,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,11296000000.0,8438000000.0,12502000000.0,4854000000.0
Issuance Of Capital Stock,0.0,1000000.0,1000000.0,1000000.0
Capital Expenditure,-1755000000.0,-1624000000.0,-771000000.0,-1527000000.0
End Cash Position,5272000000.0,2374000000.0,1725000000.0,2133000000.0
Beginning Cash Position,2374000000.0,1777000000.0,2133000000.0,2034000000.0
Changes In Cash,2898000000.0,597000000.0,-408000000.0,99000000.0
Financing Cash Flow,-4435000000.0,-4982000000.0,-3627000000.0,-4060000000.0
Net Other Financing Charges,,,,-450000000.0
Interest Paid Cff,-435000000.0,-437000000.0,-455000000.0,-365000000.0
Cash Dividends Paid,-3167000000.0,-3633000000.0,-2198000000.0,-2186000000.0
Common Stock Dividend Paid,-3167000000.0,,,-2186000000.0
Net Common Stock Issuance,0.0,1000000.0,1000000.0,1000000.0
Common Stock Issuance,0.0,1000000.0,1000000.0,1000000.0
Net Issuance Payments Of Debt,,0.0,-287000000.0,-426000000.0
Net Short Term Debt Issuance,,,,-426000000.0
Net Long Term Debt Issuance,,0.0,-287000000.0,-426000000.0
Investing Cash Flow,-5718000000.0,-4483000000.0,-10054000000.0,-2222000000.0
Net Other Investing Changes,316000000.0,-3743000000.0,-245000000.0,-253000000.0
Interest Received Cfi,710000000.0,465000000.0,355000000.0,162000000.0
Dividends Received Cfi,,,200000000.0,166000000.0
Net Investment Purchase And Sale,-7875000000.0,350000000.0,-8613000000.0,-350000000.0
Net Business Purchase And Sale,,0.0,-795000000.0,-436000000.0
Sale Of Business,,0.0,70000000.0,0.0
Purchase Of Business,,0.0,-795000000.0,-436000000.0
Net PPE Purchase And Sale,-1726000000.0,-1555000000.0,-756000000.0,-1511000000.0
Sale Of PPE,29000000.0,69000000.0,15000000.0,16000000.0
Purchase Of PPE,-1755000000.0,-1624000000.0,-771000000.0,-1527000000.0
Capital Expenditure Reported,,,,-1527000000.0
Operating Cash Flow,13051000000.0,10062000000.0,13273000000.0,6381000000.0
Taxes Refund Paid,-4670000000.0,-3563000000.0,-2523000000.0,-2119000000.0
Change In Working Capital,-1188000000.0,-1452000000.0,4245000000.0,-4287000000.0
Change In Payable,-898000000.0,3775000000.0,2175000000.0,1023000000.0
Change In Receivables,-290000000.0,-5227000000.0,2070000000.0,-5310000000.0
Other Non Cash Items,-441000000.0,-55000000.0,300000000.0,192000000.0
Stock Based Compensation,817000000.0,55000000.0,126000000.0,199000000.0
Provisionand Write Offof Assets,,,,326000000.0
Depreciation And Amortization,2315000000.0,2144000000.0,2183000000.0,1829000000.0
Depreciation,2315000000.0,2144000000.0,2183000000.0,1829000000.0
Gain Loss On Investment Securities,-357000000.0,-294000000.0,-315000000.0,-170000000.0
Net Foreign Currency Exchange Gain Loss,-71000000.0,27000000.0,430000000.0,-591000000.0
Gain Loss On Sale Of PPE,-16000000.0,-40000000.0,-35000000.0,0.0
Net Income From Continuing Operations,16437000000.0,13092000000.0,8973000000.0,11002000000.0
