,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,-17643600000.0,69238114000.0,22543500000.0,5697835000.0
Issuance Of Debt,9380000000.0,,,
Issuance Of Capital Stock,0.0,4036999000.0,,9627000000.0
Capital Expenditure,-3244500000.0,-3090517000.0,-1924800000.0,-1235795000.0
End Cash Position,185289500000.0,199160166000.0,129417800000.0,104470208000.0
Other Cash Adjustment Outside Changein Cash,-300000.0,-38000.0,,
Beginning Cash Position,199160200000.0,129417800000.0,104470200000.0,91549551000.0
Changes In Cash,-13870400000.0,69742404000.0,24947600000.0,12920657000.0
Financing Cash Flow,2279400000.0,415573000.0,2167000000.0,6984283000.0
Net Other Financing Charges,100000.0,,,
Interest Paid Cff,-3735400000.0,-3156178000.0,-2890000000.0,-2642717000.0
Cash Dividends Paid,-3365300000.0,-3365248000.0,,
Common Stock Dividend Paid,-3365300000.0,-3365248000.0,,
Net Common Stock Issuance,0.0,4036999000.0,,9627000000.0
Common Stock Issuance,0.0,4036999000.0,,9627000000.0
Net Issuance Payments Of Debt,9380000000.0,2900000000.0,5057000000.0,0.0
Net Long Term Debt Issuance,9380000000.0,2900000000.0,5057000000.0,0.0
Long Term Debt Issuance,9380000000.0,,,
Investing Cash Flow,-1750700000.0,-3001800000.0,-1687700000.0,-997256000.0
Net Other Investing Changes,100000.0,1000.0,-100000.0,-1000.0
Net Business Purchase And Sale,22100000.0,17924000.0,200600000.0,95172000.0
Sale Of Business,22100000.0,17924000.0,200600000.0,95172000.0
Net PPE Purchase And Sale,-1772900000.0,-3019725000.0,-1888200000.0,-1092427000.0
Sale Of PPE,1471600000.0,70792000.0,36600000.0,143368000.0
Purchase Of PPE,-3244500000.0,-3090517000.0,-1924800000.0,-1235795000.0
Operating Cash Flow,-14399100000.0,72328631000.0,24468300000.0,6933630000.0
Taxes Refund Paid,0.0,-3250000000.0,-1842400000.0,-1800000.0
Change In Working Capital,-81742700000.0,15517738000.0,-18046700000.0,-26249344000.0
Change In Other Current Liabilities,-35283400000.0,-38707151000.0,-6661900000.0,-24114313000.0
Change In Other Current Assets,18150000000.0,31639322000.0,7835900000.0,-8893971000.0
Other Non Cash Items,3735400000.0,3156178000.0,2890000000.0,2642717000.0
Provisionand Write Offof Assets,34974800000.0,42715364000.0,34076600000.0,24587451000.0
Depreciation And Amortization,2624900000.0,2683413000.0,1881100000.0,2109481000.0
Depreciation,2624900000.0,2683413000.0,1881100000.0,2109481000.0
Gain Loss On Sale Of PPE,-19700000.0,-10431000.0,-4500000.0,-48093000.0
Net Income From Continuing Operations,26050200000.0,11534293000.0,5714700000.0,3988390000.0
