,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,302080060.0,302080060.0,302080060.0,302080060.0
Share Issued,302080060.0,302080060.0,302080060.0,302080060.0
Net Debt,11785000000.0,3495000000.0,4535000000.0,932000000.0
Total Debt,12473000000.0,4255000000.0,5409000000.0,1841000000.0
Tangible Book Value,611545000000.0,546933000000.0,516633000000.0,487057000000.0
Invested Capital,630071000000.0,557181000000.0,529949000000.0,495270000000.0
Working Capital,-84917000000.0,-2301000000.0,24238000000.0,-28648000000.0
Net Tangible Assets,611545000000.0,546933000000.0,516633000000.0,487057000000.0
Capital Lease Obligations,315000000.0,409000000.0,466000000.0,701000000.0
Common Stock Equity,617913000000.0,553335000000.0,525006000000.0,494130000000.0
Total Capitalization,617913000000.0,553335000000.0,525034000000.0,494184000000.0
Total Equity Gross Minority Interest,617913000000.0,553335000000.0,525006000000.0,494322000000.0
Minority Interest,0.0,0.0,0.0,192000000.0
Stockholders Equity,617913000000.0,553335000000.0,525006000000.0,494130000000.0
Other Equity Interest,616403000000.0,551825000000.0,,
Retained Earnings,556071000000.0,492459000000.0,467077000000.0,442143000000.0
Additional Paid In Capital,4241000000.0,4241000000.0,4241000000.0,4241000000.0
Capital Stock,1510000000.0,1510000000.0,1510000000.0,1510000000.0
Common Stock,1510000000.0,1510000000.0,1510000000.0,1510000000.0
Total Liabilities Net Minority Interest,228056000000.0,193220000000.0,187821000000.0,141955000000.0
Total Non Current Liabilities Net Minority Interest,26983000000.0,22985000000.0,26616000000.0,28901000000.0
Other Non Current Liabilities,25850000000.0,21812000000.0,21295000000.0,
Non Current Deferred Revenue,25850000000.0,21812000000.0,21295000000.0,21158000000.0
Non Current Deferred Taxes Liabilities,,0.0,4454000000.0,6575000000.0
Long Term Debt And Capital Lease Obligation,249000000.0,329000000.0,420000000.0,652000000.0
Long Term Capital Lease Obligation,249000000.0,329000000.0,392000000.0,598000000.0
Long Term Debt,,0.0,28000000.0,54000000.0
Long Term Provisions,884000000.0,844000000.0,447000000.0,516000000.0
Current Liabilities,201073000000.0,170235000000.0,161205000000.0,113054000000.0
Other Current Liabilities,31249000000.0,8857000000.0,7962000000.0,1573000000.0
Current Debt And Capital Lease Obligation,12224000000.0,3926000000.0,4989000000.0,1189000000.0
Current Capital Lease Obligation,66000000.0,80000000.0,74000000.0,103000000.0
Current Debt,12158000000.0,3846000000.0,4915000000.0,1086000000.0
Current Provisions,9624000000.0,8613000000.0,7428000000.0,6807000000.0
Payables,129439000000.0,120462000000.0,114464000000.0,85620000000.0
Other Payable,9349000000.0,11655000000.0,4195000000.0,3641000000.0
Dividends Payable,43000000.0,42000000.0,41000000.0,29000000.0
Total Tax Payable,11584000000.0,11113000000.0,8547000000.0,6962000000.0
Accounts Payable,117855000000.0,97652000000.0,101681000000.0,74988000000.0
Total Assets,845969000000.0,746555000000.0,712827000000.0,636277000000.0
Total Non Current Assets,729813000000.0,578621000000.0,527384000000.0,551871000000.0
Other Non Current Assets,21485000000.0,11432000000.0,9964000000.0,9986000000.0
Non Current Prepaid Assets,9642000000.0,14147000000.0,4116000000.0,4589000000.0
Non Current Deferred Taxes Assets,2794000000.0,1411000000.0,,
Investmentin Financial Assets,492438000000.0,349542000000.0,321548000000.0,345901000000.0
Available For Sale Securities,492438000000.0,379721000000.0,9827000000.0,5123000000.0
Trading Securities,458525000000.0,349542000000.0,321548000000.0,345901000000.0
Long Term Equity Investment,33318000000.0,29804000000.0,23743000000.0,16791000000.0
Investmentsin Joint Venturesat Cost,1346000000.0,1146000000.0,1331000000.0,1172000000.0
Investments In Other Ventures Under Equity Method,15245000000.0,13296000000.0,9827000000.0,5123000000.0
Investmentsin Associatesat Cost,16727000000.0,15362000000.0,12585000000.0,10496000000.0
Goodwill And Other Intangible Assets,6368000000.0,6402000000.0,8373000000.0,7073000000.0
Other Intangible Assets,6368000000.0,6402000000.0,8373000000.0,7073000000.0
Net PPE,200977000000.0,160435000000.0,159638000000.0,167529000000.0
Accumulated Depreciation,-200620000000.0,-178786000000.0,-157645000000.0,-134228000000.0
Gross PPE,200977000000.0,339221000000.0,317283000000.0,301757000000.0
Construction In Progress,28152000000.0,26462000000.0,11993000000.0,13443000000.0
Other Properties,172825000000.0,8950000000.0,8784000000.0,8556000000.0
Machinery Furniture Equipment,270138000000.0,234048000000.0,228395000000.0,213277000000.0
Buildings And Improvements,32056000000.0,29207000000.0,27906000000.0,26335000000.0
Land And Improvements,67572000000.0,40554000000.0,40205000000.0,40146000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,116156000000.0,167934000000.0,185443000000.0,84406000000.0
Other Current Assets,17660000000.0,1936000000.0,3166000000.0,2187000000.0
Hedging Assets Current,0.0,8000000.0,298000000.0,1050000000.0
Restricted Cash,43000000.0,42000000.0,41000000.0,29000000.0
Prepaid Assets,11105000000.0,10858000000.0,5317000000.0,3804000000.0
Inventory,42835000000.0,35323000000.0,30490000000.0,32139000000.0
Other Inventories,1587000000.0,1060000000.0,840000000.0,912000000.0
Finished Goods,15115000000.0,10873000000.0,10758000000.0,13759000000.0
Work In Process,2096000000.0,2299000000.0,1483000000.0,1218000000.0
Raw Materials,24037000000.0,21091000000.0,17409000000.0,16250000000.0
Other Receivables,297000000.0,27617000000.0,13019000000.0,6163000000.0
Taxes Receivable,,,5407000000.0,5272000000.0
Accounts Receivable,33014000000.0,20345000000.0,12799000000.0,21298000000.0
Allowance For Doubtful Accounts Receivable,-30000000.0,-29000000.0,-29000000.0,-29000000.0
Gross Accounts Receivable,33044000000.0,20374000000.0,12828000000.0,21327000000.0
Cash Cash Equivalents And Short Term Investments,22350000000.0,71805000000.0,114906000000.0,12464000000.0
Other Short Term Investments,21977000000.0,71454000000.0,114498000000.0,12256000000.0
Cash And Cash Equivalents,373000000.0,351000000.0,408000000.0,208000000.0
Cash Equivalents,,,0.0,5000000.0
Cash Financial,373000000.0,351000000.0,408000000.0,203000000.0
