,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,755700000.0,2366400000.0,2754000000.0,1688200000.0
Repayment Of Debt,-708200000.0,-709200000.0,,
Issuance Of Debt,2449800000.0,,,2427400000.0
Issuance Of Capital Stock,24400000.0,17300000.0,84500000.0,21300000.0
Capital Expenditure,-315000000.0,-368500000.0,-117500000.0,-156500000.0
End Cash Position,2076400000.0,7265800000.0,5908900000.0,2203300000.0
Other Cash Adjustment Outside Changein Cash,235300000.0,,,
Beginning Cash Position,7265800000.0,6076100000.0,2203300000.0,929500000.0
Effect Of Exchange Rate Changes,-50700000.0,-58700000.0,197500000.0,66000000.0
Changes In Cash,-5374000000.0,1248400000.0,3508100000.0,1207800000.0
Financing Cash Flow,925700000.0,-1285000000.0,-1176500000.0,2049600000.0
Net Other Financing Charges,,,100000.0,
Interest Paid Cff,-170300000.0,-48600000.0,-90700000.0,-18000000.0
Cash Dividends Paid,-573400000.0,-475200000.0,-136200000.0,-314800000.0
Common Stock Dividend Paid,,,,-314800000.0
Net Common Stock Issuance,24400000.0,17300000.0,84500000.0,21300000.0
Common Stock Issuance,24400000.0,17300000.0,84500000.0,21300000.0
Net Issuance Payments Of Debt,1741600000.0,-709200000.0,-940700000.0,2427400000.0
Net Long Term Debt Issuance,1741600000.0,-709200000.0,-940700000.0,2427400000.0
Long Term Debt Payments,-708200000.0,-709200000.0,,
Long Term Debt Issuance,2449800000.0,,,2427400000.0
Investing Cash Flow,-7370400000.0,-201500000.0,1813100000.0,-2686500000.0
Net Other Investing Changes,27700000.0,40600000.0,44200000.0,23800000.0
Interest Received Cfi,39400000.0,35300000.0,25800000.0,20500000.0
Dividends Received Cfi,,,0.0,600000.0
Net Investment Purchase And Sale,59400000.0,1748700000.0,1858800000.0,1679000000.0
Sale Of Investment,2676500000.0,4562300000.0,4324500000.0,2950900000.0
Purchase Of Investment,-2617100000.0,-2813600000.0,-2465700000.0,-1271900000.0
Net Business Purchase And Sale,-7675800000.0,-1659500000.0,,-4255700000.0
Sale Of Business,,0.0,,
Purchase Of Business,-7675800000.0,-1659500000.0,,-4255700000.0
Net PPE Purchase And Sale,178900000.0,-366600000.0,-115700000.0,-154700000.0
Sale Of PPE,493900000.0,1900000.0,1800000.0,1800000.0
Purchase Of PPE,-315000000.0,-368500000.0,-117500000.0,-156500000.0
Capital Expenditure Reported,,,,-156500000.0
Operating Cash Flow,1070700000.0,2734900000.0,2871500000.0,1844700000.0
Taxes Refund Paid,-1360800000.0,-1090400000.0,-479400000.0,-470900000.0
Change In Working Capital,-2710500000.0,-1087000000.0,-525400000.0,364800000.0
Change In Payable,-1153100000.0,664100000.0,78000000.0,251200000.0
Change In Receivables,-1557400000.0,-1751100000.0,-603400000.0,113600000.0
Other Non Cash Items,-64700000.0,18900000.0,-8900000.0,39700000.0
Stock Based Compensation,55900000.0,39300000.0,83600000.0,99100000.0
Provisionand Write Offof Assets,254800000.0,114400000.0,35600000.0,187700000.0
Deferred Tax,1171000000.0,1146200000.0,875800000.0,302700000.0
Depreciation And Amortization,673700000.0,428700000.0,449500000.0,248900000.0
Amortization Cash Flow,346900000.0,179400000.0,,
Depreciation,673700000.0,249300000.0,449500000.0,248900000.0
Gain Loss On Investment Securities,-47700000.0,-169600000.0,-75000000.0,-67300000.0
Net Foreign Currency Exchange Gain Loss,-81600000.0,,,
Gain Loss On Sale Of PPE,-3700000.0,200000.0,-1800000.0,1900000.0
Net Income From Continuing Operations,3102700000.0,3334200000.0,2517500000.0,1138100000.0
