,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,13486200000.0,15957070000.0,13283670000.0,11949030000.0
Repurchase Of Capital Stock,,,,0.0
Repayment Of Debt,-13787390000.0,-16605850000.0,-12558310000.0,-17615480000.0
Issuance Of Debt,10230340000.0,16638150000.0,12149600000.0,17391840000.0
Issuance Of Capital Stock,270730000.0,441710000.0,268030000.0,151400000.0
Capital Expenditure,-1131450000.0,-1200250000.0,-1261650000.0,-1261180000.0
End Cash Position,10441130000.0,8268470000.0,7711440000.0,9900790000.0
Beginning Cash Position,8268470000.0,7711440000.0,9880010000.0,3519780000.0
Effect Of Exchange Rate Changes,132000000.0,106890000.0,119620000.0,9510000.0
Changes In Cash,2040660000.0,450140000.0,-2288190000.0,6371500000.0
Financing Cash Flow,-14401820000.0,-13886830000.0,-8614700000.0,-8247160000.0
Interest Paid Cff,-969830000.0,-740740000.0,-619650000.0,-779890000.0
Cash Dividends Paid,-8652320000.0,-12176780000.0,-6526780000.0,-6065250000.0
Common Stock Dividend Paid,,,,-6065250000.0
Net Common Stock Issuance,270730000.0,441710000.0,268030000.0,151400000.0
Common Stock Payments,,,,0.0
Common Stock Issuance,270730000.0,441710000.0,268030000.0,151400000.0
Net Issuance Payments Of Debt,-3557050000.0,32300000.0,-408710000.0,-223640000.0
Net Short Term Debt Issuance,-3557050000.0,,,
Short Term Debt Payments,-13787390000.0,,,
Short Term Debt Issuance,10230340000.0,,,
Net Long Term Debt Issuance,-3557050000.0,32300000.0,-408710000.0,-223640000.0
Long Term Debt Payments,-13787390000.0,-16605850000.0,-12558310000.0,-17615480000.0
Long Term Debt Issuance,10230340000.0,16638150000.0,12149600000.0,17391840000.0
Investing Cash Flow,1824830000.0,-2820350000.0,-8218810000.0,1408450000.0
Interest Received Cfi,286020000.0,320670000.0,196670000.0,211980000.0
Dividends Received Cfi,,,,0.0
Net Investment Purchase And Sale,2650330000.0,3269580000.0,-6358400000.0,2439570000.0
Sale Of Investment,83112480000.0,61902670000.0,64573220000.0,82507700000.0
Purchase Of Investment,-80462150000.0,-58633090000.0,-70931620000.0,-80068130000.0
Net Business Purchase And Sale,0.0,-5218800000.0,-805190000.0,0.0
Purchase Of Business,0.0,-5218800000.0,-805190000.0,0.0
Net PPE Purchase And Sale,-1111520000.0,-1191800000.0,-1251890000.0,18080000.0
Sale Of PPE,19930000.0,8450000.0,9760000.0,18080000.0
Purchase Of PPE,-1131450000.0,-1200250000.0,-1261650000.0,
Capital Expenditure Reported,,,,-1261180000.0
Operating Cash Flow,14617650000.0,17157320000.0,14545320000.0,13210210000.0
Taxes Refund Paid,-5926250000.0,-3685830000.0,-3448250000.0,-3960060000.0
Change In Working Capital,-5778860000.0,-1501100000.0,-453190000.0,422420000.0
Change In Other Current Liabilities,-197280000.0,1703610000.0,767400000.0,1213620000.0
Change In Other Current Assets,-815740000.0,-3331620000.0,-171110000.0,-903200000.0
Change In Payable,-327430000.0,2401760000.0,-924810000.0,-1442350000.0
Change In Receivables,-3672660000.0,-3273260000.0,-731050000.0,1569820000.0
Other Non Cash Items,605570000.0,391570000.0,314490000.0,148300000.0
Stock Based Compensation,1289220000.0,651720000.0,102190000.0,146700000.0
Provisionand Write Offof Assets,262970000.0,106890000.0,251810000.0,92490000.0
Depreciation And Amortization,3252420000.0,2907520000.0,2417880000.0,2316310000.0
Depreciation,3252420000.0,2907520000.0,2417880000.0,2316310000.0
Gain Loss On Investment Securities,-734610000.0,-754840000.0,-839280000.0,-933380000.0
Net Foreign Currency Exchange Gain Loss,-65240000.0,-82640000.0,-102100000.0,-160040000.0
Gain Loss On Sale Of PPE,-18140000.0,-4970000.0,-4310000.0,-16330000.0
Net Income From Continuing Operations,21730570000.0,19129000000.0,16306080000.0,15153800000.0
