,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,17202890000.0,18185870000.0,19005060000.0,14682330000.0
Issuance Of Capital Stock,79360000.0,257720000.0,55830000.0,128340000.0
Capital Expenditure,-381260000.0,-375660000.0,-190000000.0,-535860000.0
End Cash Position,20400790000.0,16799730000.0,16948280000.0,13315940000.0
Beginning Cash Position,16799730000.0,16948280000.0,13315940000.0,11562690000.0
Effect Of Exchange Rate Changes,1300320000.0,297810000.0,-122840000.0,849690000.0
Changes In Cash,2300740000.0,-446360000.0,3755180000.0,903560000.0
Financing Cash Flow,-16654800000.0,-17334690000.0,-15898010000.0,-473540000.0
Interest Paid Cff,-45280000.0,-48300000.0,-76750000.0,-116330000.0
Cash Dividends Paid,-16415930000.0,-17260690000.0,-15466310000.0,-36080000.0
Common Stock Dividend Paid,-16415930000.0,,-15466310000.0,-36080000.0
Net Common Stock Issuance,79360000.0,257720000.0,55830000.0,128340000.0
Common Stock Issuance,79360000.0,257720000.0,55830000.0,128340000.0
Investing Cash Flow,1371390000.0,-1673200000.0,458130000.0,-13841090000.0
Net Other Investing Changes,,13750000.0,25400000.0,40550000.0
Interest Received Cfi,1557190000.0,900400000.0,1288520000.0,1281420000.0
Net Investment Purchase And Sale,192430000.0,-2281500000.0,-750910000.0,-14632760000.0
Sale Of Investment,34731170000.0,35525220000.0,35121860000.0,19852250000.0
Purchase Of Investment,-34538740000.0,-37806720000.0,-35872770000.0,-34485010000.0
Net PPE Purchase And Sale,-378230000.0,-305850000.0,-104880000.0,-530300000.0
Sale Of PPE,3030000.0,69810000.0,85120000.0,5560000.0
Purchase Of PPE,-381260000.0,-375660000.0,-190000000.0,-535860000.0
Operating Cash Flow,17584150000.0,18561530000.0,19195060000.0,15218190000.0
Taxes Refund Paid,-6926480000.0,-7002250000.0,-7112550000.0,-7718490000.0
Change In Working Capital,-1050740000.0,-335950000.0,951340000.0,-29380000.0
Change In Other Current Liabilities,586680000.0,1435550000.0,-1130430000.0,-787170000.0
Change In Other Current Assets,-447930000.0,-579950000.0,234580000.0,275680000.0
Change In Payable,-11100000.0,-88280000.0,96650000.0,-216520000.0
Change In Receivables,-1341370000.0,-1330470000.0,1524340000.0,633320000.0
Other Non Cash Items,-1548800000.0,-806850000.0,-947360000.0,-1184490000.0
Stock Based Compensation,752510000.0,622300000.0,538670000.0,544010000.0
Depreciation And Amortization,806620000.0,927990000.0,1041110000.0,1063810000.0
Depreciation,806620000.0,927990000.0,1041110000.0,1063810000.0
Net Foreign Currency Exchange Gain Loss,-401980000.0,-266440000.0,92010000.0,-79780000.0
Gain Loss On Sale Of PPE,2260000.0,340000.0,-1160000.0,-310000.0
Net Income From Continuing Operations,25699040000.0,25282770000.0,24773320000.0,22522810000.0
