,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,108317192.0,107310252.0,106758112.0,106758112.0
Share Issued,108317192.0,107310252.0,106758112.0,106758112.0
Net Debt,,,498190000.0,948470000.0
Total Debt,176910000.0,180380000.0,1196220000.0,1438040000.0
Tangible Book Value,3354720000.0,4211320000.0,303600000.0,-454670000.0
Invested Capital,7097440000.0,6191530000.0,3565600000.0,2534470000.0
Working Capital,3123690000.0,3986410000.0,1390440000.0,534520000.0
Net Tangible Assets,3354720000.0,4211320000.0,305080000.0,-453820000.0
Capital Lease Obligations,176910000.0,180380000.0,69310000.0,279960000.0
Common Stock Equity,7097440000.0,6191530000.0,2438690000.0,1376390000.0
Preferred Stock Equity,,,1480000.0,850000.0
Total Capitalization,7097440000.0,6191530000.0,3429890000.0,2384720000.0
Total Equity Gross Minority Interest,7097440000.0,6191530000.0,2440170000.0,1377240000.0
Stockholders Equity,7097440000.0,6191530000.0,2440170000.0,1377240000.0
Other Equity Interest,6989120000.0,197660000.0,2432140000.0,63920000.0
Retained Earnings,975580000.0,292080000.0,,468760000.0
Additional Paid In Capital,5712190000.0,5536860000.0,,762590000.0
Capital Stock,108320000.0,107310000.0,8030000.0,7400000.0
Common Stock,108320000.0,107310000.0,6550000.0,6550000.0
Preferred Stock,,0.0,1480000.0,850000.0
Total Liabilities Net Minority Interest,2355380000.0,1619380000.0,2850850000.0,2593840000.0
Total Non Current Liabilities Net Minority Interest,432370000.0,323440000.0,1274480000.0,1420810000.0
Other Non Current Liabilities,1210000.0,150000.0,,
Non Current Pension And Other Postretirement Benefit Plans,44480000.0,37590000.0,32930000.0,30300000.0
Tradeand Other Payables Non Current,152780000.0,,,
Non Current Deferred Taxes Liabilities,93570000.0,86560000.0,84910000.0,
Long Term Debt And Capital Lease Obligation,140330000.0,147240000.0,1026820000.0,1187320000.0
Long Term Capital Lease Obligation,140330000.0,147240000.0,37100000.0,179840000.0
Long Term Debt,,0.0,989720000.0,1007480000.0
Long Term Provisions,44480000.0,37590000.0,32930000.0,30300000.0
Current Liabilities,1923010000.0,1295940000.0,1576370000.0,1173030000.0
Other Current Liabilities,677240000.0,150960000.0,472560000.0,28850000.0
Current Debt And Capital Lease Obligation,36580000.0,33140000.0,169400000.0,250720000.0
Current Capital Lease Obligation,36580000.0,33140000.0,32210000.0,100120000.0
Current Debt,,0.0,137190000.0,150600000.0
Pensionand Other Post Retirement Benefit Plans Current,3110000.0,2540000.0,5810000.0,1960000.0
Current Provisions,3110000.0,2540000.0,5810000.0,1960000.0
Payables,872170000.0,620400000.0,296900000.0,493710000.0
Other Payable,185770000.0,136070000.0,,90120000.0
Total Tax Payable,49520000.0,66200000.0,46780000.0,17930000.0
Accounts Payable,822650000.0,418130000.0,250120000.0,385660000.0
Total Assets,9452820000.0,7810910000.0,5291020000.0,3971080000.0
Total Non Current Assets,4406120000.0,2528560000.0,2324210000.0,2263530000.0
Other Non Current Assets,9440000.0,8580000.0,530000.0,
Non Current Prepaid Assets,29190000.0,26440000.0,,18960000.0
Non Current Deferred Taxes Assets,157490000.0,42280000.0,29920000.0,37930000.0
Investmentin Financial Assets,258360000.0,228860000.0,9040000.0,
Available For Sale Securities,258360000.0,228860000.0,9040000.0,
Goodwill And Other Intangible Assets,3742720000.0,1980210000.0,2135090000.0,1831060000.0
Other Intangible Assets,2005440000.0,1292650000.0,1502490000.0,1462710000.0
Goodwill,1737280000.0,687560000.0,632600000.0,368350000.0
Net PPE,229580000.0,244710000.0,141460000.0,328370000.0
Accumulated Depreciation,-448550000.0,-370440000.0,,-325040000.0
Gross PPE,229580000.0,615150000.0,141460000.0,653410000.0
Other Properties,229580000.0,244710000.0,141460000.0,
Machinery Furniture Equipment,348080000.0,307480000.0,,280480000.0
Buildings And Improvements,330050000.0,307670000.0,,372930000.0
Properties,0.0,0.0,,0.0
Current Assets,5046700000.0,5282350000.0,2966810000.0,1707550000.0
Other Current Assets,222450000.0,144850000.0,123730000.0,
Prepaid Assets,255400000.0,176370000.0,,198960000.0
Other Receivables,3930000.0,295980000.0,2090000.0,18350000.0
Accounts Receivable,1607830000.0,941200000.0,704390000.0,776730000.0
Allowance For Doubtful Accounts Receivable,-210740000.0,-182170000.0,,-252690000.0
Gross Accounts Receivable,1687850000.0,1123370000.0,,1029420000.0
Cash Cash Equivalents And Short Term Investments,3212490000.0,3868800000.0,2136600000.0,692560000.0
Other Short Term Investments,2213190000.0,3527820000.0,1507880000.0,482950000.0
Cash And Cash Equivalents,999300000.0,340980000.0,628720000.0,209610000.0
Cash Equivalents,13990000.0,840000.0,,
Cash Financial,985310000.0,340140000.0,,209610000.0
