,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,28737500000.0,74895000000.0,50002400000.0,50127700000.0
Repurchase Of Capital Stock,0.0,-1857000000.0,-1854200000.0,-2124800000.0
Repayment Of Debt,-28996300000.0,-43999000000.0,-109198700000.0,-138934600000.0
Issuance Of Debt,81597800000.0,16567700000.0,66028700000.0,105515700000.0
Issuance Of Capital Stock,,,,0.0
Capital Expenditure,-20855800000.0,-14950400000.0,-11701300000.0,-15420000000.0
End Cash Position,46237300000.0,45082500000.0,62730300000.0,56766100000.0
Other Cash Adjustment Outside Changein Cash,5666900000.0,414500000.0,,
Beginning Cash Position,45082500000.0,62730300000.0,56766100000.0,70623000000.0
Effect Of Exchange Rate Changes,1570700000.0,1274300000.0,-1296900000.0,3635200000.0
Changes In Cash,-6082800000.0,-19336600000.0,7261100000.0,-17492100000.0
Financing Cash Flow,23760700000.0,-51934600000.0,-59804800000.0,-57151400000.0
Net Other Financing Charges,,,4250000000.0,-7084500000.0
Interest Paid Cff,-992400000.0,-732100000.0,-1442500000.0,-2718900000.0
Cash Dividends Paid,-25188800000.0,-21589200000.0,-15594700000.0,-13791900000.0
Common Stock Dividend Paid,,,,-13791900000.0
Net Common Stock Issuance,0.0,-1857000000.0,-1854200000.0,-2124800000.0
Common Stock Payments,0.0,-1857000000.0,-1854200000.0,-2124800000.0
Common Stock Issuance,,,,0.0
Net Issuance Payments Of Debt,51296600000.0,-26367100000.0,-44896400000.0,-31229900000.0
Net Short Term Debt Issuance,-1304900000.0,1064200000.0,-1726400000.0,2189000000.0
Net Long Term Debt Issuance,52601500000.0,-27431300000.0,-43170000000.0,-33418900000.0
Long Term Debt Payments,-28996300000.0,-43999000000.0,-109198700000.0,-138934600000.0
Long Term Debt Issuance,81597800000.0,16567700000.0,66028700000.0,105515700000.0
Investing Cash Flow,-79436800000.0,-57247400000.0,5362200000.0,-25888400000.0
Net Other Investing Changes,,,,-1501600000.0
Interest Received Cfi,3179300000.0,763000000.0,717700000.0,3384600000.0
Dividends Received Cfi,1324000000.0,1338300000.0,1375900000.0,561800000.0
Net Investment Purchase And Sale,-16436200000.0,-37910700000.0,13732700000.0,-17019200000.0
Sale Of Investment,210457100000.0,208713400000.0,201968800000.0,327129200000.0
Purchase Of Investment,-226893300000.0,-246624100000.0,-188236100000.0,-344148400000.0
Net Business Purchase And Sale,-46858200000.0,-7157300000.0,-616000000.0,0.0
Sale Of Business,0.0,238400000.0,,
Purchase Of Business,-46858200000.0,-7395700000.0,-616000000.0,0.0
Net PPE Purchase And Sale,-20645700000.0,-14344300000.0,-10730300000.0,-14499700000.0
Sale Of PPE,210100000.0,606100000.0,971000000.0,920300000.0
Purchase Of PPE,-20855800000.0,-14950400000.0,-11701300000.0,-15420000000.0
Capital Expenditure Reported,,,,-15420000000.0
Operating Cash Flow,49593300000.0,89845400000.0,61703700000.0,65547700000.0
Taxes Refund Paid,-15098400000.0,9692200000.0,-10029400000.0,-13459100000.0
Change In Working Capital,-56618200000.0,15590500000.0,25640900000.0,8985500000.0
Change In Other Current Liabilities,-6691500000.0,-23333500000.0,24983500000.0,2363300000.0
Change In Other Current Assets,-2158100000.0,141100000.0,1166200000.0,-1751900000.0
Change In Payable,11823700000.0,3699200000.0,3814600000.0,-1365700000.0
Change In Inventory,-12022000000.0,3069500000.0,-10802900000.0,2567700000.0
Change In Receivables,-9531700000.0,-13422600000.0,937300000.0,-3740500000.0
Other Non Cash Items,-2125400000.0,-4260200000.0,-697000000.0,-518900000.0
Provisionand Write Offof Assets,2070500000.0,175700000.0,43100000.0,1068100000.0
Depreciation And Amortization,25294300000.0,21437400000.0,20799500000.0,20527800000.0
Depreciation,25294300000.0,21437400000.0,20799500000.0,20527800000.0
Gain Loss On Investment Securities,-1458300000.0,972400000.0,-5156200000.0,-1380800000.0
Net Foreign Currency Exchange Gain Loss,3368100000.0,-172000000.0,3215200000.0,227700000.0
Gain Loss On Sale Of PPE,227100000.0,1656000000.0,16700000.0,52200000.0
Net Income From Continuing Operations,94084300000.0,44813200000.0,27993700000.0,50095900000.0
