,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,106158749.0,106158749.0,106130826.0,106130826.0
Share Issued,106158749.0,106158749.0,106130826.0,106130826.0
Net Debt,19323100000.0,8627933000.0,10969171000.0,3783580000.0
Total Debt,27654100000.0,18369077000.0,16901077000.0,12155060000.0
Tangible Book Value,15847300000.0,15051178000.0,15968972000.0,10662290000.0
Invested Capital,43501400000.0,33420255000.0,32870049000.0,22817350000.0
Net Tangible Assets,15847300000.0,15051178000.0,15968972000.0,10662290000.0
Common Stock Equity,15847300000.0,15051178000.0,15968972000.0,10662290000.0
Total Capitalization,43501400000.0,33420255000.0,32870049000.0,22817350000.0
Total Equity Gross Minority Interest,15847300000.0,15051178000.0,15968972000.0,10662290000.0
Stockholders Equity,15847300000.0,15051178000.0,15968972000.0,10662290000.0
Other Equity Interest,87796000.0,92100000.0,101083000.0,71020000.0
Retained Earnings,1513877000.0,1119623000.0,2051532000.0,2048300000.0
Additional Paid In Capital,11865295000.0,11871399000.0,11866936000.0,6910820000.0
Capital Stock,1061600000.0,1061587000.0,1061308000.0,865940000.0
Common Stock,1061600000.0,1061587000.0,1061308000.0,865940000.0
Total Liabilities Net Minority Interest,82764900000.0,66750655000.0,51150881000.0,42982930000.0
Long Term Debt And Capital Lease Obligation,27654100000.0,18369077000.0,16901077000.0,12155060000.0
Payables,494460000.0,217351000.0,184642000.0,220280000.0
Other Payable,,,,48910000.0
Accounts Payable,494460000.0,217351000.0,184642000.0,220280000.0
Total Assets,98612200000.0,81801833000.0,67119853000.0,53645220000.0
Investments And Advances,25701900000.0,20576805000.0,18736967000.0,8081980000.0
Investmentin Financial Assets,25701900000.0,20576805000.0,18736967000.0,8081980000.0
Available For Sale Securities,986571000.0,495666000.0,949953000.0,1229990000.0
Long Term Equity Investment,0.0,0.0,0.0,0.0
Net PPE,1644800000.0,1152496000.0,432196000.0,387300000.0
Accumulated Depreciation,-960845000.0,-582179000.0,-390326000.0,-244680000.0
Gross PPE,2605620000.0,1734674000.0,822522000.0,631980000.0
Construction In Progress,13262000.0,492171000.0,82684000.0,82360000.0
Other Properties,2560486000.0,1210631000.0,707966000.0,517750000.0
Properties,31872000.0,31872000.0,31872000.0,31870000.0
Prepaid Assets,103249000.0,259617000.0,215263000.0,103460000.0
Receivables,820279000.0,786290000.0,730159000.0,566950000.0
Cash And Cash Equivalents,8331000000.0,9741144000.0,5931906000.0,8371480000.0
Cash Equivalents,0.0,2498952000.0,0.0,800000000.0
Cash Financial,7842300000.0,83287000.0,119329000.0,63520000.0
