,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,172923300000.0,-8855900000.0,87951100000.0,-30690900000.0
Repayment Of Debt,-634175200000.0,-459068000000.0,-352341100000.0,-307298100000.0
Issuance Of Debt,444405100000.0,484179800000.0,504845200000.0,383939700000.0
Issuance Of Capital Stock,37696000000.0,37685900000.0,26025100000.0,38887700000.0
Capital Expenditure,-180956800000.0,-151684200000.0,-202054000000.0,-297020300000.0
End Cash Position,318869500000.0,381590100000.0,317000100000.0,184678000000.0
Other Cash Adjustment Outside Changein Cash,,,0.0,0.0
Beginning Cash Position,381590100000.0,317000100000.0,184678000000.0,215598000000.0
Effect Of Exchange Rate Changes,13869900000.0,3314600000.0,4537700000.0,10556800000.0
Changes In Cash,-76590500000.0,61275400000.0,127784400000.0,-41476800000.0
Financing Cash Flow,-262429000000.0,-33801700000.0,99041900000.0,33896000000.0
Cash Flow From Continuing Financing Activities,,-33801700000.0,99041900000.0,33896000000.0
Net Other Financing Charges,-420400000.0,1347700000.0,5531100000.0,-1756800000.0
Interest Paid Cff,-93359600000.0,-97931800000.0,-85002700000.0,-79876500000.0
Proceeds From Stock Option Exercised,,,26025100000.0,38887700000.0
Cash Dividends Paid,,-15300000.0,-15700000.0,0.0
Common Stock Dividend Paid,0.0,,,
Net Preferred Stock Issuance,37500000000.0,37500000000.0,,
Preferred Stock Issuance,37500000000.0,37500000000.0,,
Net Common Stock Issuance,196000000.0,185900000.0,26025100000.0,38887700000.0
Common Stock Issuance,196000000.0,185900000.0,26025100000.0,38887700000.0
Net Issuance Payments Of Debt,-189770100000.0,25111800000.0,152504100000.0,76641600000.0
Net Short Term Debt Issuance,-36261000000.0,-45392600000.0,51839500000.0,-37276300000.0
Short Term Debt Payments,-317515500000.0,-214360400000.0,-156232000000.0,-128529300000.0
Short Term Debt Issuance,281254500000.0,168967800000.0,208071500000.0,91253000000.0
Net Long Term Debt Issuance,-153509100000.0,70504400000.0,100664600000.0,113917900000.0
Long Term Debt Payments,-316659700000.0,-244707600000.0,-196109100000.0,-178768800000.0
Long Term Debt Issuance,163150600000.0,315212000000.0,296773700000.0,292686700000.0
