,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,26945700000.0,41826429000.0,22578364000.0,-108016379000.0
Repayment Of Debt,-10000000000.0,-18595601000.0,0.0,-15750000000.0
Issuance Of Debt,8724800000.0,5000000000.0,9417537000.0,19279553000.0
Issuance Of Capital Stock,0.0,26000000000.0,0.0,42720000000.0
Capital Expenditure,-2883400000.0,-2160186000.0,-1642595000.0,-1432220000.0
End Cash Position,287281000000.0,261479910000.0,236002439000.0,178061584000.0
Beginning Cash Position,261479900000.0,236002439000.0,178061584000.0,244320990000.0
Effect Of Exchange Rate Changes,2002900000.0,-145605000.0,2607806000.0,-1374213000.0
Changes In Cash,23798200000.0,25623076000.0,55333049000.0,-64885193000.0
Financing Cash Flow,-3357700000.0,-16365408000.0,32657303000.0,42827081000.0
Net Other Financing Charges,-100000.0,-26000000000.0,26000000000.0,
Interest Paid Cff,-2082400000.0,-2769807000.0,-2760234000.0,-3422472000.0
Net Common Stock Issuance,0.0,26000000000.0,0.0,42720000000.0
Common Stock Issuance,0.0,26000000000.0,0.0,42720000000.0
Net Issuance Payments Of Debt,-1275200000.0,-13595601000.0,9417537000.0,3529553000.0
Net Long Term Debt Issuance,-1275200000.0,-13595601000.0,9417537000.0,3529553000.0
Long Term Debt Payments,-10000000000.0,-18595601000.0,0.0,-15750000000.0
Long Term Debt Issuance,8724800000.0,5000000000.0,9417537000.0,19279553000.0
Investing Cash Flow,-2673200000.0,-1998131000.0,-1545213000.0,-1128115000.0
Interest Received Cfi,,0.0,4525000.0,14177000.0
Dividends Received Cfi,142900000.0,94324000.0,92857000.0,89780000.0
Net PPE Purchase And Sale,-2816100000.0,-2092455000.0,-1642595000.0,-1232072000.0
Sale Of PPE,67300000.0,67731000.0,,200148000.0
Purchase Of PPE,-2883400000.0,-2160186000.0,-1642595000.0,-1432220000.0
Operating Cash Flow,29829100000.0,43986615000.0,24220959000.0,-106584159000.0
Taxes Refund Paid,0.0,0.0,0.0,0.0
Change In Working Capital,-32482200000.0,-19273087000.0,-28916757000.0,-159630491000.0
Change In Other Current Liabilities,-22081500000.0,-26790802000.0,-7447540000.0,-8476005000.0
Change In Other Current Assets,459700000.0,19195368000.0,22274657000.0,-1287114000.0
Other Non Cash Items,2062900000.0,2769807000.0,2755709000.0,3408295000.0
Provisionand Write Offof Assets,21222000000.0,36580546000.0,48393471000.0,67419452000.0
Depreciation And Amortization,2175200000.0,1649552000.0,1344161000.0,1372893000.0
Depreciation,2175200000.0,1649552000.0,1344161000.0,1372893000.0
Gain Loss On Investment Securities,-142900000.0,-94324000.0,-92857000.0,-89780000.0
Gain Loss On Sale Of PPE,-1700000.0,-5173000.0,209586000.0,-1062000.0
Net Income From Continuing Operations,28690600000.0,17155229000.0,-849387000.0,-24368289000.0
