,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Treasury Shares Number,,120000.0,,
Ordinary Shares Number,750607641.0,764045456.0,764045456.0,764045456.0
Share Issued,750607641.0,764165456.0,764045456.0,764045456.0
Net Debt,170320000000.0,200690000000.0,188660000000.0,219710000000.0
Total Debt,239390000000.0,267090000000.0,244060000000.0,293860000000.0
Tangible Book Value,-14200000000.0,-47680000000.0,-79510000000.0,-108170000000.0
Invested Capital,528430000000.0,505270000000.0,445490000000.0,479760000000.0
Working Capital,129910000000.0,114990000000.0,104430000000.0,125560000000.0
Net Tangible Assets,-14200000000.0,-47680000000.0,-79510000000.0,-108170000000.0
Capital Lease Obligations,9400000000.0,8430000000.0,7430000000.0,6910000000.0
Common Stock Equity,298440000000.0,246610000000.0,208860000000.0,192810000000.0
Total Capitalization,499880000000.0,462660000000.0,430270000000.0,466450000000.0
Total Equity Gross Minority Interest,354290000000.0,293080000000.0,245790000000.0,225930000000.0
Minority Interest,55850000000.0,46470000000.0,36930000000.0,33120000000.0
Stockholders Equity,298440000000.0,246610000000.0,208860000000.0,192810000000.0
Other Equity Interest,296940000000.0,29860000000.0,29860000000.0,29860000000.0
Retained Earnings,203410000000.0,153950000000.0,163610000000.0,140700000000.0
Additional Paid In Capital,32480000000.0,46000000000.0,46000000000.0,46000000000.0
Capital Stock,1500000000.0,1530000000.0,1530000000.0,1530000000.0
Common Stock,1500000000.0,1530000000.0,1530000000.0,1530000000.0
Total Liabilities Net Minority Interest,531480000000.0,533710000000.0,458520000000.0,474900000000.0
Total Non Current Liabilities Net Minority Interest,241110000000.0,251750000000.0,262250000000.0,308040000000.0
Other Non Current Liabilities,,,10000000.0,10000000.0
Derivative Product Liabilities,0.0,0.0,5810000000.0,0.0
Tradeand Other Payables Non Current,6030000000.0,4070000000.0,2060000000.0,420000000.0
Non Current Deferred Revenue,0.0,0.0,,
Non Current Deferred Taxes Liabilities,24620000000.0,24750000000.0,26620000000.0,27770000000.0
Long Term Debt And Capital Lease Obligation,208190000000.0,222310000000.0,227260000000.0,279570000000.0
Long Term Capital Lease Obligation,6750000000.0,6260000000.0,5850000000.0,5930000000.0
Long Term Debt,201440000000.0,216050000000.0,221410000000.0,273640000000.0
Long Term Provisions,2170000000.0,520000000.0,380000000.0,240000000.0
Current Liabilities,290370000000.0,281960000000.0,196270000000.0,166860000000.0
Other Current Liabilities,47230000000.0,33250000000.0,7350000000.0,4900000000.0
Current Debt And Capital Lease Obligation,31200000000.0,44780000000.0,16800000000.0,14290000000.0
Current Capital Lease Obligation,2650000000.0,2170000000.0,1580000000.0,980000000.0
Current Debt,28550000000.0,42610000000.0,15220000000.0,13310000000.0
Current Provisions,5030000000.0,7480000000.0,8650000000.0,11100000000.0
Payables,182690000000.0,184410000000.0,137820000000.0,114580000000.0
Other Payable,16640000000.0,15010000000.0,7250000000.0,8320000000.0
Dividends Payable,110000000.0,100000000.0,90000000.0,80000000.0
Total Tax Payable,6550000000.0,3780000000.0,5230000000.0,3850000000.0
Accounts Payable,176140000000.0,165520000000.0,125250000000.0,102330000000.0
Total Assets,885770000000.0,826790000000.0,704310000000.0,700830000000.0
Total Non Current Assets,465490000000.0,429510000000.0,403610000000.0,408420000000.0
Other Non Current Assets,3530000000.0,60000000.0,10000000.0,
Non Current Prepaid Assets,2640000000.0,810000000.0,1430000000.0,2030000000.0
Non Current Deferred Taxes Assets,26610000000.0,20760000000.0,16660000000.0,16550000000.0
Financial Assets,0.0,1720000000.0,,790000000.0
Investmentin Financial Assets,8160000000.0,8370000000.0,2050000000.0,2060000000.0
Available For Sale Securities,8160000000.0,8370000000.0,1710000000.0,1350000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,3920000000.0,3660000000.0,340000000.0,710000000.0
Long Term Equity Investment,9730000000.0,5600000000.0,3800000000.0,3600000000.0
Investmentsin Joint Venturesat Cost,2390000000.0,,,770000000.0
Investmentsin Associatesat Cost,7340000000.0,,,2830000000.0
Goodwill And Other Intangible Assets,312640000000.0,294290000000.0,288370000000.0,300980000000.0
Other Intangible Assets,113660000000.0,110650000000.0,111480000000.0,118570000000.0
Goodwill,198980000000.0,183640000000.0,176890000000.0,182410000000.0
Net PPE,102670000000.0,92590000000.0,80440000000.0,72970000000.0
Accumulated Depreciation,-70860000000.0,-61040000000.0,-57770000000.0,-52290000000.0
Gross PPE,102670000000.0,153630000000.0,138210000000.0,125260000000.0
Construction In Progress,11970000000.0,11840000000.0,8990000000.0,10590000000.0
Other Properties,90700000000.0,1950000000.0,1620000000.0,1750000000.0
Machinery Furniture Equipment,119590000000.0,103130000000.0,93530000000.0,82040000000.0
Buildings And Improvements,31450000000.0,29390000000.0,27350000000.0,25480000000.0
Land And Improvements,10510000000.0,7320000000.0,6720000000.0,5400000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,420280000000.0,396950000000.0,300700000000.0,292420000000.0
Other Current Assets,31200000000.0,28940000000.0,22350000000.0,
Hedging Assets Current,180000000.0,170000000.0,2330000000.0,4990000000.0
Assets Held For Sale Current,400000000.0,480000000.0,550000000.0,510000000.0
Restricted Cash,460000000.0,450000000.0,540000000.0,250000000.0
Prepaid Assets,9380000000.0,9320000000.0,8020000000.0,5450000000.0
Inventory,139850000000.0,130780000000.0,94220000000.0,78500000000.0
Other Inventories,,3240000000.0,2510000000.0,2030000000.0
Finished Goods,97000000000.0,76630000000.0,59040000000.0,50600000000.0
Work In Process,7210000000.0,7610000000.0,5010000000.0,5030000000.0
Raw Materials,35640000000.0,43300000000.0,27660000000.0,20840000000.0
Other Receivables,250000000.0,27160000000.0,16800000000.0,15260000000.0
Taxes Receivable,1410000000.0,860000000.0,3660000000.0,870000000.0
Accounts Receivable,182240000000.0,158430000000.0,125910000000.0,118670000000.0
Allowance For Doubtful Accounts Receivable,-10850000000.0,-9860000000.0,-9570000000.0,-10780000000.0
Gross Accounts Receivable,193670000000.0,163140000000.0,135480000000.0,129450000000.0
Cash Cash Equivalents And Short Term Investments,64930000000.0,69470000000.0,48670000000.0,67920000000.0
Other Short Term Investments,5260000000.0,11500000000.0,700000000.0,680000000.0
Cash And Cash Equivalents,59670000000.0,57970000000.0,47970000000.0,67240000000.0
Cash Equivalents,14830000000.0,18320000000.0,9780000000.0,8660000000.0
Cash Financial,44840000000.0,39650000000.0,38190000000.0,58580000000.0
