,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-32455596.896902,-9249027.427271,17791695164.73236
Tax Rate For Calcs,0.250181,0.257821,0.267305,0.21142
Total Unusual Items,0.0,-125884000.0,-34601000.0,84153282000.0
Total Unusual Items Excluding Goodwill,0.0,-125884000.0,-34601000.0,84153282000.0
Net Income From Continuing Operation Net Minority Interest,7358200000.0,10640534000.0,-34889279000.0,-164325804000.0
Reconciled Depreciation,4334200000.0,4033317000.0,3600318000.0,3419327000.0
Net Interest Income,79024000000.0,64903314000.0,71386642000.0,67939575000.0
Interest Expense,147997600000.0,125284351000.0,129006184000.0,192580598000.0
Interest Income,227021600000.0,190187665000.0,200392826000.0,260520173000.0
Normalized Income,7358200000.0,10733962403.103098,-34863927027.42727,-230687390835.26764
Net Income From Continuing And Discontinued Operation,7358200000.0,10640534000.0,-34889279000.0,-164325804000.0
Diluted Average Shares,26245554354.0,25057565654.0,21186000617.0,2928411435.0
Basic Average Shares,26159996163.0,25054915063.0,21183670327.0,2928382648.0
Diluted EPS,0.28,0.42,-1.65,-56.11
Basic EPS,0.28,0.42,-1.65,-56.11
Diluted NI Availto Com Stockholders,7358200000.0,10640534000.0,-34889279000.0,-164325804000.0
Net Income Common Stockholders,7358200000.0,10640534000.0,-34889279000.0,-164325804000.0
Net Income,7358200000.0,10640534000.0,-34889279000.0,-164325804000.0
Minority Interests,0.0,0.0,,
Net Income Including Noncontrolling Interests,7358200000.0,10640534000.0,-34889279000.0,-164325804000.0
Net Income Extraordinary,0.0,0.0,0.0,
Net Income Continuous Operations,7358200000.0,10640534000.0,-34889279000.0,-164325804000.0
Tax Provision,2455100000.0,3696360000.0,-12728473000.0,-44056129000.0
Pretax Income,9813300000.0,14336898000.0,-47617752000.0,-208381934000.0
Special Income Charges,0.0,-125884000.0,-34601000.0,84153282000.0
Other Special Charges,-69550000.0,125884000.0,34601000.0,-84153282000.0
Gain On Sale Of Security,309374000.0,2901898000.0,11080030000.0,11134575000.0
Operating Expense,88255200000.0,69776490000.0,59181004000.0,72817146000.0
Other Operating Expenses,53504500000.0,29373427000.0,23931368000.0,35230050000.0
Depreciation And Amortization In Income Statement,4334178000.0,4033317000.0,3600318000.0,3419327000.0
Amortization,0.0,0.0,,
Depreciation Income Statement,4334178000.0,4033317000.0,3600318000.0,3419327000.0
Selling General And Administration,706129000.0,718542000.0,622300000.0,493502000.0
Selling And Marketing Expense,128704000.0,280797000.0,392263000.0,296655000.0
General And Administrative Expense,577425000.0,437745000.0,230037000.0,196847000.0
Insurance And Claims,2814329000.0,2010543000.0,1358723000.0,2162391000.0
Rent And Landing Fees,4425607000.0,4007109000.0,4462970000.0,4540763000.0
Total Revenue,120270000000.0,91172932000.0,89651399000.0,38931506000.0
Operating Revenue,120270000000.0,91172932000.0,89651399000.0,38931506000.0
