,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,1032130000.0,-485639000.0,116009000.0,572170000.0
Repurchase Of Capital Stock,-96613000.0,,,
Repayment Of Debt,-75818000.0,,-1752000.0,-150168000.0
Issuance Of Debt,0.0,872128000.0,,
Issuance Of Capital Stock,0.0,25008000.0,260484000.0,87324000.0
Capital Expenditure,-131489000.0,-43057000.0,-19840000.0,-52106000.0
End Cash Position,1118244000.0,210479000.0,209287000.0,158114000.0
Other Cash Adjustment Outside Changein Cash,1000.0,,,-1000.0
Beginning Cash Position,210363000.0,209288000.0,158114000.0,-224315000.0
Changes In Cash,907880000.0,1191000.0,51173000.0,382430000.0
Financing Cash Flow,-218831000.0,879823000.0,94867000.0,-124249000.0
Net Other Financing Charges,1000.0,-1000.0,-121518000.0,-4759000.0
Interest Paid Cff,-34564000.0,-9361000.0,-10543000.0,-33498000.0
Cash Dividends Paid,-7923000.0,-7951000.0,-31804000.0,-23148000.0
Common Stock Dividend Paid,,,-31804000.0,-23148000.0
Net Common Stock Issuance,-96613000.0,25008000.0,260484000.0,87324000.0
Common Stock Payments,-96613000.0,,,
Common Stock Issuance,0.0,25008000.0,260484000.0,87324000.0
Net Issuance Payments Of Debt,-75818000.0,872128000.0,-1752000.0,-150168000.0
Net Long Term Debt Issuance,-75818000.0,872128000.0,-1752000.0,-150168000.0
Long Term Debt Payments,-75818000.0,,-1752000.0,-150168000.0
Long Term Debt Issuance,0.0,872128000.0,,
Investing Cash Flow,-36908000.0,-436050000.0,-179543000.0,-117597000.0
Net Other Investing Changes,-1000.0,-1000.0,-109379000.0,-6547000.0
Interest Received Cfi,64694000.0,38141000.0,25405000.0,8925000.0
Net Investment Purchase And Sale,29778000.0,-431133000.0,,6150000.0
Sale Of Investment,55062000.0,,,6150000.0
Purchase Of Investment,-25284000.0,,,
Net Business Purchase And Sale,,,-81888000.0,-25463000.0
Purchase Of Business,,,-81888000.0,-25463000.0
Net PPE Purchase And Sale,-131379000.0,-43057000.0,-13681000.0,28313000.0
Sale Of PPE,110000.0,0.0,6159000.0,28313000.0
Purchase Of PPE,-131489000.0,-43057000.0,-19840000.0,
Capital Expenditure Reported,,,,-52106000.0
Operating Cash Flow,1163619000.0,-442582000.0,135849000.0,624276000.0
Taxes Refund Paid,-143965000.0,-21543000.0,-28321000.0,-113878000.0
Change In Working Capital,550599000.0,-474710000.0,81697000.0,98467000.0
Change In Other Current Liabilities,562752000.0,508002000.0,-12683000.0,-234300000.0
Change In Other Current Assets,672472000.0,-774410000.0,-165244000.0,-179260000.0
Change In Payable,-56174000.0,9242000.0,-35482000.0,-18859000.0
Change In Inventory,-240485000.0,-104637000.0,-6425000.0,221054000.0
Change In Receivables,-455554000.0,-130062000.0,301074000.0,308215000.0
Other Non Cash Items,-32784000.0,-27841000.0,-10662000.0,25537000.0
Stock Based Compensation,4421000.0,,,
Provisionand Write Offof Assets,3883000.0,719000.0,0.0,0.0
Depreciation And Amortization,60565000.0,48335000.0,49522000.0,45678000.0
Amortization Cash Flow,6960000.0,,,
Depreciation,60565000.0,48335000.0,49522000.0,45678000.0
Gain Loss On Investment Securities,-93000.0,,,1125000.0
Net Foreign Currency Exchange Gain Loss,3727000.0,-576000.0,,
Gain Loss On Sale Of PPE,-93000.0,,,1125000.0
Net Income From Continuing Operations,717266000.0,33032000.0,43613000.0,567347000.0
