,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,3329470000.0,4063860000.0,5676290000.0,3201210000.0
Repurchase Of Capital Stock,-228430000.0,,,
Repayment Of Debt,-1107840000.0,-1806760000.0,-2726730000.0,-2098240000.0
Issuance Of Debt,1044700000.0,1801390000.0,2178600000.0,1276250000.0
Issuance Of Capital Stock,17280000.0,27450000.0,6560000.0,14480000.0
Capital Expenditure,-1294980000.0,-686040000.0,-599750000.0,-686220000.0
End Cash Position,4542130000.0,3420630000.0,2857700000.0,2758850000.0
Other Cash Adjustment Outside Changein Cash,348220000.0,95620000.0,,
Beginning Cash Position,3420630000.0,2857700000.0,2758850000.0,2008720000.0
Effect Of Exchange Rate Changes,3280000.0,8120000.0,-21010000.0,18880000.0
Changes In Cash,770000000.0,459190000.0,119860000.0,731250000.0
Financing Cash Flow,-1830990000.0,-1266660000.0,-1147740000.0,-1773500000.0
Interest Paid Cff,-86760000.0,-31860000.0,-45030000.0,-73150000.0
Cash Dividends Paid,-891630000.0,-741300000.0,,-568850000.0
Common Stock Dividend Paid,,-741300000.0,0.0,-568850000.0
Net Common Stock Issuance,-211150000.0,27450000.0,6560000.0,14480000.0
Common Stock Payments,-228430000.0,,,
Common Stock Issuance,17280000.0,27450000.0,6560000.0,14480000.0
Net Issuance Payments Of Debt,-63140000.0,-5370000.0,-548130000.0,-821990000.0
Net Short Term Debt Issuance,-44310000.0,0.0,-166100000.0,-449210000.0
Short Term Debt Payments,-1089010000.0,-1801390000.0,-2344700000.0,-1716420000.0
Short Term Debt Issuance,1044700000.0,1801390000.0,2178600000.0,1267210000.0
Net Long Term Debt Issuance,-18830000.0,-5370000.0,-382030000.0,-372780000.0
Long Term Debt Payments,-18830000.0,-5370000.0,-382030000.0,-381820000.0
Long Term Debt Issuance,,,0.0,9040000.0
Investing Cash Flow,-2023460000.0,-3024050000.0,-5008440000.0,-1382680000.0
Net Other Investing Changes,,,,-11800000.0
Interest Received Cfi,201270000.0,140260000.0,52970000.0,21060000.0
Dividends Received Cfi,410000.0,3600000.0,2230000.0,13820000.0
Net Investment Purchase And Sale,5260460000.0,-1410790000.0,-4262730000.0,-499180000.0
Sale Of Investment,10599460000.0,2934280000.0,1756390000.0,1189900000.0
Purchase Of Investment,-5339000000.0,-4345070000.0,-6019120000.0,-1689080000.0
Net Business Purchase And Sale,-6209440000.0,-1072030000.0,-206130000.0,-232630000.0
Sale Of Business,19130000.0,0.0,19450000.0,92500000.0
Purchase Of Business,-6228570000.0,-1072030000.0,-225580000.0,-325130000.0
Net PPE Purchase And Sale,-1276160000.0,-685090000.0,-594780000.0,-673950000.0
Sale Of PPE,18820000.0,950000.0,4970000.0,12270000.0
Purchase Of PPE,-1294980000.0,-686040000.0,-599750000.0,-686220000.0
Operating Cash Flow,4624450000.0,4749900000.0,6276040000.0,3887430000.0
Interest Paid Cfo,-988510000.0,-888250000.0,-327460000.0,-825340000.0
Change In Working Capital,-1769220000.0,874720000.0,3076390000.0,1299840000.0
Change In Other Current Liabilities,502650000.0,1288340000.0,1187670000.0,-720000.0
Change In Other Current Assets,-95950000.0,-23510000.0,,
Change In Payable,-129350000.0,-19950000.0,505500000.0,-234720000.0
Change In Inventory,-950000.0,0.0,110460000.0,-9110000.0
Change In Receivables,-2045620000.0,-370160000.0,1272760000.0,1544390000.0
Other Non Cash Items,173720000.0,19780000.0,20410000.0,232480000.0
Stock Based Compensation,118740000.0,87970000.0,103600000.0,48380000.0
Provisionand Write Offof Assets,71030000.0,-112920000.0,192220000.0,-23580000.0
Deferred Tax,1099240000.0,683010000.0,305200000.0,338340000.0
Depreciation And Amortization,1463790000.0,1196140000.0,1331740000.0,1080480000.0
Amortization Cash Flow,,380130000.0,,
Depreciation,1463790000.0,816010000.0,1331740000.0,1080480000.0
Gain Loss On Investment Securities,-37150000.0,-80780000.0,-21970000.0,43100000.0
Net Foreign Currency Exchange Gain Loss,615330000.0,13760000.0,68300000.0,213420000.0
Gain Loss On Sale Of PPE,-6720000.0,-720000.0,6750000.0,1110000.0
Gain Loss On Sale Of Business,-18860000.0,,,
Net Income From Continuing Operations,3868630000.0,2762430000.0,1471030000.0,1467750000.0
