,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,312017604.0,311163860.0,310869689.0,310869689.0
Share Issued,312017604.0,311163860.0,310869689.0,310869689.0
Total Debt,15627200000.0,14641700000.0,17648800000.0,26501360000.0
Tangible Book Value,82133600000.0,70939933000.0,66422445000.0,59704436000.0
Invested Capital,97760800000.0,85581633000.0,84071245000.0,86205796000.0
Net Tangible Assets,82133600000.0,70939933000.0,66422445000.0,59704436000.0
Common Stock Equity,82133600000.0,70939933000.0,66422445000.0,59704436000.0
Total Capitalization,97760800000.0,85581633000.0,84071245000.0,86205796000.0
Total Equity Gross Minority Interest,82133600000.0,70939933000.0,66422445000.0,59704436000.0
Stockholders Equity,82133600000.0,70939933000.0,66422445000.0,59704436000.0
Other Equity Interest,541000.0,541000.0,,
Fixed Assets Revaluation Reserve,5104419000.0,4589521000.0,4653366000.0,4700657000.0
Retained Earnings,1646183000.0,1350806000.0,853628000.0,1016814000.0
Additional Paid In Capital,12608036000.0,12559683000.0,12550132000.0,12550415000.0
Capital Stock,3123500000.0,3111737000.0,3108795000.0,3108795000.0
Common Stock,3123500000.0,3111737000.0,3108795000.0,3108795000.0
Total Liabilities Net Minority Interest,908449800000.0,849459075000.0,789386131000.0,773430440000.0
Long Term Debt And Capital Lease Obligation,15627200000.0,14641700000.0,17648800000.0,26501360000.0
Payables,3215558000.0,3762886000.0,2833860000.0,2466908000.0
Other Payable,2318391000.0,3079512000.0,2228554000.0,1881615000.0
Accounts Payable,897167000.0,683374000.0,605306000.0,585293000.0
Total Assets,990583400000.0,920399008000.0,855808576000.0,833134876000.0
Investments And Advances,233263700000.0,211903240000.0,216346854000.0,175453422000.0
Investmentin Financial Assets,233263700000.0,211903240000.0,216346854000.0,175453422000.0
Available For Sale Securities,74664000.0,1873225000.0,9307804000.0,6510925000.0
Long Term Equity Investment,0.0,0.0,0.0,0.0
Net PPE,8752200000.0,8182233000.0,8378573000.0,8264189000.0
Accumulated Depreciation,-6100373000.0,-5641321000.0,-4977515000.0,-4338883000.0
Gross PPE,14853976000.0,13823554000.0,13356088000.0,12603072000.0
Construction In Progress,291397000.0,131602000.0,,
Other Properties,7082565000.0,6934583000.0,6581553000.0,5837418000.0
Properties,7480014000.0,6757369000.0,6774535000.0,6765654000.0
Prepaid Assets,11071462000.0,13825875000.0,7665209000.0,7621440000.0
Receivables,6840850000.0,7275562000.0,7743539000.0,10378418000.0
Taxes Receivable,,0.0,,
Cash And Cash Equivalents,61594700000.0,44367585000.0,53155662000.0,29194906000.0
Cash Equivalents,0.0,0.0,0.0,0.0
Cash Financial,52042400000.0,6443993000.0,5019684000.0,5490446000.0
