,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,105578217.0,105532167.0,105045823.0,104511558.0
Share Issued,105578217.0,105532167.0,105045823.0,104511558.0
Total Debt,4542000000.0,4771000000.0,4805000000.0,4264000000.0
Tangible Book Value,43106000000.0,35195000000.0,28167000000.0,21540000000.0
Invested Capital,49509000000.0,41625000000.0,34731000000.0,27989000000.0
Working Capital,36271000000.0,29462000000.0,24044000000.0,18714000000.0
Net Tangible Assets,43106000000.0,35195000000.0,28167000000.0,21540000000.0
Capital Lease Obligations,4542000000.0,4771000000.0,4805000000.0,3961000000.0
Common Stock Equity,49509000000.0,41625000000.0,34731000000.0,27686000000.0
Total Capitalization,49509000000.0,41625000000.0,34731000000.0,27686000000.0
Total Equity Gross Minority Interest,49689000000.0,41762000000.0,34832000000.0,27755000000.0
Minority Interest,180000000.0,137000000.0,101000000.0,69000000.0
Stockholders Equity,49509000000.0,41625000000.0,34731000000.0,27686000000.0
Other Equity Interest,49298000000.0,187000000.0,297000000.0,354000000.0
Retained Earnings,36244000000.0,27713000000.0,21777000000.0,17344000000.0
Additional Paid In Capital,11462000000.0,11396000000.0,11229000000.0,11043000000.0
Capital Stock,211000000.0,211000000.0,210000000.0,209000000.0
Common Stock,211000000.0,211000000.0,210000000.0,209000000.0
Total Liabilities Net Minority Interest,19484000000.0,19148000000.0,15897000000.0,15278000000.0
Total Non Current Liabilities Net Minority Interest,4345000000.0,5359000000.0,4915000000.0,4890000000.0
Other Non Current Liabilities,,,,47000000.0
Derivative Product Liabilities,165000000.0,120000000.0,207000000.0,1575000000.0
Non Current Pension And Other Postretirement Benefit Plans,0.0,154000000.0,115000000.0,47000000.0
Tradeand Other Payables Non Current,,,,1575000000.0
Non Current Deferred Taxes Liabilities,397000000.0,809000000.0,578000000.0,0.0
Long Term Debt And Capital Lease Obligation,3731000000.0,4276000000.0,4015000000.0,3268000000.0
Long Term Capital Lease Obligation,3731000000.0,4276000000.0,4015000000.0,3268000000.0
Long Term Provisions,52000000.0,,,
Current Liabilities,15139000000.0,13789000000.0,10982000000.0,10388000000.0
Other Current Liabilities,2746000000.0,4937000000.0,2958000000.0,-740000000.0
Current Debt And Capital Lease Obligation,811000000.0,495000000.0,790000000.0,996000000.0
Current Capital Lease Obligation,811000000.0,495000000.0,790000000.0,693000000.0
Current Debt,,0.0,0.0,303000000.0
Pensionand Other Post Retirement Benefit Plans Current,4026000000.0,3526000000.0,2588000000.0,2382000000.0
Current Provisions,1313000000.0,1952000000.0,1584000000.0,1654000000.0
Payables,5670000000.0,6954000000.0,5332000000.0,4844000000.0
Other Payable,2339000000.0,4390000000.0,2507000000.0,2539000000.0
Dividends Payable,4000000.0,3000000.0,2000000.0,2000000.0
Total Tax Payable,1165000000.0,841000000.0,471000000.0,328000000.0
Accounts Payable,4505000000.0,1720000000.0,2352000000.0,1975000000.0
Total Assets,69173000000.0,60910000000.0,50729000000.0,43033000000.0
Total Non Current Assets,17763000000.0,17659000000.0,15703000000.0,13931000000.0
Other Non Current Assets,1821000000.0,1370000000.0,1049000000.0,310000000.0
Non Current Prepaid Assets,584000000.0,541000000.0,533000000.0,474000000.0
Non Current Deferred Taxes Assets,138000000.0,138000000.0,67000000.0,311000000.0
Financial Assets,481000000.0,1563000000.0,1149000000.0,370000000.0
Investmentin Financial Assets,2799000000.0,861000000.0,0.0,310000000.0
Available For Sale Securities,2799000000.0,861000000.0,1644000000.0,310000000.0
Goodwill And Other Intangible Assets,6403000000.0,6430000000.0,6564000000.0,6146000000.0
Other Intangible Assets,393000000.0,549000000.0,737000000.0,686000000.0
Goodwill,6010000000.0,5881000000.0,5827000000.0,5460000000.0
Net PPE,6602000000.0,6496000000.0,6379000000.0,5676000000.0
Accumulated Depreciation,-6459000000.0,-5055000000.0,-3820000000.0,-1774000000.0
Gross PPE,6602000000.0,11551000000.0,10199000000.0,7450000000.0
Construction In Progress,65000000.0,99000000.0,119000000.0,87000000.0
Other Properties,6537000000.0,7225000000.0,6424000000.0,4055000000.0
Machinery Furniture Equipment,4390000000.0,3695000000.0,3199000000.0,2900000000.0
Buildings And Improvements,578000000.0,532000000.0,457000000.0,408000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,51410000000.0,43251000000.0,35026000000.0,29102000000.0
Other Current Assets,3952000000.0,3068000000.0,3519000000.0,1000000.0
Hedging Assets Current,331000000.0,1048000000.0,792000000.0,271000000.0
Restricted Cash,4000000.0,3000000.0,2000000.0,2000000.0
Prepaid Assets,1482000000.0,1272000000.0,1116000000.0,1381000000.0
Other Receivables,3972000000.0,2970000000.0,2848000000.0,4358000000.0
Taxes Receivable,313000000.0,324000000.0,428000000.0,726000000.0
Accounts Receivable,17301000000.0,16977000000.0,12366000000.0,13816000000.0
Allowance For Doubtful Accounts Receivable,-290000000.0,-200000000.0,-128000000.0,-235000000.0
Gross Accounts Receivable,17615000000.0,17177000000.0,12494000000.0,14051000000.0
Cash Cash Equivalents And Short Term Investments,30157000000.0,20657000000.0,17474000000.0,8547000000.0
Other Short Term Investments,24811000000.0,18310000000.0,15723000000.0,6368000000.0
Cash And Cash Equivalents,5346000000.0,2347000000.0,1751000000.0,2179000000.0
Cash Equivalents,2311000000.0,518000000.0,191000000.0,
Cash Financial,3035000000.0,1829000000.0,1560000000.0,2179000000.0
