,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,153655100.0,-10802400.0,-5555000.0
Tax Rate For Calcs,0.285697,0.2663,0.2572,0.2525
Normalized EBITDA,19187000000.0,15096000000.0,11653000000.0,13218000000.0
Total Unusual Items,-262000000.0,577000000.0,-42000000.0,-22000000.0
Total Unusual Items Excluding Goodwill,-262000000.0,577000000.0,-42000000.0,-22000000.0
Net Income From Continuing Operation Net Minority Interest,11698000000.0,9570000000.0,6633000000.0,8186000000.0
Reconciled Depreciation,2315000000.0,2144000000.0,2183000000.0,1829000000.0
Reconciled Cost Of Revenue,45639000000.0,37743000000.0,34427000000.0,33564000000.0
EBITDA,19187000000.0,15673000000.0,11611000000.0,13196000000.0
EBIT,16872000000.0,13529000000.0,9428000000.0,11367000000.0
Net Interest Income,-435000000.0,55000000.0,-300000000.0,-192000000.0
Interest Expense,435000000.0,437000000.0,455000000.0,365000000.0
Interest Income,876000000.0,492000000.0,155000000.0,173000000.0
Normalized Income,11698000000.0,9146655100.0,6664197600.0,8202445000.0
Net Income From Continuing And Discontinued Operation,11698000000.0,9570000000.0,6633000000.0,8186000000.0
Total Expenses,65344000000.0,53949000000.0,45793000000.0,45983000000.0
Rent Expense Supplemental,287000000.0,183000000.0,208000000.0,205000000.0
Diluted Average Shares,105879629.0,105477640.0,105449528.0,105354749.0
Basic Average Shares,105571928.0,105265550.0,104760275.0,104198134.0
Diluted EPS,110.48,90.74,62.9,77.7
Basic EPS,110.8,90.92,63.32,78.56
Diluted NI Availto Com Stockholders,11698000000.0,9570000000.0,6633000000.0,8186000000.0
Net Income Common Stockholders,11698000000.0,9570000000.0,6633000000.0,8186000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,11698000000.0,9570000000.0,6633000000.0,8186000000.0
Minority Interests,-43000000.0,-36000000.0,-32000000.0,-38000000.0
Net Income Including Noncontrolling Interests,11741000000.0,9606000000.0,6665000000.0,8224000000.0
Net Income Continuous Operations,11741000000.0,9606000000.0,6665000000.0,8224000000.0
Tax Provision,4696000000.0,3486000000.0,2308000000.0,2778000000.0
Pretax Income,16437000000.0,13092000000.0,8973000000.0,11002000000.0
Other Non Operating Income Expenses,2080000000.0,148000000.0,75000000.0,78000000.0
Special Income Charges,-194000000.0,-58000000.0,-230000000.0,-1000000.0
Other Special Charges,2000000.0,-5000000.0,-35000000.0,
Write Off,192000000.0,63000000.0,265000000.0,1000000.0
Restructuring And Mergern Acquisition,,,,0.0
Net Non Operating Interest Income Expense,-435000000.0,55000000.0,-300000000.0,-192000000.0
Interest Expense Non Operating,435000000.0,437000000.0,455000000.0,365000000.0
Interest Income Non Operating,876000000.0,492000000.0,155000000.0,173000000.0
Operating Income,14792000000.0,11748000000.0,8704000000.0,10208000000.0
Operating Expense,19705000000.0,16206000000.0,11366000000.0,12419000000.0
Other Operating Expenses,17390000000.0,6806000000.0,4760000000.0,6641000000.0
Depreciation And Amortization In Income Statement,2315000000.0,2144000000.0,2183000000.0,1829000000.0
Depreciation Income Statement,2315000000.0,2144000000.0,2183000000.0,1829000000.0
Selling General And Administration,6850000000.0,5855000000.0,3974000000.0,3886000000.0
Selling And Marketing Expense,282000000.0,203000000.0,150000000.0,270000000.0
General And Administrative Expense,6568000000.0,5652000000.0,3824000000.0,3616000000.0
Rent And Landing Fees,287000000.0,183000000.0,208000000.0,205000000.0
Gross Profit,34497000000.0,27954000000.0,20070000000.0,22627000000.0
Cost Of Revenue,45639000000.0,37743000000.0,34427000000.0,33564000000.0
Total Revenue,80136000000.0,65697000000.0,54497000000.0,56191000000.0
Operating Revenue,80136000000.0,65697000000.0,54497000000.0,56191000000.0
