,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,1243528831.0,1112130815.0,1243192544.0,1243192544.0
Share Issued,1243528831.0,1112130815.0,1243192544.0,1243192544.0
Net Debt,852736000000.0,711795900000.0,745837800000.0,750484300000.0
Total Debt,922468500000.0,776052100000.0,806248300000.0,825670100000.0
Tangible Book Value,468312200000.0,393397000000.0,344189200000.0,303924900000.0
Invested Capital,1451328000000.0,1217898200000.0,1195402900000.0,1197627700000.0
Working Capital,207460300000.0,188596700000.0,206919000000.0,100359100000.0
Net Tangible Assets,468312200000.0,393397000000.0,344189200000.0,303924900000.0
Capital Lease Obligations,34798400000.0,29380300000.0,26664600000.0,27735500000.0
Common Stock Equity,563657900000.0,471226400000.0,415819200000.0,399693100000.0
Total Capitalization,1113931800000.0,957477000000.0,943602900000.0,899685400000.0
Total Equity Gross Minority Interest,670821100000.0,568252600000.0,506522300000.0,476610500000.0
Minority Interest,107163200000.0,97026200000.0,90703100000.0,76917400000.0
Stockholders Equity,563657900000.0,471226400000.0,415819200000.0,399693100000.0
Other Equity Interest,558089700000.0,2234600000.0,2548800000.0,2649600000.0
Retained Earnings,481876100000.0,391742100000.0,336679600000.0,309080500000.0
Additional Paid In Capital,27454800000.0,26494600000.0,25351100000.0,24087100000.0
Capital Stock,5568200000.0,5560600000.0,5551500000.0,5542800000.0
Common Stock,5568200000.0,5560600000.0,5551500000.0,5542800000.0
Total Liabilities Net Minority Interest,1388096600000.0,1172875400000.0,1158102600000.0,1193456100000.0
Total Non Current Liabilities Net Minority Interest,682302500000.0,609992100000.0,643642500000.0,653360900000.0
Other Non Current Liabilities,55252800000.0,100000.0,47660000000.0,
Preferred Securities Outside Stock Equity,4000000000.0,,,
Derivative Product Liabilities,1313400000.0,1435300000.0,6764400000.0,6983600000.0
Non Current Accrued Expenses,2209100000.0,3372900000.0,4206300000.0,6265900000.0
Tradeand Other Payables Non Current,400000.0,15500000.0,14400000.0,102500000.0
Non Current Deferred Revenue,55252800000.0,52499200000.0,47660000000.0,53503700000.0
Non Current Deferred Taxes Liabilities,16086400000.0,17861000000.0,14941600000.0,15118900000.0
Long Term Debt And Capital Lease Obligation,579098900000.0,510576100000.0,549065600000.0,522980500000.0
Long Term Capital Lease Obligation,28825000000.0,24325500000.0,21281900000.0,22988200000.0
Long Term Debt,550273900000.0,486250600000.0,527783700000.0,499992300000.0
Long Term Provisions,18159500000.0,14979900000.0,16008800000.0,43841300000.0
Current Liabilities,705794100000.0,562883300000.0,514460100000.0,540095200000.0
Other Current Liabilities,61763800000.0,3922100000.0,3371800000.0,2791200000.0
Current Debt And Capital Lease Obligation,343369600000.0,265476000000.0,257182700000.0,302689600000.0
Current Capital Lease Obligation,5973400000.0,5054800000.0,5382700000.0,4747300000.0
Current Debt,337396200000.0,260421200000.0,251800000000.0,297942300000.0
Current Provisions,11894800000.0,9681900000.0,10743400000.0,17515400000.0
Payables,244516500000.0,235455300000.0,197733700000.0,175920800000.0
Other Payable,47928500000.0,40998000000.0,38103300000.0,22858700000.0
Dividends Payable,171800000.0,171600000.0,184300000.0,198700000.0
Total Tax Payable,6159900000.0,3920200000.0,4388200000.0,3009900000.0
Accounts Payable,238356600000.0,190365500000.0,155057900000.0,149853500000.0
Total Assets,2058917700000.0,1741128000000.0,1664624900000.0,1670066600000.0
Total Non Current Assets,1145663300000.0,989648000000.0,943245800000.0,1029612300000.0
Other Non Current Assets,26236100000.0,4779900000.0,3552800000.0,3492800000.0
Non Current Prepaid Assets,17770000000.0,14029700000.0,14124600000.0,16652000000.0
Non Current Deferred Assets,7098800000.0,6703600000.0,6538000000.0,6651600000.0
Non Current Deferred Taxes Assets,16154600000.0,17243100000.0,17173200000.0,12905300000.0
Financial Assets,282000000.0,260100000.0,1728200000.0,1907200000.0
Investmentin Financial Assets,99799000000.0,71683600000.0,68774300000.0,21949800000.0
Held To Maturity Securities,288500000.0,366600000.0,,
Available For Sale Securities,99799000000.0,70166500000.0,67594300000.0,20642500000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,3451400000.0,1150500000.0,1180000000.0,1307300000.0
Long Term Equity Investment,143805700000.0,131497000000.0,122562200000.0,112294000000.0
Investmentsin Joint Venturesat Cost,32894200000.0,18845100000.0,,
Investmentsin Associatesat Cost,112020500000.0,112651900000.0,,
Goodwill And Other Intangible Assets,95345700000.0,77829400000.0,71630000000.0,95768200000.0
Other Intangible Assets,69856700000.0,64425400000.0,58581000000.0,80645100000.0
Goodwill,25489000000.0,13404000000.0,13049000000.0,15123100000.0
Net PPE,215739900000.0,249383600000.0,220892200000.0,269689300000.0
Accumulated Depreciation,-200291900000.0,-186203000000.0,-171881900000.0,-332017900000.0
Gross PPE,215739900000.0,435586600000.0,392774100000.0,601707200000.0
Construction In Progress,12226600000.0,30361000000.0,44776400000.0,25517500000.0
Other Properties,203513300000.0,3368700000.0,3166900000.0,3095800000.0
Machinery Furniture Equipment,271564200000.0,285261800000.0,242892100000.0,408417500000.0
Buildings And Improvements,108616000000.0,97280600000.0,84818400000.0,119563300000.0
Land And Improvements,19771200000.0,19314500000.0,17120300000.0,45113100000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,913254400000.0,751480000000.0,721379100000.0,640454300000.0
Other Current Assets,52099900000.0,13321800000.0,9371500000.0,11646600000.0
Hedging Assets Current,209300000.0,3359500000.0,579500000.0,379400000.0
Assets Held For Sale Current,566000000.0,,0.0,965000000.0
Current Deferred Assets,573900000.0,530600000.0,500100000.0,483100000.0
Restricted Cash,665900000.0,638500000.0,931900000.0,776900000.0
Prepaid Assets,32994600000.0,24968000000.0,20844900000.0,14110700000.0
Inventory,168549700000.0,115958200000.0,96154100000.0,111118600000.0
Finished Goods,65150500000.0,46689000000.0,38027800000.0,48225500000.0
Work In Process,26736400000.0,21562300000.0,22171100000.0,21922600000.0
Raw Materials,76662800000.0,47706900000.0,35955200000.0,40970500000.0
Other Receivables,346848100000.0,302038200000.0,298596400000.0,284176000000.0
Accounts Receivable,70280200000.0,63739500000.0,60077600000.0,69282800000.0
Allowance For Doubtful Accounts Receivable,-3485000000.0,-4007300000.0,-4067800000.0,-3633400000.0
Gross Accounts Receivable,73765200000.0,67746800000.0,64145400000.0,72916200000.0
Cash Cash Equivalents And Short Term Investments,274910500000.0,226925700000.0,234323100000.0,147515200000.0
Other Short Term Investments,239976400000.0,192049800000.0,200577200000.0,100064900000.0
Cash And Cash Equivalents,34934100000.0,34875900000.0,33745900000.0,47450300000.0
Cash Equivalents,13905700000.0,12905800000.0,7588800000.0,12787700000.0
Cash Financial,21028400000.0,21970100000.0,26157100000.0,34662600000.0
