,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,-133785900000.0,32077500000.0,119193400000.0,-83469500000.0
Repayment Of Debt,-375722900000.0,-572229900000.0,-357720900000.0,-438385200000.0
Issuance Of Debt,556224100000.0,538799400000.0,381003700000.0,526175900000.0
Issuance Of Capital Stock,4005300000.0,9200000.0,5800000.0,12430400000.0
Capital Expenditure,-63045700000.0,-60398000000.0,-59894900000.0,-68960200000.0
End Cash Position,34934100000.0,34875900000.0,33745900000.0,47450300000.0
Other Cash Adjustment Outside Changein Cash,-3528700000.0,-133600000.0,-12527900000.0,
Beginning Cash Position,34875900000.0,33745900000.0,47450300000.0,61390000000.0
Effect Of Exchange Rate Changes,338600000.0,-127700000.0,140500000.0,250400000.0
Changes In Cash,3248300000.0,1391300000.0,-1317000000.0,-14190100000.0
Financing Cash Flow,159461100000.0,-58826000000.0,4062300000.0,69327500000.0
Net Other Financing Charges,-139400000.0,-2402800000.0,14439100000.0,-3035700000.0
Interest Paid Cff,-7344000000.0,-6795000000.0,-8092300000.0,-7596300000.0
Cash Dividends Paid,-12847500000.0,-9804400000.0,-2643300000.0,-11350900000.0
Common Stock Dividend Paid,,,,-11350900000.0
Net Preferred Stock Issuance,4000000000.0,,,
Preferred Stock Issuance,4000000000.0,,,
Net Common Stock Issuance,5300000.0,9200000.0,5800000.0,12430400000.0
Common Stock Issuance,5300000.0,9200000.0,5800000.0,12430400000.0
Net Issuance Payments Of Debt,185668300000.0,-33430500000.0,5949900000.0,81509300000.0
Net Short Term Debt Issuance,5167100000.0,-2852100000.0,-17332900000.0,-6281400000.0
Net Long Term Debt Issuance,180501200000.0,-33430500000.0,23282800000.0,87790700000.0
Long Term Debt Payments,-375722900000.0,-572229900000.0,-357720900000.0,-438385200000.0
Long Term Debt Issuance,556224100000.0,538799400000.0,381003700000.0,526175900000.0
Investing Cash Flow,-85472600000.0,-32258200000.0,-184467600000.0,-69008300000.0
Net Other Investing Changes,708900000.0,1753900000.0,8700000.0,-1505300000.0
Interest Received Cfi,4636700000.0,4195700000.0,4311100000.0,3723800000.0
Dividends Received Cfi,13966900000.0,12470300000.0,5765700000.0,7220400000.0
Net Investment Purchase And Sale,-54332200000.0,10507400000.0,-145248200000.0,-11944900000.0
Sale Of Investment,570242500000.0,962593600000.0,1525167000000.0,2007149900000.0
Purchase Of Investment,-624574700000.0,-952086200000.0,-1670415200000.0,-2019094800000.0
Net Business Purchase And Sale,12145800000.0,3530900000.0,-432500000.0,1438900000.0
Sale Of Business,18632100000.0,6173000000.0,3158800000.0,5621600000.0
Purchase Of Business,-6486300000.0,-2642100000.0,-3591300000.0,-4182700000.0
Net PPE Purchase And Sale,-61667900000.0,-59198600000.0,-46253400000.0,-67941200000.0
Sale Of PPE,1377800000.0,1199400000.0,13641500000.0,1019000000.0
Purchase Of PPE,-63045700000.0,-60398000000.0,-59894900000.0,-68960200000.0
Capital Expenditure Reported,,,,-68960200000.0
Operating Cash Flow,-70740200000.0,92475500000.0,179088300000.0,-14509300000.0
Taxes Refund Paid,-27748700000.0,-15604200000.0,-18500800000.0,-22566000000.0
Change In Working Capital,-199410400000.0,2932600000.0,121711900000.0,-69684500000.0
Change In Other Current Assets,,,,-39247300000.0
Change In Payable,70126000000.0,49723700000.0,70493400000.0,-67750900000.0
Change In Inventory,-52519600000.0,-21729900000.0,2257400000.0,13163600000.0
Change In Receivables,-217016800000.0,-25061200000.0,48961100000.0,-15097200000.0
Other Non Cash Items,7500700000.0,6103800000.0,8106300000.0,7153300000.0
Stock Based Compensation,1397500000.0,1052500000.0,1328400000.0,1744700000.0
Depreciation And Amortization,43568100000.0,35026600000.0,43988900000.0,49762900000.0
Amortization Cash Flow,13232600000.0,9678200000.0,,
Depreciation,43568100000.0,25348400000.0,43988900000.0,49762900000.0
Gain Loss On Investment Securities,-9547400000.0,-7740300000.0,-8467800000.0,-8268700000.0
Net Foreign Currency Exchange Gain Loss,596200000.0,-653100000.0,633500000.0,2029400000.0
Gain Loss On Sale Of PPE,-148900000.0,391100000.0,-110100000.0,-539600000.0
Net Income From Continuing Operations,113052700000.0,70918100000.0,30398000000.0,25859200000.0
