,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,38744548.0,56083045.0,68828399.0
Tax Rate For Calcs,0.257693,0.2531,0.2605,0.2477
Normalized EBITDA,15600870000.0,10868180000.0,7692580000.0,5968490000.0
Total Unusual Items,-296550000.0,153080000.0,215290000.0,277870000.0
Total Unusual Items Excluding Goodwill,-296550000.0,153080000.0,215290000.0,277870000.0
Net Income From Continuing Operation Net Minority Interest,9210930000.0,6903860000.0,4506770000.0,3402890000.0
Reconciled Depreciation,2718950000.0,1660120000.0,1755500000.0,1659620000.0
Reconciled Cost Of Revenue,49695650000.0,33319330000.0,25001010000.0,21566390000.0
EBITDA,15600870000.0,11021260000.0,7907870000.0,6246360000.0
EBIT,12881920000.0,9361140000.0,6152370000.0,4586740000.0
Net Interest Income,-473400000.0,481870000.0,500760000.0,481960000.0
Interest Expense,473400000.0,118350000.0,57940000.0,63320000.0
Interest Income,512630000.0,600220000.0,558700000.0,545280000.0
Normalized Income,9210930000.0,6789524548.0,4347563045.0,3193848399.0
Net Income From Continuing And Discontinued Operation,9210930000.0,6903860000.0,4506770000.0,3402890000.0
Total Expenses,71330170000.0,48906200000.0,36629650000.0,32382200000.0
Rent Expense Supplemental,147450000.0,101880000.0,140890000.0,135250000.0
Diluted Average Shares,76425000.0,76425000.0,76425000.0,76684672.0
Basic Average Shares,74443693.0,76425000.0,76425000.0,76684672.0
Diluted EPS,120.52,90.34,58.97,44.38
Basic EPS,123.73,90.34,58.97,44.38
Diluted NI Availto Com Stockholders,9210930000.0,6903860000.0,4506770000.0,3402890000.0
Net Income Common Stockholders,9210930000.0,6903860000.0,4506770000.0,3402890000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,9210930000.0,6903860000.0,4506770000.0,3402890000.0
Net Income Including Noncontrolling Interests,9210930000.0,6903860000.0,4506770000.0,3402890000.0
Net Income Continuous Operations,9210930000.0,6903860000.0,4506770000.0,3402890000.0
Tax Provision,3197590000.0,2338930000.0,1587660000.0,1120530000.0
Pretax Income,12408520000.0,9242790000.0,6094430000.0,4523420000.0
Other Non Operating Income Expenses,706170000.0,137170000.0,95340000.0,109380000.0
Special Income Charges,-296550000.0,-201220000.0,-131450000.0,-5960000.0
Other Special Charges,-1690000.0,-12450000.0,-1340000.0,5960000.0
Write Off,82330000.0,213670000.0,132790000.0,0.0
Net Non Operating Interest Income Expense,-473400000.0,481870000.0,500760000.0,481960000.0
Interest Expense Non Operating,473400000.0,118350000.0,57940000.0,63320000.0
Interest Income Non Operating,512630000.0,600220000.0,558700000.0,545280000.0
Operating Income,12175750000.0,8201260000.0,5249230000.0,3275880000.0
Operating Expense,21634520000.0,15586870000.0,11628640000.0,10815810000.0
Other Operating Expenses,8489560000.0,1223140000.0,1018910000.0,2243700000.0
Depreciation And Amortization In Income Statement,2718950000.0,1660120000.0,1755500000.0,1659620000.0
Amortization,1225940000.0,651500000.0,1035380000.0,944940000.0
Depreciation Income Statement,2718950000.0,1008620000.0,720120000.0,714680000.0
Selling General And Administration,10426010000.0,9042000000.0,6392850000.0,4794030000.0
Selling And Marketing Expense,217160000.0,90560000.0,150440000.0,198860000.0
General And Administrative Expense,10426010000.0,8951440000.0,6242410000.0,4595170000.0
Rent And Landing Fees,147450000.0,101880000.0,140890000.0,135250000.0
Gross Profit,33810270000.0,23788130000.0,16877870000.0,14091690000.0
Cost Of Revenue,49695650000.0,33319330000.0,25001010000.0,21566390000.0
Total Revenue,83505920000.0,57107460000.0,41878880000.0,35658080000.0
Operating Revenue,83505920000.0,57107460000.0,41878880000.0,35658080000.0
