,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,6777786447.0,6777786447.0,4052667964.0,701053096.0
Share Issued,6777786447.0,6777786447.0,4052667964.0,701053096.0
Net Debt,27216600000.0,,,
Total Debt,90183800000.0,24436325000.0,26435500000.0,27720500000.0
Tangible Book Value,151085100000.0,140105893000.0,83630141000.0,55963974000.0
Invested Capital,241268900000.0,164542218000.0,110065641000.0,83684474000.0
Net Tangible Assets,151085100000.0,140105893000.0,83630141000.0,55963974000.0
Common Stock Equity,151085100000.0,140105893000.0,83630141000.0,55963974000.0
Total Capitalization,241268900000.0,164542218000.0,110065641000.0,83684474000.0
Total Equity Gross Minority Interest,151085100000.0,140105893000.0,83630141000.0,55963974000.0
Stockholders Equity,151085100000.0,140105893000.0,83630141000.0,55963974000.0
Fixed Assets Revaluation Reserve,9122246000.0,9199014000.0,9184403000.0,9241274000.0
Retained Earnings,13563689000.0,6260282000.0,-35775467000.0,-7492325000.0
Additional Paid In Capital,31319785000.0,31319785000.0,48351091000.0,26872069000.0
Capital Stock,67777900000.0,67777864000.0,40526680000.0,7010531000.0
Common Stock,67777900000.0,67777864000.0,40526680000.0,7010531000.0
Preferred Stock,,,0.0,0.0
Total Liabilities Net Minority Interest,1213460100000.0,1070569571000.0,1021188712000.0,949074096000.0
Long Term Debt And Capital Lease Obligation,90183800000.0,24436325000.0,26435500000.0,27720500000.0
Payables,11417577000.0,9557443000.0,9541745000.0,10570417000.0
Other Payable,3303704000.0,2680828000.0,2179547000.0,1814011000.0
Accounts Payable,8113873000.0,6876615000.0,7362198000.0,8756406000.0
Total Assets,1364545200000.0,1210675464000.0,1104818853000.0,1005038070000.0
Investments And Advances,448384200000.0,417702139000.0,320227734000.0,245520958000.0
Investmentin Financial Assets,448384200000.0,417702139000.0,320227734000.0,245520958000.0
Available For Sale Securities,3709115000.0,3265117000.0,20018138000.0,446192000.0
Trading Securities,372557000.0,282367000.0,123141000.0,40934000.0
Long Term Equity Investment,0.0,0.0,0.0,0.0
Net PPE,15194200000.0,15774435000.0,15849119000.0,12408273000.0
Accumulated Depreciation,-7601095000.0,-6314951000.0,-5141352000.0,-4219333000.0
Gross PPE,22795323000.0,22089386000.0,20990471000.0,16627606000.0
Other Properties,9305979000.0,8599682000.0,7450086000.0,5743433000.0
Properties,13489344000.0,13489704000.0,13540385000.0,10884173000.0
Prepaid Assets,5415089000.0,4603797000.0,3918463000.0,1682683000.0
Receivables,16528163000.0,12359203000.0,9787198000.0,9818786000.0
Cash And Cash Equivalents,62967200000.0,90474542000.0,116574984000.0,125557844000.0
Cash Equivalents,0.0,0.0,0.0,0.0
Cash Financial,62254000000.0,2798992000.0,2475204000.0,3042599000.0
