,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,-112755800000.0,61781100000.0,74524734000.0,-53993799000.0
Issuance Of Capital Stock,7100000.0,190789000.0,15741063000.0,27542083000.0
Capital Expenditure,-2443300000.0,-2707996000.0,-1789706000.0,-2268229000.0
End Cash Position,85220400000.0,175521536000.0,114765743000.0,82259778000.0
Beginning Cash Position,175521500000.0,114765743000.0,82259778000.0,59234820000.0
Changes In Cash,-90301100000.0,60755793000.0,32505965000.0,23024958000.0
Financing Cash Flow,22346900000.0,-1093026000.0,-42066668000.0,76978454000.0
Cash Dividends Paid,,,,-2312100000.0
Common Stock Dividend Paid,,,,-2312100000.0
Net Common Stock Issuance,7100000.0,190789000.0,15741063000.0,27542083000.0
Common Stock Issuance,7100000.0,190789000.0,15741063000.0,27542083000.0
Net Issuance Payments Of Debt,22339800000.0,-1283815000.0,-57807731000.0,51748471000.0
Net Long Term Debt Issuance,22339800000.0,-1283815000.0,-57807731000.0,51748471000.0
Investing Cash Flow,-2335500000.0,-2640277000.0,-1741807000.0,-2227926000.0
Net PPE Purchase And Sale,-2335500000.0,-2640277000.0,-1741807000.0,-2227926000.0
Sale Of PPE,107800000.0,67719000.0,47899000.0,40303000.0
Purchase Of PPE,-2443300000.0,-2707996000.0,-1789706000.0,-2268229000.0
Operating Cash Flow,-110312500000.0,64489096000.0,76314440000.0,-51725570000.0
Taxes Refund Paid,-2329900000.0,-1638808000.0,-3554447000.0,-3289080000.0
Change In Working Capital,-136705700000.0,34195774000.0,47039823000.0,-77426835000.0
Change In Other Current Liabilities,7553300000.0,-4496768000.0,362781000.0,7761264000.0
Change In Other Current Assets,-19811600000.0,-7224348000.0,-12277793000.0,-12104488000.0
Stock Based Compensation,668200000.0,99237000.0,2183000.0,2999000.0
Provisionand Write Offof Assets,13023800000.0,31647443000.0,23846065000.0,20124735000.0
Depreciation And Amortization,2130900000.0,1801621000.0,1696089000.0,1458692000.0
Depreciation,2130900000.0,1801621000.0,1696089000.0,1458692000.0
Gain Loss On Investment Securities,-71000000.0,-56158000.0,,
Net Foreign Currency Exchange Gain Loss,81000000.0,17485000.0,-24569000.0,66797000.0
Gain Loss On Sale Of PPE,3800000.0,3011000.0,17648000.0,-142000.0
Net Income From Continuing Operations,12211500000.0,-2065010000.0,7120303000.0,7473473000.0
