,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,134400357.0,135745523.0,136036450.0,145971699.0
Share Issued,134400357.0,135745523.0,136036450.0,145971699.0
Total Debt,825855000.0,535296000.0,43491000.0,53871305.0
Tangible Book Value,12229058000.0,11004106000.0,6633440000.0,4720396139.0
Invested Capital,15174935000.0,13540437000.0,8931022000.0,7017344699.0
Working Capital,9161602000.0,8937849000.0,5624092000.0,2947769507.0
Net Tangible Assets,12229058000.0,11004106000.0,6633440000.0,4720396139.0
Capital Lease Obligations,825855000.0,535296000.0,43491000.0,53871305.0
Common Stock Equity,15174935000.0,13540437000.0,8931022000.0,7017344699.0
Total Capitalization,15174935000.0,13540437000.0,8931022000.0,7017344699.0
Total Equity Gross Minority Interest,15174935000.0,13540437000.0,8931022000.0,7017344699.0
Stockholders Equity,15174935000.0,13540437000.0,8931022000.0,7017344699.0
Other Equity Interest,15040535000.0,90685000.0,20157000.0,107098579.0
Retained Earnings,11909767000.0,8519245000.0,3261785000.0,-163801571.0
Additional Paid In Capital,2172042000.0,4296175000.0,5083248000.0,6444716429.0
Capital Stock,134400000.0,135746000.0,136036000.0,145971699.0
Common Stock,134400000.0,135746000.0,136036000.0,145971699.0
Total Liabilities Net Minority Interest,8950897000.0,10405794000.0,7195053000.0,4979578301.0
Total Non Current Liabilities Net Minority Interest,764017000.0,526338000.0,121456000.0,153136269.0
Other Non Current Liabilities,6185000.0,4685000.0,21956000.0,42870438.0
Non Current Pension And Other Postretirement Benefit Plans,17977000.0,70581000.0,60098000.0,
Long Term Debt And Capital Lease Obligation,731779000.0,446780000.0,34867000.0,43491015.0
Long Term Capital Lease Obligation,731779000.0,446780000.0,34867000.0,43491015.0
Long Term Debt,,,,0.0
Long Term Provisions,17977000.0,70581000.0,60098000.0,64480204.0
Current Liabilities,8186880000.0,9879456000.0,7073597000.0,4826442032.0
Other Current Liabilities,203350000.0,271729000.0,57453000.0,290760062.0
Current Deferred Taxes Liabilities,47820000.0,280038000.0,17059000.0,112547030.0
Current Debt And Capital Lease Obligation,94076000.0,88516000.0,8624000.0,10380290.0
Current Capital Lease Obligation,94076000.0,88516000.0,8624000.0,10380290.0
Current Debt,,,,0.0
Pensionand Other Post Retirement Benefit Plans Current,12902000.0,10913000.0,9641000.0,
Current Provisions,12902000.0,10913000.0,9641000.0,1550653386.0
Payables,5433671000.0,9118814000.0,6752921000.0,2862101264.0
Other Payable,2127594000.0,2333808000.0,1690939000.0,56075105.0
Total Tax Payable,47820000.0,280038000.0,17059000.0,
Accounts Payable,5385851000.0,6785006000.0,5061982000.0,2806026159.0
Total Assets,24125832000.0,23946231000.0,16126075000.0,11996923000.0
Total Non Current Assets,6777350000.0,5128926000.0,3428386000.0,4222711461.0
Other Non Current Assets,786035000.0,2000.0,1000.0,-2.0
Non Current Prepaid Assets,934489000.0,550751000.0,356691000.0,929288228.0
Non Current Deferred Taxes Assets,362746000.0,395421000.0,428437000.0,567423669.0
Investmentin Financial Assets,149049000.0,600000000.0,1216000.0,
Available For Sale Securities,149049000.0,600000000.0,1216000.0,
Long Term Equity Investment,,,,0.0
Investmentsin Associatesat Cost,,,,0.0
Goodwill And Other Intangible Assets,2945877000.0,2536331000.0,2297582000.0,2296948560.0
Other Intangible Assets,1600308000.0,1190762000.0,952013000.0,951379452.0
Goodwill,1345569000.0,1345569000.0,1345569000.0,1345569108.0
Net PPE,2533643000.0,1046421000.0,335235000.0,409574035.0
Accumulated Depreciation,-5151629000.0,-5042349000.0,-4979560000.0,-4973816786.0
Gross PPE,2533643000.0,6088770000.0,5314795000.0,5383390821.0
Construction In Progress,78292000.0,133521000.0,,
Other Properties,2455351000.0,4662615000.0,4215057000.0,4226975796.0
Machinery Furniture Equipment,1830639200.0,1090274000.0,900713000.0,966026134.0
Buildings And Improvements,738764000.0,125790000.0,122455000.0,113818741.0
Land And Improvements,76570000.0,76570000.0,76570000.0,76570150.0
Properties,0.0,0.0,0.0,0.0
Current Assets,17348482000.0,18817305000.0,12697689000.0,7774211539.0
Other Current Assets,329836000.0,640374000.0,523346000.0,
Restricted Cash,276997000.0,201210000.0,293589000.0,291349094.0
Prepaid Assets,74175000.0,416136000.0,441133000.0,324540030.0
Other Receivables,4424907000.0,4007768000.0,2642452000.0,2096086580.0
Taxes Receivable,33632000.0,167404000.0,41221000.0,90144002.0
Accounts Receivable,5700088000.0,5603302000.0,3731468000.0,3257693638.0
Allowance For Doubtful Accounts Receivable,-149318000.0,-99846000.0,-103671000.0,-143509784.0
Gross Accounts Receivable,5849406000.0,5703148000.0,3835139000.0,3401203422.0
Cash Cash Equivalents And Short Term Investments,11318558000.0,8421485000.0,5547826000.0,1714398195.0
Other Short Term Investments,5661164000.0,4152144000.0,176729000.0,
Cash And Cash Equivalents,5657394000.0,8421485000.0,5371097000.0,1714398195.0
Cash Equivalents,3507347000.0,4617350000.0,2785672000.0,1462792783.0
Cash Financial,2150047000.0,3804135000.0,2585425000.0,251605412.0
