,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,9332800000.0,12424700000.0,14456900000.0,9226500000.0
Repayment Of Debt,-563200000.0,,,
Capital Expenditure,-859900000.0,-2733400000.0,-2106800000.0,-1595800000.0
End Cash Position,1775300000.0,9771100000.0,17731800000.0,8893400000.0
Other Cash Adjustment Outside Changein Cash,29200000.0,9000000.0,212800000.0,
Beginning Cash Position,3274000000.0,17731800000.0,8893400000.0,7374800000.0
Effect Of Exchange Rate Changes,-87100000.0,38300000.0,406300000.0,507300000.0
Changes In Cash,-1498700000.0,-8008000000.0,8219300000.0,1011300000.0
Financing Cash Flow,-5678000000.0,-9947700000.0,-4260300000.0,-3083300000.0
Net Other Financing Charges,,134200000.0,90700000.0,
Interest Paid Cff,-197100000.0,-625100000.0,-654100000.0,-702600000.0
Cash Dividends Paid,-5575400000.0,-3981900000.0,-2672900000.0,-2216200000.0
Common Stock Dividend Paid,-5734200000.0,-3981900000.0,-2672900000.0,-2216200000.0
Net Issuance Payments Of Debt,395000000.0,-4947100000.0,-573400000.0,321100000.0
Net Short Term Debt Issuance,395000000.0,-17100000.0,118200000.0,502500000.0
Net Long Term Debt Issuance,-563200000.0,-4930000000.0,-691600000.0,-181400000.0
Long Term Debt Payments,-563200000.0,,,
Investing Cash Flow,-6013400000.0,-13218400000.0,-4084100000.0,-6727700000.0
Net Other Investing Changes,8000000.0,24200000.0,38100000.0,31400000.0
Interest Received Cfi,811100000.0,752100000.0,679600000.0,511300000.0
Dividends Received Cfi,513200000.0,128400000.0,51000000.0,53100000.0
Net Investment Purchase And Sale,-5405100000.0,686700000.0,-89700000.0,-5904200000.0
Sale Of Investment,12128000000.0,1364700000.0,5234100000.0,652700000.0
Purchase Of Investment,-17533100000.0,-678000000.0,-5323800000.0,-6556900000.0
Net Business Purchase And Sale,-2403900000.0,-7361500000.0,-2241300000.0,-1236300000.0
Sale Of Business,93300000.0,113000000.0,569900000.0,303800000.0
Purchase Of Business,-2403900000.0,-7474500000.0,-2811200000.0,-1540100000.0
Net PPE Purchase And Sale,-823700000.0,-2460800000.0,-1791800000.0,-1507600000.0
Sale Of PPE,36200000.0,272600000.0,315000000.0,88200000.0
Purchase Of PPE,-859900000.0,-2733400000.0,-2106800000.0,-1595800000.0
Capital Expenditure Reported,,,,-1595800000.0
Operating Cash Flow,10192700000.0,15158100000.0,16563700000.0,10822300000.0
Taxes Refund Paid,-2457200000.0,-2352700000.0,-1064300000.0,-1283800000.0
Change In Working Capital,-614700000.0,22700000.0,1834300000.0,-820200000.0
Change In Payable,2164500000.0,1519600000.0,5307400000.0,138200000.0
Change In Inventory,-1286600000.0,-9100000.0,-5334500000.0,814600000.0
Change In Receivables,-1492600000.0,-1487800000.0,1861400000.0,-1773000000.0
Other Non Cash Items,-611500000.0,370300000.0,-278700000.0,751400000.0
Stock Based Compensation,36600000.0,,,
Depreciation And Amortization,1459000000.0,2780100000.0,2547400000.0,2417100000.0
Amortization Cash Flow,1061600000.0,,,
Depreciation,1459000000.0,2780100000.0,2547400000.0,2417100000.0
Gain Loss On Investment Securities,-665400000.0,-245500000.0,-231300000.0,-315400000.0
Net Foreign Currency Exchange Gain Loss,-1600000.0,-5100000.0,41300000.0,-71800000.0
Gain Loss On Sale Of PPE,373800000.0,16100000.0,-117500000.0,-40300000.0
Gain Loss On Sale Of Business,,0.0,507000000.0,-103800000.0
Net Income From Continuing Operations,12673700000.0,14559900000.0,13110600000.0,8093800000.0
