,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Treasury Shares Number,,0.0,,
Ordinary Shares Number,3659051373.0,3659051373.0,3699051373.0,3752384706.0
Share Issued,3659051373.0,3659051373.0,3699051373.0,3752384706.0
Total Debt,76880000000.0,78180000000.0,77950000000.0,81760000000.0
Tangible Book Value,876990000000.0,861180000000.0,841300000000.0,821330000000.0
Invested Capital,904240000000.0,891390000000.0,864330000000.0,841260000000.0
Working Capital,667120000000.0,659590000000.0,651250000000.0,631770000000.0
Net Tangible Assets,876990000000.0,861180000000.0,841300000000.0,821330000000.0
Capital Lease Obligations,76880000000.0,78180000000.0,77950000000.0,81760000000.0
Common Stock Equity,904240000000.0,891390000000.0,864330000000.0,841260000000.0
Total Capitalization,904240000000.0,891390000000.0,864330000000.0,841260000000.0
Total Equity Gross Minority Interest,912060000000.0,898460000000.0,871080000000.0,847490000000.0
Minority Interest,7820000000.0,7070000000.0,6750000000.0,6230000000.0
Stockholders Equity,904240000000.0,891390000000.0,864330000000.0,841260000000.0
Other Equity Interest,900580000000.0,887730000000.0,,
Fixed Assets Revaluation Reserve,,,8280000000.0,7960000000.0
Retained Earnings,747220000000.0,781580000000.0,795860000000.0,788100000000.0
Additional Paid In Capital,4400000000.0,4400000000.0,4360000000.0,4310000000.0
Capital Stock,3660000000.0,3660000000.0,3700000000.0,3750000000.0
Common Stock,3660000000.0,3660000000.0,3700000000.0,3750000000.0
Total Liabilities Net Minority Interest,524450000000.0,516680000000.0,436510000000.0,361500000000.0
Total Non Current Liabilities Net Minority Interest,88870000000.0,93170000000.0,94960000000.0,90900000000.0
Non Current Pension And Other Postretirement Benefit Plans,5360000000.0,6770000000.0,7490000000.0,4170000000.0
Tradeand Other Payables Non Current,1200000000.0,3390000000.0,,30000000.0
Non Current Deferred Revenue,10030000000.0,11100000000.0,11970000000.0,6970000000.0
Non Current Deferred Taxes Liabilities,7920000000.0,5900000000.0,7670000000.0,7790000000.0
Long Term Debt And Capital Lease Obligation,62030000000.0,63680000000.0,65030000000.0,69060000000.0
Long Term Capital Lease Obligation,62030000000.0,63680000000.0,65030000000.0,69060000000.0
Current Liabilities,435580000000.0,423510000000.0,341550000000.0,270600000000.0
Other Current Liabilities,48920000000.0,1000000000.0,300000000.0,620000000.0
Current Debt And Capital Lease Obligation,14850000000.0,14500000000.0,12920000000.0,12700000000.0
Current Capital Lease Obligation,14850000000.0,14500000000.0,12920000000.0,12700000000.0
Pensionand Other Post Retirement Benefit Plans Current,40650000000.0,38100000000.0,34980000000.0,27490000000.0
Current Provisions,3450000000.0,14110000000.0,13940000000.0,2930000000.0
