,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,887786160.0,887786160.0,887786160.0,887800000.0
Share Issued,887786160.0,887786160.0,887786160.0,887800000.0
Net Debt,72620000000.0,56980000000.0,42010000000.0,22425400000.0
Total Debt,93670000000.0,72760000000.0,56380000000.0,35610000000.0
Tangible Book Value,114710000000.0,89350000000.0,71180000000.0,62727400000.0
Invested Capital,193450000000.0,152200000000.0,118790000000.0,89867800000.0
Working Capital,91430000000.0,69420000000.0,54830000000.0,44937500000.0
Net Tangible Assets,114710000000.0,89350000000.0,71180000000.0,62727400000.0
Capital Lease Obligations,18730000000.0,13590000000.0,12560000000.0,12429700000.0
Common Stock Equity,118510000000.0,93030000000.0,74970000000.0,66687500000.0
Total Capitalization,118510000000.0,93050000000.0,75060000000.0,66857200000.0
Total Equity Gross Minority Interest,119040000000.0,93330000000.0,75020000000.0,66731500000.0
Minority Interest,530000000.0,300000000.0,50000000.0,44000000.0
Stockholders Equity,118510000000.0,93030000000.0,74970000000.0,66687500000.0
Other Equity Interest,117620000000.0,60000000.0,40000000.0,39100000.0
Retained Earnings,86120000000.0,60280000000.0,42100000000.0,35912700000.0
Additional Paid In Capital,1430000000.0,1420000000.0,1420000000.0,1415800000.0
Capital Stock,890000000.0,890000000.0,890000000.0,887800000.0
Common Stock,890000000.0,890000000.0,890000000.0,887800000.0
Total Liabilities Net Minority Interest,151190000000.0,118610000000.0,89500000000.0,68766400000.0
Total Non Current Liabilities Net Minority Interest,18550000000.0,13490000000.0,12360000000.0,12500900000.0
Other Non Current Liabilities,10000000.0,10000000.0,10000000.0,
Non Current Pension And Other Postretirement Benefit Plans,2400000000.0,1980000000.0,1560000000.0,1661200000.0
Non Current Deferred Taxes Liabilities,30000000.0,60000000.0,80000000.0,61900000.0
Long Term Debt And Capital Lease Obligation,16070000000.0,11400000000.0,10680000000.0,10732600000.0
Long Term Capital Lease Obligation,16070000000.0,11380000000.0,10590000000.0,10562900000.0
Long Term Debt,0.0,20000000.0,90000000.0,169700000.0
Long Term Provisions,2400000000.0,1980000000.0,1560000000.0,
Current Liabilities,132640000000.0,105120000000.0,77140000000.0,56265500000.0
Other Current Liabilities,35170000000.0,18610000000.0,14350000000.0,17368600000.0
Current Debt And Capital Lease Obligation,77600000000.0,61360000000.0,45700000000.0,24877400000.0
Current Capital Lease Obligation,2660000000.0,2210000000.0,1970000000.0,1866800000.0
Current Debt,74940000000.0,59150000000.0,43730000000.0,23010600000.0
Pensionand Other Post Retirement Benefit Plans Current,3210000000.0,3010000000.0,1740000000.0,1488100000.0
Current Provisions,1320000000.0,380000000.0,300000000.0,1197000000.0
Payables,12870000000.0,14650000000.0,9330000000.0,6441900000.0
Other Payable,1260000000.0,790000000.0,150000000.0,76600000.0
Dividends Payable,110000000.0,100000000.0,110000000.0,113200000.0
Total Tax Payable,730000000.0,820000000.0,1180000000.0,285000000.0
Accounts Payable,12140000000.0,12940000000.0,7890000000.0,5967100000.0
Total Assets,270230000000.0,211940000000.0,164520000000.0,135497900000.0
Total Non Current Assets,46160000000.0,37400000000.0,32550000000.0,34294900000.0
