,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,9380000000.0,-9480000000.0,39930000000.0,-7024300000.0
Repayment Of Debt,-70000000.0,-70000000.0,,
Issuance Of Debt,16840000000.0,3490000000.0,,
Capital Expenditure,-4320000000.0,-2240000000.0,-1460000000.0,-3550200000.0
End Cash Position,2320000000.0,2190000000.0,1810000000.0,754900000.0
Beginning Cash Position,2190000000.0,1810000000.0,750000000.0,4295300000.0
Effect Of Exchange Rate Changes,-30000000.0,10000000.0,20000000.0,500000.0
Changes In Cash,160000000.0,370000000.0,1040000000.0,-3540900000.0
Financing Cash Flow,4570000000.0,-4030000000.0,-12340000000.0,-2416700000.0
Interest Paid Cff,-3000000000.0,-2180000000.0,-2030000000.0,-1661700000.0
Cash Dividends Paid,-6660000000.0,-3550000000.0,-3550000000.0,-5355700000.0
Common Stock Dividend Paid,,,,-5355700000.0
Net Issuance Payments Of Debt,16770000000.0,3420000000.0,-5620000000.0,6934000000.0
Net Short Term Debt Issuance,-70000000.0,-70000000.0,,
Short Term Debt Payments,-70000000.0,-70000000.0,,
Short Term Debt Issuance,16840000000.0,,,
Net Long Term Debt Issuance,16840000000.0,3420000000.0,-5620000000.0,6934000000.0
Long Term Debt Payments,-70000000.0,-70000000.0,,
Long Term Debt Issuance,16840000000.0,3490000000.0,,
Investing Cash Flow,-18110000000.0,11640000000.0,-28010000000.0,2349900000.0
Net Other Investing Changes,300000000.0,260000000.0,280000000.0,282300000.0
Interest Received Cfi,1430000000.0,560000000.0,490000000.0,727800000.0
Net Investment Purchase And Sale,-15670000000.0,16420000000.0,-27790000000.0,5182900000.0
Sale Of Investment,11070000000.0,28700000000.0,1000000000.0,6308900000.0
Purchase Of Investment,-26740000000.0,-12280000000.0,-28790000000.0,-1126000000.0
Net Business Purchase And Sale,0.0,0.0,430000000.0,-387400000.0
Sale Of Business,0.0,0.0,430000000.0,0.0
Purchase Of Business,,,0.0,-387400000.0
Net PPE Purchase And Sale,-4200000000.0,-2160000000.0,-1390000000.0,-3455700000.0
Sale Of PPE,120000000.0,80000000.0,70000000.0,94500000.0
Purchase Of PPE,-4320000000.0,-2240000000.0,-1460000000.0,-3550200000.0
Capital Expenditure Reported,,,,-3550200000.0
Operating Cash Flow,13700000000.0,-7240000000.0,41390000000.0,-3474100000.0
Taxes Refund Paid,-11540000000.0,-8020000000.0,-2710000000.0,-5576600000.0
Change In Working Capital,-24130000000.0,-32200000000.0,26210000000.0,-22714900000.0
Change In Other Current Liabilities,10030000000.0,18770000000.0,26860000000.0,-7316600000.0
Change In Other Current Assets,-2890000000.0,-2510000000.0,1750000000.0,-3001100000.0
Change In Payable,-890000000.0,5040000000.0,1950000000.0,-3099700000.0
Change In Inventory,-29770000000.0,-51990000000.0,-3160000000.0,-10571300000.0
Change In Receivables,-1300000000.0,-2100000000.0,-670000000.0,894000000.0
Other Non Cash Items,1550000000.0,880000000.0,680000000.0,591000000.0
Stock Based Compensation,10000000.0,20000000.0,,4100000.0
Provisionand Write Offof Assets,40000000.0,30000000.0,350000000.0,39300000.0
Depreciation And Amortization,4410000000.0,3990000000.0,3750000000.0,3479600000.0
Depreciation,4410000000.0,3990000000.0,3750000000.0,3479600000.0
Gain Loss On Investment Securities,-1060000000.0,-870000000.0,-350000000.0,-317400000.0
Net Foreign Currency Exchange Gain Loss,70000000.0,-30000000.0,-10000000.0,-7400000.0
Gain Loss On Sale Of PPE,30000000.0,30000000.0,60000000.0,-28600000.0
Gain Loss On Sale Of Business,-10000000.0,0.0,-220000000.0,
Net Income From Continuing Operations,44470000000.0,29040000000.0,13270000000.0,21016500000.0
