,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.216,0.246,0.270251,0.198126
Total Unusual Items,-142000000.0,-10000000.0,-125000000.0,-125000000.0
Total Unusual Items Excluding Goodwill,-142000000.0,-10000000.0,-125000000.0,-125000000.0
Net Income From Continuing Operation Net Minority Interest,7514000000.0,8060000000.0,3135000000.0,6759000000.0
Reconciled Depreciation,1626000000.0,1695000000.0,1543000000.0,1188000000.0
Net Interest Income,9895000000.0,7750000000.0,7985000000.0,8620000000.0
Interest Expense,2763000000.0,1283000000.0,2098000000.0,3464000000.0
Interest Income,12658000000.0,9033000000.0,10083000000.0,12084000000.0
Normalized Income,7514000000.0,8060000000.0,3135000000.0,6759000000.0
Net Income From Continuing And Discontinued Operation,7514000000.0,8060000000.0,3135000000.0,6759000000.0
Diluted Average Shares,752000000.0,790000000.0,806000000.0,830000000.0
Basic Average Shares,751000000.0,789000000.0,805000000.0,828000000.0
Diluted EPS,9.85,10.02,3.77,7.99
Basic EPS,9.86,10.04,3.77,8.0
Diluted NI Availto Com Stockholders,7400000000.0,7917000000.0,3036000000.0,6631000000.0
Net Income Common Stockholders,7400000000.0,7917000000.0,3036000000.0,6631000000.0
Otherunder Preferred Stock Dividend,57000000.0,143000000.0,20000000.0,47000000.0
Preferred Stock Dividends,57000000.0,71000000.0,79000000.0,81000000.0
Net Income,7514000000.0,8060000000.0,3135000000.0,6759000000.0
Net Income Including Noncontrolling Interests,7514000000.0,8060000000.0,3135000000.0,6759000000.0
Net Income Continuous Operations,7514000000.0,8060000000.0,3135000000.0,6759000000.0
Tax Provision,2071000000.0,2629000000.0,1161000000.0,1670000000.0
Pretax Income,9585000000.0,10689000000.0,4296000000.0,8429000000.0
Special Income Charges,-142000000.0,-10000000.0,-125000000.0,-125000000.0
Restructuring And Mergern Acquisition,142000000.0,10000000.0,125000000.0,125000000.0
Gain On Sale Of Security,-302000000.0,767000000.0,,
Selling General And Administration,12710000000.0,15293000000.0,12465000000.0,13025000000.0
Selling And Marketing Expense,5458000000.0,9053000000.0,6747000000.0,7114000000.0
General And Administrative Expense,7252000000.0,6240000000.0,5718000000.0,5911000000.0
Salaries And Wages,7252000000.0,6240000000.0,5718000000.0,5911000000.0
Total Revenue,52862000000.0,42380000000.0,36087000000.0,43556000000.0
Operating Revenue,52862000000.0,42380000000.0,36087000000.0,43556000000.0
