,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,414671383.0,423343707.0,429941021.0,449352405.0
Ordinary Shares Number,597589776.0,588917452.0,582320138.0,562908754.0
Share Issued,1012261159.0,1012261159.0,1012261159.0,1012261159.0
Net Debt,42387000000.0,50050000000.0,55831000000.0,17817000000.0
Total Debt,57001000000.0,58102000000.0,63583000000.0,27302000000.0
Tangible Book Value,-26251000000.0,-25629000000.0,-29240000000.0,-20015000000.0
Invested Capital,41118000000.0,43103000000.0,45267000000.0,18685000000.0
Working Capital,19471000000.0,26674000000.0,34362000000.0,4917000000.0
Net Tangible Assets,-26251000000.0,-25629000000.0,-29240000000.0,-20015000000.0
Capital Lease Obligations,482000000.0,448000000.0,471000000.0,229000000.0
Common Stock Equity,-15883000000.0,-14999000000.0,-18316000000.0,-8617000000.0
Total Capitalization,35928000000.0,41807000000.0,43574000000.0,11345000000.0
Total Equity Gross Minority Interest,-15848000000.0,-14846000000.0,-18075000000.0,-8300000000.0
Minority Interest,35000000.0,153000000.0,241000000.0,317000000.0
Stockholders Equity,-15883000000.0,-14999000000.0,-18316000000.0,-8617000000.0
Gains Losses Not Affecting Retained Earnings,-9550000000.0,-11659000000.0,-17133000000.0,-16153000000.0
Other Equity Adjustments,-9550000000.0,-11659000000.0,-17133000000.0,-16153000000.0
Foreign Currency Translation Adjustments,-167000000.0,,,
Minimum Pension Liabilities,-9359000000.0,,,
Treasury Stock,50814000000.0,51861000000.0,52641000000.0,54914000000.0
Retained Earnings,29473000000.0,34408000000.0,38610000000.0,50644000000.0
Additional Paid In Capital,9947000000.0,9052000000.0,7787000000.0,6745000000.0
Capital Stock,5061000000.0,5061000000.0,5061000000.0,5061000000.0
Common Stock,5061000000.0,5061000000.0,5061000000.0,5061000000.0
Total Liabilities Net Minority Interest,152948000000.0,153398000000.0,170211000000.0,141925000000.0
Total Non Current Liabilities Net Minority Interest,62896000000.0,71406000000.0,82931000000.0,44613000000.0
Other Non Current Liabilities,2211000000.0,1750000000.0,1486000000.0,3422000000.0
Employee Benefits,8644000000.0,12632000000.0,18545000000.0,20816000000.0
Non Current Pension And Other Postretirement Benefit Plans,8644000000.0,12632000000.0,18545000000.0,20816000000.0
Non Current Deferred Liabilities,230000000.0,218000000.0,1010000000.0,413000000.0
Non Current Deferred Taxes Liabilities,230000000.0,218000000.0,1010000000.0,413000000.0
Long Term Debt And Capital Lease Obligation,51811000000.0,56806000000.0,61890000000.0,19962000000.0
Long Term Capital Lease Obligation,141000000.0,119000000.0,138000000.0,158000000.0
Long Term Debt,51811000000.0,56806000000.0,61890000000.0,19962000000.0
Current Liabilities,90052000000.0,81992000000.0,87280000000.0,97312000000.0
Other Current Liabilities,4060000000.0,2014000000.0,1913000000.0,1681000000.0
Current Deferred Liabilities,53081000000.0,52980000000.0,50488000000.0,51551000000.0
Current Deferred Revenue,53081000000.0,52980000000.0,50488000000.0,51551000000.0
Current Debt And Capital Lease Obligation,5190000000.0,1296000000.0,1693000000.0,7340000000.0
Current Capital Lease Obligation,341000000.0,329000000.0,333000000.0,71000000.0
Current Debt,5190000000.0,1296000000.0,1693000000.0,7340000000.0
Other Current Borrowings,5125000000.0,1235000000.0,1628000000.0,1160000000.0
Commercial Paper,,,,6109000000.0
Pensionand Other Post Retirement Benefit Plans Current,6845000000.0,6573000000.0,7121000000.0,5582000000.0
Current Provisions,,1900000000.0,1527000000.0,1267000000.0
Payables And Accrued Expenses,31781000000.0,27716000000.0,35099000000.0,38421000000.0
Current Accrued Expenses,21581000000.0,18455000000.0,22171000000.0,22868000000.0
Interest Payable,599000000.0,,,
Payables,10200000000.0,9261000000.0,12928000000.0,15553000000.0
Dividends Payable,,,,1159000000.0
Total Tax Payable,,5000000.0,43000000.0,670000000.0
Income Tax Payable,,5000000.0,43000000.0,670000000.0
Accounts Payable,10200000000.0,9261000000.0,12928000000.0,15553000000.0
Total Assets,137100000000.0,138552000000.0,152136000000.0,133625000000.0
Total Non Current Assets,27577000000.0,29886000000.0,30494000000.0,31396000000.0
Other Non Current Assets,4163000000.0,5591000000.0,4712000000.0,3585000000.0
Non Current Deferred Assets,63000000.0,77000000.0,86000000.0,683000000.0
Non Current Deferred Taxes Assets,63000000.0,77000000.0,86000000.0,683000000.0
Non Current Accounts Receivable,1450000000.0,1695000000.0,1936000000.0,2136000000.0
Investments And Advances,983000000.0,975000000.0,1016000000.0,1092000000.0
Goodwill And Other Intangible Assets,10368000000.0,10630000000.0,10924000000.0,11398000000.0
Other Intangible Assets,2311000000.0,2562000000.0,2843000000.0,3338000000.0
Goodwill,8057000000.0,8068000000.0,8081000000.0,8060000000.0
Net PPE,10550000000.0,10918000000.0,11820000000.0,12502000000.0
Accumulated Depreciation,-21442000000.0,-20538000000.0,-20507000000.0,-19342000000.0
Gross PPE,31992000000.0,31456000000.0,32327000000.0,31844000000.0
Construction In Progress,1368000000.0,1235000000.0,1340000000.0,1306000000.0
Machinery Furniture Equipment,15844000000.0,15692000000.0,16060000000.0,15723000000.0
Buildings And Improvements,14404000000.0,14152000000.0,14415000000.0,14288000000.0
Land And Improvements,376000000.0,377000000.0,512000000.0,527000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,109523000000.0,108666000000.0,121642000000.0,102229000000.0
Other Current Assets,2847000000.0,2221000000.0,4286000000.0,3106000000.0
Inventory,78151000000.0,78823000000.0,81715000000.0,76622000000.0
Finished Goods,67702000000.0,68106000000.0,70153000000.0,66016000000.0
Work In Process,9073000000.0,9845000000.0,10739000000.0,9419000000.0
Raw Materials,1376000000.0,872000000.0,823000000.0,1187000000.0
Receivables,11305000000.0,11378000000.0,10051000000.0,12471000000.0
Receivables Adjustments Allowances,-116000000.0,-390000000.0,-444000000.0,-73000000.0
Other Receivables,8788000000.0,8737000000.0,8096000000.0,9205000000.0
Accounts Receivable,2517000000.0,2641000000.0,1955000000.0,3266000000.0
Cash Cash Equivalents And Short Term Investments,17220000000.0,16244000000.0,25590000000.0,10030000000.0
Other Short Term Investments,2606000000.0,8192000000.0,17838000000.0,545000000.0
Cash And Cash Equivalents,14614000000.0,8052000000.0,7752000000.0,9485000000.0
