,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-2100000.0,72076000.0,36925000.0,185490000.0
Tax Rate For Calcs,0.21,0.148,0.175,0.27
Normalized EBITDA,-500000000.0,-694000000.0,-10285000000.0,47000000.0
Total Unusual Items,-10000000.0,487000000.0,211000000.0,687000000.0
Total Unusual Items Excluding Goodwill,-10000000.0,487000000.0,211000000.0,687000000.0
Net Income From Continuing Operation Net Minority Interest,-5053000000.0,-4290000000.0,-11941000000.0,-636000000.0
Reconciled Depreciation,1979000000.0,2144000000.0,2246000000.0,2271000000.0
Reconciled Cost Of Revenue,63106000000.0,59269000000.0,63843000000.0,72093000000.0
EBITDA,-510000000.0,-207000000.0,-10074000000.0,734000000.0
EBIT,-2489000000.0,-2351000000.0,-12320000000.0,-1537000000.0
Net Interest Income,-2533000000.0,-2682000000.0,-2156000000.0,-722000000.0
Interest Expense,2533000000.0,2682000000.0,2156000000.0,722000000.0
Normalized Income,-5045100000.0,-4704924000.0,-12115075000.0,-1137510000.0
Net Income From Continuing And Discontinued Operation,-5053000000.0,-4290000000.0,-11941000000.0,-636000000.0
Total Expenses,70145000000.0,65675000000.0,71136000000.0,79221000000.0
Total Operating Income As Reported,-3547000000.0,-2902000000.0,-12767000000.0,-1975000000.0
Diluted Average Shares,594900000.0,588000000.0,569000000.0,567857143.0
Basic Average Shares,594900000.0,587692308.0,568630268.0,567857143.0
Diluted EPS,-8.3,-7.15,-20.88,-1.12
Basic EPS,-8.3,-7.15,-20.88,-1.12
Diluted NI Availto Com Stockholders,-4935000000.0,-4202000000.0,-11873000000.0,-636000000.0
Net Income Common Stockholders,-4935000000.0,-4202000000.0,-11873000000.0,-636000000.0
Net Income,-5053000000.0,-4290000000.0,-11941000000.0,-636000000.0
Minority Interests,118000000.0,88000000.0,68000000.0,
Net Income Including Noncontrolling Interests,-5053000000.0,-4290000000.0,-11941000000.0,-636000000.0
Net Income Continuous Operations,-5053000000.0,-4290000000.0,-11941000000.0,-636000000.0
Tax Provision,31000000.0,-743000000.0,-2535000000.0,-1623000000.0
Pretax Income,-5022000000.0,-5033000000.0,-14476000000.0,-2259000000.0
Other Income Expense,1048000000.0,1038000000.0,658000000.0,1125000000.0
Other Non Operating Income Expenses,1058000000.0,551000000.0,447000000.0,438000000.0
Special Income Charges,6000000.0,277000000.0,202000000.0,691000000.0
Gain On Sale Of Ppe,6000000.0,277000000.0,202000000.0,691000000.0
Gain On Sale Of Security,-16000000.0,210000000.0,9000000.0,-4000000.0
Net Non Operating Interest Income Expense,-2533000000.0,-2682000000.0,-2156000000.0,-722000000.0
Interest Expense Non Operating,2533000000.0,2682000000.0,2156000000.0,722000000.0
Operating Income,-3537000000.0,-3389000000.0,-12978000000.0,-2662000000.0
Operating Expense,7039000000.0,6406000000.0,7293000000.0,7128000000.0
Research And Development,2852000000.0,2249000000.0,2476000000.0,3219000000.0
Selling General And Administration,4187000000.0,4157000000.0,4817000000.0,3909000000.0
General And Administrative Expense,4187000000.0,4157000000.0,4817000000.0,3909000000.0
Other Gand A,4187000000.0,4157000000.0,4817000000.0,3909000000.0
Gross Profit,3502000000.0,3017000000.0,-5685000000.0,4466000000.0
Cost Of Revenue,63106000000.0,59269000000.0,63843000000.0,72093000000.0
Total Revenue,66608000000.0,62286000000.0,58158000000.0,76559000000.0
Operating Revenue,66608000000.0,62286000000.0,58158000000.0,76559000000.0
