,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-218300000.0,0.0,0.0,0.0
Tax Rate For Calcs,0.236,0.212,0.252,0.223502
Normalized EBITDA,12339000000.0,11044000000.0,6941000000.0,10810000000.0
Total Unusual Items,-925000000.0,324000000.0,-44000000.0,200000000.0
Total Unusual Items Excluding Goodwill,-925000000.0,324000000.0,-44000000.0,200000000.0
Net Income From Continuing Operation Net Minority Interest,6705000000.0,6489000000.0,2998000000.0,6093000000.0
Reconciled Depreciation,2219000000.0,2352000000.0,2432000000.0,2577000000.0
Reconciled Cost Of Revenue,41915000000.0,35968000000.0,29671000000.0,37384000000.0
EBITDA,11414000000.0,11044000000.0,6941000000.0,10810000000.0
EBIT,9195000000.0,8692000000.0,4509000000.0,8233000000.0
Net Interest Income,-443000000.0,-488000000.0,-514000000.0,-421000000.0
Interest Expense,443000000.0,488000000.0,514000000.0,421000000.0
Interest Income,167000000.0,80000000.0,112000000.0,202000000.0
Normalized Income,7411700000.0,6489000000.0,2998000000.0,6093000000.0
Net Income From Continuing And Discontinued Operation,6705000000.0,6489000000.0,2998000000.0,6093000000.0
Total Expenses,50598000000.0,44093000000.0,37195000000.0,45510000000.0
Total Operating Income As Reported,7904000000.0,6878000000.0,4553000000.0,8290000000.0
Diluted Average Shares,530400000.0,548500000.0,548600000.0,567500000.0
Basic Average Shares,526900000.0,544000000.0,544100000.0,561600000.0
Diluted EPS,12.64,11.83,5.46,10.74
Basic EPS,12.72,11.93,5.51,10.85
Diluted NI Availto Com Stockholders,6705000000.0,6489000000.0,2998000000.0,6093000000.0
Net Income Common Stockholders,6705000000.0,6489000000.0,2998000000.0,6093000000.0
Net Income,6705000000.0,6489000000.0,2998000000.0,6093000000.0
Minority Interests,1000000.0,-4000000.0,-5000000.0,-1000000.0
Net Income Including Noncontrolling Interests,6704000000.0,6493000000.0,3003000000.0,6094000000.0
Net Income Continuous Operations,6704000000.0,6493000000.0,3003000000.0,6094000000.0
Earnings From Equity Interest Net Of Tax,19000000.0,31000000.0,14000000.0,28000000.0
Tax Provision,2067000000.0,1742000000.0,1006000000.0,1746000000.0
Pretax Income,8752000000.0,8204000000.0,3995000000.0,7812000000.0
Other Income Expense,366000000.0,1814000000.0,-44000000.0,-57000000.0
Other Non Operating Income Expenses,1291000000.0,1814000000.0,-44000000.0,-57000000.0
Special Income Charges,-925000000.0,,,
Impairment Of Capital Assets,925000000.0,,,
Gain On Sale Of Security,215000000.0,324000000.0,-44000000.0,200000000.0
Net Non Operating Interest Income Expense,-443000000.0,-488000000.0,-514000000.0,-421000000.0
Interest Expense Non Operating,443000000.0,488000000.0,514000000.0,421000000.0
Interest Income Non Operating,167000000.0,80000000.0,112000000.0,202000000.0
Operating Income,8829000000.0,6878000000.0,4553000000.0,8290000000.0
Operating Expense,8683000000.0,8125000000.0,7524000000.0,8126000000.0
Other Operating Expenses,1218000000.0,1074000000.0,1467000000.0,1271000000.0
Research And Development,1814000000.0,1686000000.0,1415000000.0,1693000000.0
Selling General And Administration,5651000000.0,5365000000.0,4642000000.0,5162000000.0
Gross Profit,17512000000.0,15003000000.0,12077000000.0,16416000000.0
Cost Of Revenue,41915000000.0,35968000000.0,29671000000.0,37384000000.0
Total Revenue,59427000000.0,50971000000.0,41748000000.0,53800000000.0
Operating Revenue,59427000000.0,50971000000.0,41748000000.0,53800000000.0
