,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Treasury Shares Number,28000000.0,,,
Ordinary Shares Number,981000000.0,989000000.0,919000000.0,893000000.0
Share Issued,1009000000.0,989000000.0,919000000.0,893000000.0
Net Debt,3585000000.0,5128000000.0,,
Total Debt,14088000000.0,13981000000.0,6281000000.0,5868000000.0
Tangible Book Value,2666000000.0,1216000000.0,11061000000.0,3448000000.0
Invested Capital,68960000000.0,68723000000.0,44166000000.0,36558000000.0
Working Capital,504000000.0,1062000000.0,4161000000.0,1118000000.0
Net Tangible Assets,2666000000.0,1216000000.0,11061000000.0,3448000000.0
Capital Lease Obligations,3487000000.0,3389000000.0,3608000000.0,3195000000.0
Common Stock Equity,58359000000.0,58131000000.0,41493000000.0,33885000000.0
Total Capitalization,67778000000.0,68723000000.0,44166000000.0,36558000000.0
Total Equity Gross Minority Interest,58359000000.0,58131000000.0,41493000000.0,33885000000.0
Stockholders Equity,58359000000.0,58131000000.0,41493000000.0,33885000000.0
Gains Losses Not Affecting Retained Earnings,-274000000.0,-166000000.0,-42000000.0,-93000000.0
Other Equity Adjustments,-274000000.0,-166000000.0,-42000000.0,-93000000.0
Treasury Stock,4000000000.0,,,
Retained Earnings,7585000000.0,7377000000.0,5933000000.0,1861000000.0
Additional Paid In Capital,55047000000.0,50919000000.0,35601000000.0,32116000000.0
Capital Stock,1000000.0,1000000.0,1000000.0,1000000.0
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,40490000000.0,37078000000.0,24808000000.0,21241000000.0
Total Non Current Liabilities Net Minority Interest,14599000000.0,15290000000.0,7080000000.0,6396000000.0
Other Non Current Liabilities,2283000000.0,1995000000.0,1565000000.0,1278000000.0
Long Term Debt And Capital Lease Obligation,12316000000.0,13295000000.0,5515000000.0,5118000000.0
Long Term Capital Lease Obligation,2897000000.0,2703000000.0,2842000000.0,2445000000.0
Long Term Debt,9419000000.0,10592000000.0,2673000000.0,2673000000.0
Current Liabilities,25891000000.0,21788000000.0,17728000000.0,14845000000.0
Current Deferred Liabilities,17376000000.0,15628000000.0,12607000000.0,10662000000.0
Current Deferred Revenue,17376000000.0,15628000000.0,12607000000.0,10662000000.0
Current Debt And Capital Lease Obligation,1772000000.0,686000000.0,766000000.0,750000000.0
Current Capital Lease Obligation,590000000.0,686000000.0,766000000.0,750000000.0
Current Debt,1182000000.0,,,
Other Current Borrowings,1182000000.0,,,
Payables And Accrued Expenses,6743000000.0,5474000000.0,4355000000.0,3433000000.0
Payables,,,4355000000.0,3433000000.0
Accounts Payable,,,4355000000.0,3433000000.0
Total Assets,98849000000.0,95209000000.0,66301000000.0,55126000000.0
Total Non Current Assets,72454000000.0,72359000000.0,44412000000.0,39163000000.0
Other Non Current Assets,,,,1348000000.0
Non Current Deferred Assets,5497000000.0,4965000000.0,4408000000.0,1348000000.0
Non Current Deferred Taxes Assets,2800000000.0,2623000000.0,2693000000.0,
Investments And Advances,4672000000.0,4784000000.0,3909000000.0,1963000000.0
Other Investments,4672000000.0,4784000000.0,3909000000.0,1963000000.0
Investmentin Financial Assets,4672000000.0,,,1963000000.0
Held To Maturity Securities,69000000.0,,,
Available For Sale Securities,4603000000.0,,,1963000000.0
Goodwill And Other Intangible Assets,55693000000.0,56915000000.0,30432000000.0,30437000000.0
Other Intangible Assets,7125000000.0,8978000000.0,4114000000.0,5303000000.0
Goodwill,48568000000.0,47937000000.0,26318000000.0,25134000000.0
Net PPE,6592000000.0,5695000000.0,5663000000.0,5415000000.0
Accumulated Depreciation,-2702000000.0,-2401000000.0,-1955000000.0,-1801000000.0
Gross PPE,6592000000.0,5695000000.0,5663000000.0,5415000000.0
Leases,1807000000.0,1656000000.0,1507000000.0,1381000000.0
Other Properties,6592000000.0,5695000000.0,5663000000.0,5415000000.0
Machinery Furniture Equipment,3815000000.0,2780000000.0,2129000000.0,1834000000.0
Buildings And Improvements,489000000.0,487000000.0,485000000.0,777000000.0
Land And Improvements,293000000.0,293000000.0,293000000.0,184000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,26395000000.0,22850000000.0,21889000000.0,15963000000.0
Other Current Assets,1356000000.0,1120000000.0,991000000.0,916000000.0
Current Deferred Assets,1776000000.0,1454000000.0,1146000000.0,926000000.0
Prepaid Assets,,1120000000.0,991000000.0,916000000.0
Receivables,10755000000.0,9739000000.0,7786000000.0,6174000000.0
Accounts Receivable,10755000000.0,9739000000.0,7786000000.0,6174000000.0
Allowance For Doubtful Accounts Receivable,,,,-23000000.0
Gross Accounts Receivable,,,,6197000000.0
Cash Cash Equivalents And Short Term Investments,12508000000.0,10537000000.0,11966000000.0,7947000000.0
Other Short Term Investments,5492000000.0,5073000000.0,5771000000.0,3802000000.0
Cash And Cash Equivalents,7016000000.0,5464000000.0,6195000000.0,4145000000.0
