,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,582896393.0,572857062.0,557603316.0,549439468.0
Preferred Shares Number,159998000.0,159998000.0,266998000.0,188998000.0
Ordinary Shares Number,334918639.0,333573254.0,344088725.0,347343184.0
Share Issued,917815032.0,906430316.0,901692041.0,896782652.0
Net Debt,66000000000.0,40000000000.0,110000000000.0,122000000000.0
Total Debt,308000000000.0,301000000000.0,266000000000.0,255000000000.0
Tangible Book Value,117000000000.0,110000000000.0,96000000000.0,90000000000.0
Invested Capital,308000000000.0,301000000000.0,266000000000.0,255000000000.0
Net Tangible Assets,117000000000.0,110000000000.0,96000000000.0,90000000000.0
Capital Lease Obligations,2154000000.0,2288000000.0,2283000000.0,2385000000.0
Common Stock Equity,117000000000.0,110000000000.0,96000000000.0,90000000000.0
Preferred Stock Equity,10703000000.0,10703000000.0,11203000000.0,11203000000.0
Total Capitalization,364000000000.0,364000000000.0,309000000000.0,297000000000.0
Total Equity Gross Minority Interest,117000000000.0,110000000000.0,96000000000.0,90000000000.0
Stockholders Equity,117000000000.0,110000000000.0,96000000000.0,90000000000.0
Other Equity Interest,5696000000.0,4211000000.0,3468000000.0,3195000000.0
Gains Losses Not Affecting Retained Earnings,-3010000000.0,-2068000000.0,-1434000000.0,-1484000000.0
Treasury Stock,94631000000.0,91136000000.0,85940000000.0,84006000000.0
Retained Earnings,139372000000.0,131811000000.0,112947000000.0,106465000000.0
Additional Paid In Capital,59050000000.0,56396000000.0,55679000000.0,54883000000.0
Capital Stock,10712000000.0,10712000000.0,11212000000.0,11212000000.0
Common Stock,9000000.0,9000000.0,9000000.0,9000000.0
Preferred Stock,10703000000.0,10703000000.0,11203000000.0,11203000000.0
Total Liabilities Net Minority Interest,1325000000000.0,1353000000000.0,1067000000000.0,903000000000.0
Preferred Securities Outside Stock Equity,649000000.0,840000000.0,,
Derivative Product Liabilities,54735000000.0,51953000000.0,58591000000.0,43802000000.0
Employee Benefits,7250000000.0,10867000000.0,7930000000.0,6970000000.0
Long Term Debt And Capital Lease Obligation,247000000000.0,254000000000.0,213000000000.0,207000000000.0
Long Term Capital Lease Obligation,2154000000.0,2288000000.0,2283000000.0,2385000000.0
Long Term Debt,247000000000.0,254000000000.0,213000000000.0,207000000000.0
Current Debt And Capital Lease Obligation,61000000000.0,47000000000.0,53000000000.0,48000000000.0
Current Debt,61000000000.0,47000000000.0,53000000000.0,48000000000.0
Other Current Borrowings,61000000000.0,47000000000.0,53000000000.0,48000000000.0
Commercial Paper,1718000000.0,6730000000.0,6085000000.0,
Payables And Accrued Expenses,262000000000.0,252000000000.0,191000000000.0,175000000000.0
Current Accrued Expenses,8733000000.0,8146000000.0,7443000000.0,7636000000.0
Payables,262000000000.0,252000000000.0,191000000000.0,175000000000.0
Total Tax Payable,2669000000.0,2360000000.0,3155000000.0,2947000000.0
Income Tax Payable,2669000000.0,2360000000.0,3155000000.0,2947000000.0
Accounts Payable,262000000000.0,252000000000.0,191000000000.0,175000000000.0
Total Assets,1442000000000.0,1463000000000.0,1163000000000.0,993000000000.0
Investments And Advances,432000000000.0,464000000000.0,483000000000.0,419000000000.0
Held To Maturity Securities,46343000000.0,4699000000.0,4800000000.0,5825000000.0
Available For Sale Securities,131000000000.0,89000000000.0,89000000000.0,64000000000.0
Trading Securities,301000000000.0,375000000000.0,394000000000.0,355000000000.0
Long Term Equity Investment,766000000.0,593000000.0,366000000.0,285000000.0
Goodwill And Other Intangible Assets,8383000000.0,4703000000.0,4962000000.0,4837000000.0
Other Intangible Assets,2009000000.0,418000000.0,630000000.0,641000000.0
Goodwill,6374000000.0,4285000000.0,4332000000.0,4196000000.0
Net PPE,19246000000.0,20386000000.0,25427000000.0,24246000000.0
Accumulated Depreciation,-12190000000.0,-10180000000.0,-10120000000.0,-9950000000.0
Gross PPE,31436000000.0,30566000000.0,35547000000.0,34196000000.0
Other Properties,31436000000.0,30566000000.0,35547000000.0,34196000000.0
Receivables,136000000000.0,161000000000.0,121000000000.0,75000000000.0
Other Receivables,11579000000.0,9519000000.0,7056000000.0,5799000000.0
Accounts Receivable,136000000000.0,161000000000.0,121000000000.0,75000000000.0
Other Short Term Investments,13180000000.0,25000000.0,526000000.0,
Cash And Cash Equivalents,242000000000.0,261000000000.0,156000000000.0,133000000000.0
