,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-48917818.307846,0.0,0.0,0.0
Tax Rate For Calcs,0.183902,0.189,0.177,0.182
Total Unusual Items,-266000000.0,,,
Total Unusual Items Excluding Goodwill,-266000000.0,,,
Net Income From Continuing Operation Net Minority Interest,37676000000.0,48334000000.0,29131000000.0,36431000000.0
Reconciled Depreciation,7051000000.0,7932000000.0,8614000000.0,8368000000.0
Net Interest Income,66710000000.0,52311000000.0,54563000000.0,57245000000.0
Interest Expense,26097000000.0,5553000000.0,9960000000.0,26795000000.0
Interest Income,92807000000.0,57864000000.0,64523000000.0,84040000000.0
Normalized Income,37893082181.692154,48334000000.0,29131000000.0,36431000000.0
Net Income From Continuing And Discontinued Operation,37676000000.0,48334000000.0,29131000000.0,36431000000.0
Diluted Average Shares,2970000000.0,3026600000.0,3087400000.0,3230400000.0
Basic Average Shares,2965800000.0,3021500000.0,3082400000.0,3221500000.0
Diluted EPS,12.09,15.36,8.88,10.72
Basic EPS,12.1,15.39,8.89,10.75
Diluted NI Availto Com Stockholders,35892000000.0,46503000000.0,27410000000.0,34642000000.0
Net Income Common Stockholders,35892000000.0,46503000000.0,27410000000.0,34642000000.0
Otherunder Preferred Stock Dividend,189000000.0,231000000.0,138000000.0,202000000.0
Preferred Stock Dividends,1595000000.0,1600000000.0,1583000000.0,1587000000.0
Net Income,37676000000.0,48334000000.0,29131000000.0,36431000000.0
Net Income Including Noncontrolling Interests,37676000000.0,48334000000.0,29131000000.0,36431000000.0
Net Income Continuous Operations,37676000000.0,48334000000.0,29131000000.0,36431000000.0
Tax Provision,8490000000.0,11228000000.0,6276000000.0,8114000000.0
Pretax Income,46166000000.0,59562000000.0,35407000000.0,44545000000.0
Special Income Charges,-266000000.0,,,
Other Special Charges,266000000.0,,,
Gain On Sale Of Security,-2380000000.0,-345000000.0,802000000.0,258000000.0
Selling General And Administration,45547000000.0,41603000000.0,37464000000.0,37734000000.0
Selling And Marketing Expense,3911000000.0,3036000000.0,2476000000.0,3579000000.0
General And Administrative Expense,41636000000.0,38567000000.0,34988000000.0,34155000000.0
Other Gand A,,,10338000000.0,9821000000.0
Salaries And Wages,41636000000.0,38567000000.0,34988000000.0,34155000000.0
Total Revenue,128695000000.0,121649000000.0,119543000000.0,115627000000.0
Operating Revenue,128695000000.0,121649000000.0,119543000000.0,115627000000.0
